vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.6	ik verlaat uw nimmermeer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1681.s.1	rijden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1683.s.1	deze outer zijn wij wijken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1685.s.1	god .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.1	nul edel maeghdeke , hoe zijtge zo gelijk vinden aard die klaar zelf , na wieden gei heten Klaerisse ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.2	waar vinden ik onderscheid in deze gelijkenis ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.3	torn het Sarazijnsche heir vermeesterde al doen stad daar sint klaar wassen , hoe droeghze zien ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.4	zijde treden grootmoedig in doen poort vinden het klooster , daar wonen : En zien de vijand weg , zo ras hij zien vertonen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.5	haar moed , haar sterk geloven , en ijverig gebed verstrekken haar een zwaard , en harnas , en helmet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.6	gei mogen dan , nu gei hebben die zelf gedachte , mede ik , voor deze altaar , doen vijand verwachten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.7	mare treckme ( die ik dood zijde ver ' vinden schande en smaad ) eest aen deze stram lijf ik staetighste gewaad , gelijk een Bisschop voegen , eer krijgslien wij verrassen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.8	zetten ik de mijter op : hij zullen niet kwalijk pas Op mjjn gezalfde kruin .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.9	brengen hier de gouden ring , En steken aen deze hand , die beven , de vingerlingk , daar ik doen bruid van stichten , doen rooms kerk , met trouwen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.10	geven ik de herdersstaf , tot steunssel vinden mijn oud , Daar ik god kudde met hoeden hebben , en geweit : ik hebben nooit doen teken vinden hebben Bisdom afleggen mede willen , mare door bedwangk : al leven ik alles bannen ; Al ruimen ik Henrick plaats , en Willem , en twee jan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.11	En het waar een klein verliezen , al hebben ik ik verkorten In nader en eer , wassen slechts geren Christensch bloed storten , En zo velen zaets vertreden vinden mens - en paardenvoet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.12	mos niet onschuldig volk doen schuld de heer boete ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.13	Nu kind , zetten uw hier , en die een ieder non mede ik de lofzang zingen vinden oude Simeon .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1732.s.1	vergunnen , o god op zijn bede , na u beloven , u ' knechten verlof ; Op die hij reis in rusten en wreed Om oog na het hemels vredehof : naardien ik mede mijn eigen oog de algemeen heiland zien , Die alles een zinnen schijnen uiten de hogen ; daar ieder zien in verblijden mogen : Een schoon zinnen , die mede haar straal hebben blind Heidendom verlichten , En Jakobs huis en Isrels palen verheerlijken , en nog velen vast stichten .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.1	die god uw al spaere , zijn het hier nog tijd vinden zingen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.2	doen vijand zackt vasten neder , om het klooster te bespringen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.3	Oom Gozewijn , komen hier : gei zijn stockout en traag ; Gedoogh die ik uw op ik beide schouder draegh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.4	Klaerisse nicht , gei zullen ik volgen mede deze rei , waar god , of het god geluk wij al willen geleien .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.5	Nu vader , volgen ik ' raad .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.6	doen vijand woeden en razen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.7	wij het leven berg willen , die berg hebben in de haasten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1747.s.1	gemak , ik trouwen neef , gei mogen deze moeite durven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1751.s.1	wie zijn alleens zinnen , en wel troosten te sterven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.1	Hoe nu ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.2	hebben god ik dan , door water en door vieren , Door spiets en zwaard redden , en menig blank rapier , die ik de Bisschop nog voor het outer zij zieden slachten , En in hebben lauw bloed doen nonnekens verkrachten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.3	die worden nimmer waar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.4	o goddelijk slachten !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.5	Nicht Machtels geest verscheiden ik lief deze nacht : Een stemmen belasten ik haar kind en oom te berg .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.6	haar schimme woerd om uw : en moeten ik het uw nog vergen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.7	En maecktge zelf u ziel nog schuldig aen die mogen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.8	doen krijgslien zijn niet ver ' vinden deze kloosterpoort , Die liggen mede een slag te aarde neerwerpen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.9	deze godtgewijde vloer zullen het kuis bloed haasten slurp .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.10	hebben krijgsvolck naderen vasten , ik horen hebben aen het gedruis .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.11	ik bidden om zijnent willen , die levendig aen het kruis Om wij nagelen hangen , voor Sions wreed muur : ik bidden uw om zijn hant-en voet-en hartquetsuuren , En om doen doorn kroon , die het hoofd verpletten en brak , En om doen scherp spiets , die in zijn zijden steken ; Vergunme deze troosten , in zo velen zwaericheden , die ik u leven berg : o vader ; die ik heden onschuldig blijven mogen aen uw al bloed .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.12	deze enig zijn ik wensen : en kunnen ik u gemoed Door smeken nog gebeen nog bitter traan buigen ; zo nemen ik god en al zijn heilige tot getuige , die generlei gevaar , nog zelf doen fel dood , ik hinderden u lijf te berg in de node .	EmotionalAction_BodyPart_Sadness_Desire_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.1	gei hebben godvruchtig , neef , uw nevens wij kwijten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.2	wie zullen het nog voor god nog engel vergeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.3	de groot god allee zijde eer in het hemelrijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.4	wie bidden uw , staan op : gei doen wij ongelijk , die gei te aarde knielen voor sterfelijk mens .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.5	Hoe zij ik schoon dood naar ' et lang leven wensen , Dan hier voor martelaar , op deze heilig stede , Te offeren ik bloed , in het vierighst vinden ik bede , Op het allerhoogst feest vinden god geboortenisse !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.6	waar of doen dood vertrekken ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.7	ik hebben een rein gewis , En haken langen te gaan na al ziel goed ; Al sedert die ik uiten ik ' zetel wereld zetten , torn Uitrecht , die de vorst , gelijk zijn ' vader , eren , Door staetzucht opruien , ik wars de nek toekeerde : vinden die tijd wassen ik al deze lastig leven moede .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1805.s.1	daar zijn doen vijand zelf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1805.s.2	ik vliegen na boven toen , En zullen , zo langen ik mogen , doen kloosterpoort beschutten , Of mijn helpen nog kosten u leven onderstutten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1807.s.1	Badeloch : arend vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.1	HEer broeder , wel wat zijn deze ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.2	hoe keertge dus allee !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.3	nul god , waar blijven ik heer ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.4	zijn hij blijven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1814.s.1	Neen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1818.s.1	Wat tijding brengtge dan ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1818.s.2	zeg op , zijn hij blijven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1822.s.1	ik laten hij voor het stadhuis gezond en nog in het leven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1827.s.2	waar mogen hij zijn , ik troosten , ik hopen , ik hoofd .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1827.s.3	En keertge zonder hij ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1827.s.4	deze hadge niet beloven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1831.s.1	verslaan uw niet , mare toeven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1831.s.2	gei zullen hij haasten aanschouwen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1837.s.1	die toeven valtme bang .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1837.s.2	och wassen hij slechts behouden , In het onweer , die doen staat in zee drijven zonder roeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1837.s.3	ik bidden , verhaelme tocht al wat uw wedervoer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.1	gei eisen een ' zwaar eisen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.2	wij zij daar niet voor gruwen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.3	hebben zullen wij hartewee en droefheid slechts vernieuwen .	Emotion_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.4	wij horen deze treurspel aen , die niet zijn traan laat ?	BodyPart_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.5	Al staan hier Grobber zelf , en het heilloos bastertzaet , hebben waar onmogelijck die hij deze horen kunnen , hebben zijn een nieuw slag in mijn vers wond .	BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.6	ook steeckenwe al bei nog mijden in de druk : En wacht op de slag vinden het uiterst ongeluk , te zijde hebben god verzien , en zetten doen wraak palen : Doch nu gei het zo begeren , horen toen , ik zullen het verhalen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.7	wie komen niet zo haasten omtrent de middeldam , daar wat vergaring wassen vinden burgren , ik vernemen , Hoe het intrekken heir doen nieuw zijden alreede Vermeestert hebben , hebben volk onnut weerstant doen ; Dies Gysbreght laten gebieden , ik zij in vaardigheid doen brug , daar doen stad zien rechte in het mijden scheit , Verbranden , en voor al de Middeldam bezet ; Om zijn vyants overkomst , waar het mooghlijck , te beletten , En die ik d'oude zijde mogen vrij voor gevaar , schonen of hebben krijgsvolk vinden doen nieuw meest waar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.8	hij zelf wassen doen voorst , om elleck moed te geven , En gaan daar op mede wij na markt en raethuis streven , En brengen mede al zijn macht doen burger op doen been , Die rukken hier en daar vinden alleszins bij een .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.9	ik spannen keten , voor het haastig verrassen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.10	ik stoppen de toegang dichten mede zakken , kast , kas , En al wat ik ree kennen vinden bij de hand .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.11	torn vliegen wie mede hij te zaemen na de branden , Om , waar hebben mogelijck , daar orde op te stillen : mare lezen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.12	hebben wassen te spade .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.13	wat mond kunnen uw vertellen de zuur arbeid vinden deze naar nacht , En mede hoe groots een ' mogen die over worden brengen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.14	ik zien doen dood gestroit lang burgwal , en straat : geren ' kruiswegh , die niet dichten bezetten wassen vinden soldaat .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.15	ik ziet'er alleszins verbaestheit , en ik horen zien mengen onder een bloetstorting , branden en mogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.16	doen groot aeloude stad , vermaard in oorelogen , zo scheeprijck , en voor wij zien zee en stroom buigen , de vreemd en nabuur , en rijk tot ontzag , goed plotselijck te grond , en zinken mede een slag .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.17	wie worp niet te minnen door wanhopen aengedreven , die menig graefsgezinde en Kermer kosten zijn leven : En het Amsterlantsche bloed en sneuvelen niet allee .	Emotion_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.18	doen lijk groeien aen , en liggen onder een , hebben aanzicht na doen straat keren , of op zij rug .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.19	doen kennis vinden de weg , vinden steeg , straat , brug , En stad gelegenheid , bij schijnen vinden doen manen , komen dapper wij te baten , en houden doen drom staan de vijand , die dik hebben zeeten op een lopen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.20	Dan ging'er een een door , en dan een venster openen , wie groeiden in getal en moed , en rukken voor , Of het mooghlijck hebben wezen doen Haerelemmer poort , Die overweldigen wassen , mede dood te verkroppen ; En weer mede kracht al wat in stede wassen uiten te klop ; mare komen veel te spade .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.21	doen nauw ontslippen wachten verhalen wij hoe alree doen voortoght mede doen kracht de ruitren binden wassen : wij zij daar tegen mogen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.22	En schonen ik hier en daar een brug hebben opgetogen , ik recht weinig uiten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.23	doen branden nemen ymmer toen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.24	d'Ontsteltheit wassen te groots .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.25	ik weten niet waar , of hoe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.26	ik broeder , proost Willem , komen , laden onder arm mede overschot vinden het kruis de heilants : helpen beschermen wij hoofdkerk , rijk bouwen te eer vinden Katrijn , En jezus moer zelf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.27	o burger , bergen Kristijn , Heer Gysbreghts zuster tocht ; en naulyx kosten hij spreken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.28	ik hebze in het vrouwekoor al beven versteken , En raken naulyx uiten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.29	doen lantreus is'er voor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.30	ik horen zijn stemmen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.31	hij lopen mede boom op doen door .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.32	Om god willen , goed doen kerk op het hoog feest ontzetten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.33	wie schieten derwaarts aen , om het onheil te beletten , alles tijger , die , bij nacht vinden hongeren uitgejaeght , bijten zijn op roven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.34	wie vlieg onvertsaeght Door vieren en zwaard heen , om het al voor god te wagen : mare vinden voor wij komst doen kerckdeur opslaan , En horen een galmen , die uitberst over straat , En over al doen stad , en god voor het voorhoofd slaan , In zijn hogen tronen , alles eer doen kerk de jood .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.35	d ' Altaeren en hebben keur zijn ophopen mede dood .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.36	Wat bleef'er ongeschent !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.37	wat kreegh'er niet een ' krak !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.38	het vluchten volleck zitten op trans , gewelf , en dak , En bieden nog tegenweer , en kwetsen wij zelf mede steen En houden uiten misverstand .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.39	ik horen doen vrouw wenen , En kind , die vol schrikken krioelen hier en daar , doen binnetranssen lang .	Fear_Emotion_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.40	doen kaars op het altaar Zijn sommige blussen , en sommige die blaken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.41	doen kerreckschenners woeden , en pas wat te raken , En vechten om de buiten , en plunderen het al , ook zelf hebben Marianum , die te pronk hangen aen het gewelf , worden afrukken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.42	ik zetten in het glibberig bloed zijn stap .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.43	ik torst'er kelk uiten , kassuiffelen , en kap , Die stijf staan vinden gesteente , en parel en rood goud , Om het heerelijckst , alles het plegen , wanneer ik hoogtijd hout , En keur en outerkleen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.44	doen kerstnacht lach in stuk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1940.s.1	Hoe gaan het uw mede Kristijn ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1940.s.2	hoe mos deze Gysbreght drukken !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.1	En ik : bedenck die een .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.2	hoe staat ik het schouwspel voor !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.3	ik sleipteze bij het haar uiten wij lievrouwe keur , Om arm dun en teder mede koorde stijf binden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.4	Hoe diep gaan deze in het harden , die na haar huwelijk staan !	BodyPart_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.5	Doch Heemskerck meest , die dol deze lang niet verdroegh , torn zijde naer's hemel tronen haar blaken oog slaan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.6	wie slot wij wel dichten , en volghden hij altzamen , En rucktenze uiten doen macht de knevelaar : daar op quaemen doen Gelderschen , doen Zeeu , doen fries en Kennemaer vinden alleszins te hopen , vol spijt , op het groots misbaar , En om d'ontruckte maagd : ik zagh'er zijn graeven zoon , ik zagh'er d'Egmonts zelf en Diedrick met zien toon Om het moedighste in die strijd , mede Grobber , hels vinden aard .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.7	doen wind bulderen zo , eer het bijster weer bedaard de winter , tegen een , en weten vinden geren strijken , En zet in gevaar doen dam en doen dijk , Door het pers vinden de vloed .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.8	doen vijand wereld te sterk , En groeien , en doen mede kracht wij deinzen uiten doen kerk , En wijken na de Dam , om vers te zijn stijven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.9	Neef Heemskerck hebben bij het keur alree de geest geven , Die ridderlijk held en eer vinden zijn ' stam .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.10	Polaenen viel'er bij , die hij te hulp komen , En niemand week in moed nog billijckheit vinden oordelen , En Kuick , hij zeer gelijk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.11	hier hebben doen deugd geren voordeel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.12	hebben heiligdom vinden het kruis de proost doen weinig nut .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.13	geren stool beschutten hij , nog geren vierkant muts , nog geren godtvruchtigheit kennen jezus priester helpen , torn wie , o Willem broeder , u bloed niet mogen stelpen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.14	daar gei te sneuvlen quaemt , rechte over het oog altaar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.1	Wat horen ik hier al leeds !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.2	hoe veel ik ik zo na !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.3	verhaal ik evenwel al d'overige ellende .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.4	het beginnen vernoeghtme niet : ik verlangen mede schrikken na het eend .	Fear_Emotion_Desire
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.5	Hoe kosten ik droef manna zo scheiden vinden zijn bloed ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.1	In zo velen ramp houden hij al de zelf moed , En ijveren om de Dam te houwen onbezweecken , waar lang doen vijand zoeken geweldig in te breken : gelijk een waterstroom geweld baard op een sluis , En elk gehoor verdoofd mede ysselijck gedruis .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.2	doen deur kant zien geweldig tegen het wringen de springvloets ; voor een wijlen , tot die zijde openen spring , En geven het water ruimte , de springvloed vrijen tomen , Die winden dan vellen , en rukken doen wortel mede de bodem , En huis en hof om ver , en zetten doen laag land In een baar zee , mede groen en nieuw strand .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.3	Dus gaan het , naar die ik wel een helen uur langen de Dam Verdadight hebben , zo dra doen burgerij doen vlammen te daecke vinden doen kerk te hemel uitgeslaegen , En het heerlijk gebouw zien brand licht liggen , En horen het moortgeschrey de volx , die oud en jong vinden boven , om hebben vieren t'ontgaen , te bersten springen , Of in doen spiets vallen te aarde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.4	deze gezicht benemen zij al de moed .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.5	doen hels Grobber stichte mede een gewijd toorts de branden in het heilig dak .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.6	Hoe leed hebben god , die hij doen mogen niet eer en steken !	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.7	torn wassen hebben elk voor zien , een ieder berg zijn leven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.8	ik broeder roepen , ik zij ik fluks op het slot begeven , En zijn gemalin en kind gade slaan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.9	hij zelf week op het stadhuis , en beven doen lest staan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.10	ik wereld op weg verletten , en komen de burcht bewaren , En hopen doen goed god zullen ik ' heer broeder sparen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2016.s.1	Een hoopelooze hopen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2016.s.2	och Gysbreght , lief heer , ik rekenen uw al dood , en zien uw nimmer weer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.2018.s.1	rijden vinden Edelingen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.1	waar wereld oprechter trouwen Dan tussen manna en vrouw te wereld ooit vinden ?	Emotion_Loyalty
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.2	Twee ziel , gloeiend aen een gesmeet Of vasten schakelen en verbond In lief en leed .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.3	doen bannen , die het hart binden de moer aen hebben kind , gebaard mede wede en smarten , Aen haar barsten mede melk voeden , zo langen dragen onder het hart , verbinden hebben bloed .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.4	nog sterk binden doen bannen vinden het paar , door hand aen hand verknopen , om niet te scheiden , naar datze jaar langen paren Een kuis en vreedzaam leven leiden , gelijk vinden aard .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.5	daar zo doen liefde vallen , smelten liefde ziel mede ziel , En harden mede harden te gader .	Emotion_BodyPart_BodilyProcess_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.6	Die liefde zijn sterk dan doen dood .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.7	geren liefde komen god liefde nader , nog zijn zo groots .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.8	geren water blussen deze vuur , hebben edelst , die natuur te wereld hebben ontsteken , deze zijn hebben krachtighste cement , die hart binden , alles muur breken Tot puin in het einde .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.9	Door deze liefde treuren doen tortelduif , scheuren vinden heer beminnen tortel .	Emotion_Love_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.10	zijde jammeren op doen dor rank vinden een bodem , verdrogen vinden wortel , haar leven lang .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.11	zo treuren nu Aemstels vrouw , En smelten , alles sneeuw , vinden rouw Tot water en tot traan .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Love_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.12	zijde rekenen Gysbrecht nu al dood , Die om zijn stad en onderdaenen Zicht geven te bloot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.13	nul god , vetlicht haar kruis , die zijde de held op het huis mede blijdschap mogen ontvangen , Die tussen hopen en vrees drijven , En zuchten , en uitzien mede verlangen waar Aemstel blijven .	Fear_Joy_Emotion_Hope_BodilyProcess_Desire_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.2073.s.1	ik dunken ik horen gerucht : daar roepen een aen doen poort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2073.s.2	god lof , hebben zijn ik heer : ik hebben zijn stemmen horen .	None
vond001gysb04_01.TEI.2.text.body.div.head.2075.s.1	hebben vijfde bedrijf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.2077.s.1	Gysbreght vinden Aemstel Badeloch .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.2077.s.2	bieden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2079.s.1	ik lief , hoe hebtge dus uw oog uitkrijten ?	BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2086.s.1	Nu gei behoudens zijn .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2086.s.2	zijn al ik leed vergeten , ik trouwen bruidegom , ik hoofd , ik troosten , ik schatten : Nu gei behoudens zijn , wat geven ik om doen stad , Om al hebben wereltsch goed !	None
vond001gysb04_01.TEI.2.text.body.div.sp.2086.s.3	hoe zijtge hier komen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.1	naar die doen vijand nu de Dam hebben innemen , nemen ik en het overschot na het raethuis toen doen wijken , En houden hij staan mede kracht , alles water voor de dijk ; daar het lantvolck opgeklept zien zoeken bij nacht te redden , En brengen vasten zode aen , en steen , palen , bed , En bulsters , en al wat de zeedijck stut kunnen , waar die zijn doorgeweeckt ; en zweten mede al manna .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.2	die spijten de groot reus , die laten zien vreselijk horen , En steken mede hals en hoofd , gelijk een steil torn En spits , boven het volk en al hoofd uiten , En scheiden een olyfant , die omsnoft mede zijn ' snuiten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.3	Zijn spiets wassen een mast in zijn grof vinger .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.4	ik zien hij manna op manna gelijk konijn slinger Wel driemaal om zijn hoofd , vatten bij het een been , En kneuzen dan hebben hoofd op stoep of op stenen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.5	hij kunnen mede zijn polsen een ' burghwal over spring , hij proeven op grendel doen deugd de stalen kling , houwen fel mede een slag door ijzer en door staal , En proeven zijn beckeneel op poort vinden metalen .	None
