huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.2	Wanneer ik vinden uw gaan , En zelf vinden uw de lassen , om met te gaan , ontving , storten ik een gans stroom vinden tranen uiten mijn oog .	BodyPart_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.3	Ik zien u fier gemoed wel door doen spijt bewegen , Die Agamemnon uw dor aandoen , tros vinden zijn ; mare ik zien in al u doel geren ' teken vinden minnen .	Emotion_BodyPart_BodilyProcess_Love_Pride_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.4	gei laten ik heen gaan , en kwaamt ik zelf niet zeggen hebben laatst vaarwel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.5	Hoe kennen , hoe moeten ik deze uitleggen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.6	In plaatsen vinden ik zelf te vertroosten in die staan , Sloegt gei , te nauw node , in het heen gaan , u gelaten Op ik ontstellen zichten .	Worry_BodyPart_BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.8	kosten gei uiten mijn oog Niet zieden , hoe zeer ik door u ' droefheid worden bewegen !	Emotion_BodyPart_Compassion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.9	Hoe mijn ziel verlangen , om mede een kussen voor het laatst ik afscheid nog vinden uw te nemen !	Emotion_EmotionalAction_BodyPart_Love_Desire
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.10	gans verbazen , En tot doen dood ontstellen , zijn ik vinden uw scheiden .	Emotion_Unhappiness_Wonder
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.11	Hoe gaan ik treurig ogen in zijn tranen weide , zode ras ik eenzaam wassen ; en vrijheid hebben , ik ' rouw de teugel zonder maat te vier !	Emotion_Loss_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.1	Ach Mevrouw !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.2	herroepen die droef tij niet weder in u ' gedachte .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.3	doen vrouw uiten zien mede woord en mede klacht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.4	ik ' tong wassen niet bekwaam tot spreken .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.5	neen , ik harden wassen al te zeer beklemd door zulk een honen en smarten .	Offended_Emotion_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.6	hebben ik uw niet beminnen , ik hebben uw zelf geven , En Agamemnon hebben niets tegen ik misdrijven .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.1	En ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.2	zode gei ik nog , gelijk gei zeggen , beminnen , Hoe kunnen hebben mogelijk zijn , die gij uw niets onderwind , Om ik weder in u ' macht te krijgen , alles voor deze .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.4	zien hebben zelf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.5	zijn deze geren ' rijden om te vrees Voor een ' verliefd ziel ?	Fear_Emotion_BodyPart_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.6	nog doen gei meer : en schonen ik Agamemnon zelf uw weder hebben aangeboon ; hebben enig , denken ik , daar ik Held na zullen verlangen , wild gei ik in tegendeel niet weder vinden hij ontvangen .	Emotion_Desire
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.7	hij voegen doen heerlijk geschenk daar nog bij : Doch niets kunnen u gemoed veranderen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.8	Daar gei , Om ik vinden uw liefde op het zeker te overtuigen , geschenk geven moeten , om zijn gemoed te buigen , Om ik daar door weder te verkrijgen in u ' macht , zien ik ik zelf vinden uw op het smaadelykst verachten .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.1	mare , ik bidden , hoe komen gei hier ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.2	zijn gij uiten uw zelf doen band En slaaverny ontvluchten vinden het hoofd de dwingeland ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.3	Zondt hij uw herwaarts , tot verzoening vinden ik haten ?	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.4	Of zijn hebben op bevel en order vinden de raden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.1	torn Ajax weder komen mede Ulysses , en wij zeggen , Hoe gei vinden zij verwoed en meer vertoorend scheiden , alles ooit , zitten elk bedrukt .	HeavyHeartedness_Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.2	doen dwingland zuchten zelf , slaan beven zijn ogen na het hemels gewelf , En roepen doen god om helpen , daar hij zijn ' schuld bekennen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.3	doen droefheid en doen rouw wassen algemeen .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.4	In het eend spreken dus Laertes zode , op list steeds bedenken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.5	wie zieden , o held , wij in het uiterst brengen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.6	die fier harden zijn door geren ' rijden te overwinnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.7	ik moeten iets ander , zode ik vorderen willen , beginnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.8	ik zenden ' Brizeis zelf aan hij .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.9	zij schonen zichten , zijn voor hij eertijds , in de strijd zelf , hebben zwichten , hebben mogelijk op zijn harden doen zelfde kracht behoudens , schonen zijde elkandere in velen dag niet aanschouwden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.10	alles hij zij weder in zijn ' tent hebben , zullen misschien zijn toren verminderen , en wie hij weder zieden te strydgaan , daar wie hij in al die tij niet zien .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.11	het zijn tocht mede wij braden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.12	wie moet al waag .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.13	Elk keuren zijn zeggen goed .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.14	ik halen ik in de raad .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.15	ik tonen ik in het kort de beklaagelyken staan vinden het grieks leger ; en , om ik meer te bewegen , ik stellen ik voor hebben ogen , hoe Hector , die zijn zege vasten voortzetten , en verwoed rijden naderen aan u ' vlieden , uw zelf , ik waard Held , ook dreigen mede doen dood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.16	Op die verbeelding worden ik ' ziel mede uw bewegen .	Emotion_BodyPart_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.17	ik denken , ik zien uw rijden neerstorten voor mijn oog .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.18	Ik weigeren nochtans weder na uw toen te gaan , zode langen ik uw willen niet zelf hebben verstaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.19	Ik vrezen mijn Heer en waarde te verstoren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.20	Tot die Ulysses zien dus ook voor ik laten horen : Mevrouw , wild gei u Held nog eenmaal weerzien , gei hebben deez dagge mare tij ; wan morgen gaan hij vlieden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.21	hij maken zien rijden reden , om weder in zee te steker .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.22	deze kosten allee het ontzag , die ik uw toedraag , breken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.23	ik besluiten terstond te gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.24	ik wouw ik lief velen eer nog eens verstoren , dan die ik hij nimmer weer Aanschouwen zij .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.25	willen ik doen waarheid tocht ontdekken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.26	zijn het zijn ik Heer ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.27	denken gei op morgen te vertrek ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.29	zode hebben zijn zijn , laten ik met gaan , op die ik geren meerder smaad geschieden , door zijn dwinglands tieranny .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2683.s.1	Ulysses hebben , Mevrouw , uw niet geheel bedriegen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2683.s.2	Ik hebben het zeggen : mare door de branden de vlieden bewegen , En zien hebben gevaar te naar , om lang stillen Te zetten , hebben ik , wild ik zelf niet strijd willen , Patroclus mede ik volk en wapen zenden , Om het hatelijk vuur , die rijden twee schip hebben verslinden , En Hectors raazerny mede moede te weerstaan .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2683.s.3	Nu weten gei zelf , Mevrouw , die ik niet in zee zullen gaan , zode langen ik Vriend niet weder zijn uiten hebben veld komen , En ik zijn ' dood , of zijn ' verwinning hebben vernemen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.1	zode zijn u volk , voor het eest , dan weder gaan te strijd !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.3	welk een ' vreugde , ik Heer !	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.4	hoe zijn ik ' ziel verblijd !	Joy_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.5	Ik vrezen alreeds , die ik , alles Helena in Trojen , hebben zaad vinden tweedracht zullen in het grieks leger stro , de droef ondergang bewerken vinden de geren , wie bijzijn ik vlijen moeten , doch om wie afzijn ik wee .	Fear_Emotion_EmotionalAction_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.6	de griek droef staan hebben uw in het einde bewegen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.7	zode veel ik al zorgen uiten ik gemoed vervliegen : zode zullen ik ik hier naar niet wijdte , die door ik doen Griek brengen zijn onder Trojes heerschappij .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.8	wan deze zijn het noodlot vinden doen onzaligste al vrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.9	ik vrezen doen overwinning vinden ik Vaderland te aanschouwen , Ik vrezen doen nederlaag vinden hij , die mede wellen ik landen verwoesten , ik manna en broeder hebben vellen .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.10	deze droef herdenken persen doen tranen uiten mijn oog .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.12	indien u ' deugd ik ' ziel niet hebben bewegen , Hoe zoet zijn het ik wezen , te zieden , die ik zichten zode fel een vuur vinden haten hebben in u harden stichten !	Emotion_Hatred_BodyPart_BodilyProcess_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.13	ik moeten ik verheugen , die ik doen vriendschap hebben verbreken de grieks hoofd , die ik ik ' vriend hebben wreken , doen schim verzoenen hebben vinden ik broeder en manna .	Joy_Emotion_EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.15	in tegendeel die zelfde Achilles kunnen ik ' ziel , door zijn deugd , in zijn minnen doel blaken .	Emotion_BodyPart_BodilyProcess_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.16	Helaas ik Heer !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.17	gei zien doen tranen lang ik ' kaak Neervloeijen .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.18	belg uw niet ; ik bekennen uw , tot ik ' smarten , die ik uw haaten willen , doch min moeten in het harden .	Emotion_Hatred_Love_Sadness_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2718.s.1	gei wild ik haaten !	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.2725.s.2	en hebben ik gene rijden , zode ik ik ' plicht niet te buit zijn treden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2725.s.3	En gei beminnen ik nog ?	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2729.s.1	zode zeer alles ooit , Mevrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.1	dragen zorgen dan , die ik nooit die dwingland weder aanschouwen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.2	Ik zijn , op zijn lassen , hier weder bij uw komen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.3	hij hebben ik mede wellen eest uiten u arm nemen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.4	Nu zenden hij ik wederom . het zijde gei dan blijven , of gaan , stellen ik niet meer te doelen voor zijn wrok en haten .	Emotion_Hatred_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.5	laten ik hier blijven ; wild doen griek ik aanschouwen , alles doen oorzaak vinden zij ramp .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.6	laten uw u toren berouwen , En gaa zelf weder te strijd , op die ik , tot ik ' rouw , Ook het overblijfsel vinden ik landen niet weder aanschouwen .	Emotion_Anger_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.7	Hoe zullen een ieder vinden ik spreken , alles zijde zien , Hoe Held Achilles deugd Brizeis kennen behagen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.8	wan , schonen doen schaamte ik doen tong tot nog toen bond , gei , gei zijn doen enig , in hebben gans werrelds ronden , Daar ik , in mijn ramp , vernoeging bij kunnen vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.9	ik zien ik alom vloeken vinden vijand en vriend : Doch zode langen , alles gei ik niet wederom verlaten , troosten ik ik nog in deez beklaagelyken staan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2763.s.1	u afzijn hebben ik ' ziel meer , dan doen schae , doel leiden , Die griek hebben lijden , zode langen ik niet wouw strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2763.s.3	Mevrouw , ik doen mijn achtbaarheid te korten , Indien gei zelf ik niet weergegeeven woord Door Agamemnons hand .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.1	sparen , sparen u ' tranen .	BodyPart_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.2	ik zullen mede ik ' vlieden door zee geren wegge na Phthie banen , Of gei zullen mede ik gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.3	die zweren ik bij doen god .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.4	stellen uw rusten , ik Lief .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.5	mare om vinden deze honen ik op de dwingeland te wreken , zijn het vinden nood , die gei , een kort tij , nog horen na ik ' gebod .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.6	gei spreken na u liefde : ik oordelen na hebben geren mijn eer ik afvergt , naar zode velen weerwaardigheen .	Honor_Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.7	Ik moeten nog eengen tij u vriendlyk bijzijn durven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.8	wan zode Achilles geren ' voldoening kunnen verwerven , zijn hij Brizeis gans onwaardig .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.9	kaar , ai kaar , Al vallen hebben scheiden hard , dan na de dwingland weder .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.10	Ik pynig ik niet minnen , alles uw : mare ik hebben gezworen , Niet eer na uw liefde , en zijn ' gebeen , te horen , Voor hij zien zelf voor ik vernederen , en die spijt Dus wissen uiten mijn ziel , daar zijde zode velen om lijden .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.1	zijn deze die teder minnen , zijn met gei ik wild vlijen !	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.2	wie zijn bij een .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.3	gei dwingen ik zelf om weder te scheien .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.5	zijn uw ik zichten zode haatelyk !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.6	wel aan , Doorstoot ik barsten : wat hoeven gij uw lang te beraden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.7	Of vrezen die zwaarte , hebben geren ik ' broeder deedt sneeven , hebben geren ik Bedgenoot beroven hebben vinden hebben leven , zien in hebben einde ook te bezoed'len mede ik bloeden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.8	Te sterven vinden u ' hand zijn mijn ziel zode zoet , Ja zoet , alles , nu wie bij een zijn , weder te scheiden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2821.s.1	hebben gij ooit zien , zelf daar ik ' hand in het bloeden gaan weide , die ik ik schuldig maken aan het moord vinden een ' vrouw ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2821.s.2	En zullen ik uw , die ik zode teder , zode getrouw beminnen , ontmenschte ! het stalen in uw boezem druk ?	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2821.s.3	Eer storten doen Hemel op ik hoofd al ongeluk , Die ooit een sterveling gevoelen hebben en beweend , Eer gei Achilles harden zode wreed zien , zode versteend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2832.s.1	Hoe kunnen u ' wreedheid voor elk oog klaar blijk ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2832.s.2	Omdat Mycenes Vorst uw dor verongelijken , brengen gei u Vaderland in d ' allergrootsten node , En dreigen hebben gans heir mede een wis dood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2832.s.3	ik , die zode teder uw beminnen , in mijn zin , En die gei zelf veinzen zode trouwen wederom te min , ontzeggen gij uw bijzijn , en tonen , mede een fier gelaten , die mijn droefheid uw niet meer te hart gaan .	Emotion_BodyPart_Love_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2842.s.1	u ' liefde raken ik .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2842.s.2	mare zij strek ik tot geren hinder , die ik , om haarent willen , ik roemen en eer verminderen .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2842.s.3	Gaa dan , Mevrouw : ik verzoek het , alles minnaar ; en gebied het , alles voogd vinden ik ' gevangen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2854.s.1	Onlydelyk verdrieten !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2854.s.2	wild gei hebben zode begeren , mogen ik niet tegenstreven : mare , zode gei zorgen hebben voor ik welzijn en ik leven , Verlosch ik ' bang ziel uiten deze slaaverny , kosten gij in ik harden zieden , wat ik om u afzijn lijden , Ontmenschte ...	Fear_Emotion_Loss_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2854.s.3	mare ik gaa , wild ik moeten gehoorzaam wees .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2861.s.1	het staan nog aan ik niet , om u ' droefheid te genezen .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2861.s.2	ik moeten zelf afwachten , wat doen dwingeland zullen doel , Om ik ' beledigen eer en glorie te vergoen .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2865.s.1	varen wel , ik Lief !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2865.s.3	hoe bitter vallen deze scheiden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2869.s.1	varen wel , Mevrouw ! ik zullen uw in veiligheid geleiden .	None
huyd001achi01_01.TEI.2.text.body.div.div.p.2871.s.1	Einde vinden hebben derde bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.head.2874.s.1	vieren bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.1	IK hebben uw wederom doel karn , Hoe zeer het uw smartte , o schoon vrouw !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.2	u vriendelijk zichten te ontberen , strekken mijn ziel een ' groot rouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.3	Ik zien , wanneer wie moeten scheien , u ' minlyke oog bitter schreien .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.4	Ik houden ik ' smarten in , en ontveinsde ik verdrieten .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.5	mede droefheid hebben ik uw de dwingland weder geven : Doch ik kunnen zonder uw wel leven ; mare zonder eer leven Held Achilles niet .	Honor_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.6	Patroclus , waard mijn vriend , hebben ik het geluk , uw naar de strijd Verwinnaar wederom te vinden , Hoe zullen ik ' ziel dan zijn verblijd !	Joy_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.8	ik vrezen , gei zullen doen kracht vinden Hector mogelijk verachten .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.9	betrouwen uw niet te velen , alles gei die wreed zien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.10	Doch kunnen ik uw dood mijn eer weergeven , Ik kunnen ook zonder uw wel leven ; mare zonder eer leven Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.11	Brizeis , wat moeten gei niet leiden , Nu het schijnen , die ik uw weder verstoten !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.13	ik laten uw strijd , terwijl ik zelf blyf buit node .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.14	ik dunken , ik horen uw beide klagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.15	doen een gaan om ik zijn leven waag ; Daar doen ander zien om ik vinden elk verstoten zien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.16	Doch kunnen u ' droefheid ik mijn eer weergeven .	Honor_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.17	zode kunnen ik zonder uw wel leven ; mare zonder eer leven Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.18	gei , god , die ik woud voorspel , die mijn hand en dapperheid de muur vinden Ilium zij vel , hebben uw godsspraak ik misleiden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.19	In plaatsen , die elk ik eer zij toon , zien ik ik vinden Agamemnon honen ; terwijl hij ieder volgen , en mijn zijde verlaten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.20	die hij ik dan voldoen , of die zijde al sneeven , wan ik kunnen zonder zij wel leven ; mare zonder eer leven Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.21	mare neen ; ik zullen de uitslag wacht vinden deze allerlaatst strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.23	die doen vlieden zien door u ' kracht , Patroclus , weder zien bevrijden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.24	mare moeten gei voor de Trojer vlucht , En laten ik Agamemnon zucht , zode kaar ik na ik landen , en laten hij in het verdrieten .	Fear_Emotion_EmotionalAction_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.25	die dan doen griek op de Troischen oever sneeven , wan ik kunnen zonder zij wel leven ; mare zonder eer leven Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.stage.2942.s.1	achilles , feniks .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.1	HOe gaan hebben ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.2	hebben ik vriend vinden zijn moede rijden blijk geven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.3	hebben gei rijden de vijand af zieden wijken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.4	verklaren doen zege zien voor wij ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.5	en zijn doen vlieden Door deze bijstand al beveiligen uiten de node ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.1	ik zullen uw verhaal , het geren ik zien hebben mede mijn oog .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.2	u moedig volk , al langen mede ons ramp bewegen , En haakend na de strijd , zien uw halsvriend aan , En wachten zijn order allee om verder voor te gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.3	Patroclus toeven niet langen , mare zien aan al zijden , zijn het nodig wassen , hebben eest de vijand te bestrijden , vliegen na doen schip straks vinden Ajax , en vinden Held Protezilaus , half verslinden door het wellen de vijandelijk vlammen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.4	Ik zien u ' braaf bende , Op zijn lassen , mede vreugde zien aanstonds derwaarts wonen .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.5	doen vijand zien u vriend , en denken , die gei hebben zijn .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.6	hij kennen u ' kracht nog , schonen hij in lang tij Die niet beproeven hebben .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.7	eest zode moedig en verbolgen , zien ik hij straks vlucht voor u ' troep , die hij volgen .	Fear_EmotionalAction
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.8	gelijk een watervloed , al wat hij stuiten of keren , Door het breken vinden een dijk , te neersmyt , overheert , En dikwijls mede zien slepen : zode zieden wie uw troep doen Trojers drijven , die vasten om genadig roep , het Geweer wegge werpen , en mede haasten zien na doen stad begeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.9	hebben gei zelf hebben zwaarte weder opvatten , Om d'overwinnaar dus op het vinnig te treffen , Hoe zij gans Griekenland u naam en roemen verheffen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2993.s.1	Neen feniks , Griekenland zijn zelf wel overtuigen , die , zode doen Troische macht voor ik Patroclus buigen , ik arm , indien hij weder de vijand willen weerstreven , de muur vinden Ilium de laatst krak kunnen geven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2993.s.2	mare hoe zijn het mede doen vlieden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2993.s.3	hebben zijde velen schae lijden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3001.s.1	Wanneer u braaf vriend de vijand voor zien heen zien stuiven door hebben veld , hebben hij straks zorgen gedragen , doen vlammen te blussen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3001.s.2	torn al doen ander deze zien , Hoe zeer zij moede ook wassen verdwijnen mede zij macht , voegen elk zien bij u volk , en krijgen weder nieuw kracht .	None
