hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. hoofd GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3846.s.4	hebben braaf , opzichtig , groot , en hemelhoog verheffen , vinden duisenden gewenst voor salich-maekend leven , Soudij verlaat , om een leven zoet , en zeggen , mare ongezien , en laag , slechten , nedrich , ongeacht , hebben welk uw mogen bedroeven , Wanneer ghij het quaemt te proef .	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3846.s.5	ik raken ' er lichtelijk in , mare swaerelijcker uiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.1	Daifilo ' , en hout hebben ik voor geren verijlt besluiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.2	Eer ik mede deze zaak dus ver zijn voortgetoghen , hebben ik in juist schaal doen ding overwegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.3	doen Prinsselijcke staat velen nutheits innebrengt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.4	mare ( god ! ) wat tegenwicht zijn mede die nut mengen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.5	Ach eenvoudig rusten de herder laech-geseten , Die luttel vinden het geswindt ramp overrompelen weet !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.6	ik zien nauw , die ik iets , nul Daifilo , verliezen , Indien die ik die staat slechts om haar zelf keur ; Nu kiezen ' icks ' niet allee om het schuw de verdriet , Die ik naekende zijn , mare meer , om te genieten En te vergelden die u liefd ' , die ik verwinnen ; doen waard vreugde , die de hemel deel kan : Om welk ' in mijden het vier ik zullen te leven doogen .	Fear_Joy_Emotion_EmotionalAction_Love_Vindictiveness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.7	mare wat , ik doe't alree , ghij zien doen proeven voor oog .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.8	Wat lassen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.9	Wat smarten ?	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.10	Wat quellage soud ' op ik harden hecht connen alles ik een mede uw mogen zijn ?	Emotion_BodyPart_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.11	Daifilo , hoe dus verbaasd ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3879.s.12	hebben uw deze mare verslaeghen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.1	verklaren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.2	ja , ik Vrouw , nooit droefheid in ik dagen Vermeesterde ik harden mede zulk overlasten , gelijk doen blijdschap nu die heftig annetast .	HeavyHeartedness_Joy_Emotion_Other_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.3	Wat eer ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.4	Wat lof ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.5	Wat dank kan uw doen wereld geven ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.6	ik denken zijn te klein .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.7	Ach lief , en zalig leven ik ootmoedig ziel !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.8	Ach mogen ik ziel , vinden nu Eeuwelijck metter wonen varen uiten ik in uw !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3893.s.9	En , in deze woning schonen uw ziel , altijd na deze Onscheidelijck , zij trouw-nechtige dienstboo wees !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3899.s.1	Daifilo ' , wij kort tijd moeten zijn nemen waar .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3899.s.2	Vindij ik voorslag goed ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3910.s.1	ik vrouw , die wijden daar Niet lang op beraden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3910.s.2	u voorsicht hebben velen verder , Prinsses , en goed gezien , alles uw slecht herder .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3910.s.3	Wat uw belief ' geschie .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3921.s.1	Nu Daifilo , die wijden ik voedster dan terstond gaan winden op wij zijde , En onderrichten haar doen zaak te bestellen , die ik verliezen op het minst mogen ik heer vader kwellen .	None
hoof001gran01_01.TEI.2.text.body.div.div.head.3925.s.1	vieren delen	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.1	Onder zo velen , zo velen cieraden edel en braaf vinden vrouwelijk slachten , en zijn doen minst gaaf de hemel niet , die zijde schielijk een raden verzinnen , Die na velen overleg , een manna nauw zullen vinden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.2	zo ras doen voedster hebben haar tegen-reen geseit , Waerense vinden ik vrouw wel crachtich weerleggen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.3	zo ras doen voedster zien die vinden verandering spreken In haar voornaam , wassen voor stenen rots preek , En wij haar dienst bieden , zo hebben zijde , om het stuk licht uiten te voer , in minnen alles een ogenblik , Listigen raden bedenken , om zo zeer te verblinden koning , en heel hof , die zijde niet een haar wonen zullen , om onderzoek na doen Prinsses te doel .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.4	doen zaak zijn bestellen , en niemand zullen vermoeden aanzien op ik .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.5	Neen , wan enten west nog niet gedaan , , zijn , doen bruin grijns vinden de hemel vrolijk aanschijn ; scherp zijn Uchtens gouden kruin in het oosten schitteren , met haar verschgevlochten krans vinden roos rood , en witten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.6	niemand vinden het hofgesin zijn , weten ik , nog rijzen , En achten ik heer zullen mede nog bij zijn bed wees .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.7	mare , later dienen het niet !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3964.s.8	zien waar hei ik ontmoeten , doen blijdschap storen de slaap meer dan doen droefheid doen .	Joy_Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3997.s.1	Spoeydt uw , eerwaerdich liggen , om op ik uiten te spreyden het beginsel , en het vervul vinden ik geluckicheiden ; nul blozend ' ochtend , boete ik onrustich gewach , Voorloopster vinden doen zon , vroemoeder vinden de dag .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3997.s.2	En ghij , glinsteren ster , dekken u verliefd straal Wat eer alles u gewoonte , en om weder te vertalen u tijdverlies zo wild uw avond lief spoeden Wat vroegher , alles u liggen ik goed dienst zullen doel : stellen u brageeren uiten , zoet Godin , tot avond , En nemen zo velen ghij nu te kort komen aen de avond ; Indien ik willig volch de min heet branden , nog godheid boven d'uw verheffen in ik verstand .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4001.s.1	Ich wensen ik heer vinden daech het hoogst geluk te proef .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.4008.s.1	Daifilo , sijdij daar ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4008.s.2	gaan wijden te hof vertoeven , Tot die doen koning rijzen ' , om dan vinden staan aen , gelijk besluiten zijn voor na ik vrouw te gaan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4008.s.3	mare zien : haar voedster .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4008.s.4	Wat of haar dus vroeg mogen kwellen ?	Emotion_Other_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.4017.s.1	Misschien , ik heer , zijn om doen staessy te bestellen , Die tegen u coomst moeten heerlijk zijn bereiden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4021.s.1	roepen haar , op die ik iets van Prinssesse weten .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.4024.s.1	daifilo , voedster , tisiphernes	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4028.s.1	ik vrouw !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4032.s.1	nul groot god !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4038.s.1	ik heer soud ' uw iets vlaag .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4042.s.1	waar zijn doen koning ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4047.s.1	Wel ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4047.s.2	Voedster , hoe dus verklaren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4047.s.3	wat vinden Granida ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4047.s.4	He ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4052.s.1	nul god wonderbaar !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4057.s.1	Hoe , en zijn niet wel mede haar ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4057.s.2	doen zaak betreffen ik mede , zeggen wat'er mogen gebrek .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4061.s.1	Datmen de koning wekken , ik moeten de koning spreken !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4068.s.1	Datmen de koning wekken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4068.s.2	mare geven wij wat bescheid , zijn kwalijk of zijn wel ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4072.s.1	kwalijk , en wel , vinden beide .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4076.s.1	kwalijk en wel ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4076.s.2	Hoe soudmen hier bescheiden uiten merkel ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4081.s.1	nul eeuwichlijcke macht !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4081.s.2	nul wonderlijk werk Die d'aertsche zin , en vernuft te boven gaan !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4086.s.1	nul god , wat zullen deze zijn ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4093.s.1	terstond suldij het verstaan , ik heer , doen koning zijn wekken , en voor rijzen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4097.s.1	zien of hei komen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4101.s.1	ik heer , hei zullen terstond hier wees .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4105.s.1	daar zijn doen koning , nu u boodschap , voedster , doen .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.4107.s.1	koning , voedster , tisiphernes	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4113.s.1	Voedster , wat brengdij wij dus schichtig ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4113.s.2	kwaad of goed ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4121.s.1	het believen ' uw , heer , uiten ik te horen doen geschiedenis , En zelf te oordelen of voor kwaad of goed te duiden , , zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4121.s.2	doen koning mede geduld aenhoore ik vertrekken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4125.s.1	spreken claerlijck , niemand en zullen storen u gespreek .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.1	Hoewel een edel harden vinden uitnemen zin al ' edel hart vrome , en deuchtsaem moeten beminnen , zo hebben natuur nochtans hechten aen wij gemoed Een treek , die ver , d'een voor d'ander kies doen , Om door vereende liefd daar mede te zijn verbond .	Emotion_EmotionalAction_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.2	alles zulk wederpaer treffen worden , of vinden , wassen liefd ' heftig en ras , zo dat , na ik vijndt , geren nieuw vriendschap , mare vrientschaps vernieuwing schijnen : rechte of die ziel mede elckander onderling paren hebben wezen , al eer zijde lijf ontvangen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.3	de Tisiphernes zien niet belge , die ik vrouw , alles zijde gistr ' avond haar tot slaap geven zij , Om het aenstaend ' huwelijk wassen droevig en t'onvrede , alzo het aen haar gemoed niet ganselijk en voldede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.4	doen treurig Prinsses zeer velen , en ijverig bidden doen groot god , haar te gunnen het gene die Die goed dan zijde zelf voor het goed en schoon kennen , En conden , wassen hebben haar goddelijk believen zenden . het woelen denken hebben nauw vinden het bidden einde maken , alles zijde , en corts daerop , ik zijn in slaap geraken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.5	ik liggen in diep rusten , ik lid overgieten mede zacht slaap , en al ik zin toesluiten , ik ziel dompelen in een grondeloos vergeten , zo die doen droom ook , die buiten tijd mede leed En daags arrebeyt de lichaam , komen kwellen , mede haar vernieuwing niet vermochten die t'ontstellen ; Wanneer een groots geluid schielijk ik oor slaan , En overclaere glans ik vaak uiten d'oogen jagen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.6	ik horen zo , en zien , ( nul god , leren ik zeggen ) die d'opgetoogen ziel het lijf onbeweecht laten liggen .	Joy_Emotion_BodyPart
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.7	zien daar , doen kamer leven , en sidderen op doen klank , En lijfelijk maat vinden hemels speld en zinken de godin , gecroont mede groen laurentelgen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.8	D'ontsprongen venster op en cunnen niet verzwelgen hebben hel liggen waar vinden doen vol kamer blaken , Vloer , wan , tapisserij , hebben welfsel vlam braken En al zonder branden , niet om vernielen moordich , mare tot erkentenis de Godtheits tegenwoordich .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.9	doen sangsters schikken haar enten ronden ' , en mijden in de fraeygevoechden ring , verheffen haar een Godin ; Granid ' in alles gelijk ; vinden welgeschickte lid , vinden eerwaerdich gelaat , vinden tronie netten besnijden , vinden oly-cleurt gezicht , vinden dicht vlecht blond , vinden bleekheid de gedaents , en rood koralen mond .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.10	hebben hoofd , tot teken vinden haar manlijk luim , die dekken een blank helm , en blikkeren door doen pluim .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.11	haar voorzichtig arm gewapend schijnen te zijn mede een schillen vinden klaar doorzichtig kristallijn ; mare die zijde zijn wijselijk bruickt , en niet en zoeken door deze alles zoet wreed , blijken aen haar bezadigd wees , En de olijventack , een tegenteecken vinden het Crijchsduyend gras , die zijde reiken mede haar recht handen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.12	zijde wenden haar tot Granid ' en goddelijk zede Ontsluiten haar mond , mede dus-danige rijden ; welk goddelijk kracht Diep drukken ' in ik denken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.13	Granida ' , ontwaeckt , die rusten uw buit slapen vinden , zien hier Minerva , die nog inde wiech uw minde En haar genade zand .	Emotion_Love_Compassion
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.14	geren mens vallen uw te lot , mare in de hemel troon , doen Liefd , een eeuwig Godt .	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.15	u liefde tot doen Liefd , doen Liefd in liefde blaken , Die kiezen uw tot zijn Lief ; ik zullen hebben huwelijk manen , Ghij zullen doen weerliefd zijn , zijn bruid , en zijn Godin , Een vrouw vinden staeghe liefd , niet vinden doen wulps Min. u vrij wachten om hoog , wijden zijn uw coomen halen .	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.16	godin , voeren haar mede , doen doorschijnighe zaal vs. 1325 -1333 de hemel zulle haar niet schamen deze sieraad .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.17	nieuw godin , u harden vinden aertsche lassen ontslaan .	Worry_Emotion_BodyPart_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.18	uiten hadse .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.19	met ontsteken hebben wellustig spel de negen sangsters , daar zijde liefelijk onder kwelen : Nu ontslaan uw d'Aertsche lassen , goed passen uw doen godheid aen te trek .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.20	zalig godin , wijden voer dij na de hemel hoogst plek , plek altijd hal en klaar , plek , daar emmer lassen kan lusten bevlekken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.21	zo ras zijde deze zinken mede spel heffen op , ontlasten zien hebben paleis tot boven in de top , hebben gild welfsel splijten , en doen gemetste dak .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.22	Granida voer ' op olijf en laurentacken , Dus singend ' hemelwaerts , al hoog , en hoog heen , vervolgen vinden ik gezicht , tot die s'er uiten verdwijnen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.23	doen voechden zien het gebouw en al in zijn stad , Bedaerend ' alles ik mede te lang lest deede .	Aquiescence_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.24	suf verbaestheit vinden ik lid allensjens strijken , ik rijzen ' en het geren ik wel bezien hebben overkijken .	Emotion_BodyPart_Wonder
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.25	Granida's lege koets tuicht die de oud vrouw gezicht niet altijd voor droom zijn te houden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4320.s.26	Hier zijn ik geest af vol , deze coom ik dienst aen , doen koning oordelen nu na die hei het zullen verstaan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4326.s.1	ik dienaers , goed terstond wat'er af zijn bespeuren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4332.s.1	ik heer , doen vrouw razen .	EmotionalAction
hoof001gran01_01.TEI.2.text.body.div.div.sp.4336.s.1	zo doen zijde nooit te voorn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4341.s.1	Voor zeker raestse nu , al raesd'se nooit misschien .	Other_Anger
hoof001gran01_01.TEI.2.text.body.div.div.sp.4345.s.1	nog ooit , nog nu .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4349.s.1	ik en weten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4354.s.1	ik zullen haasten cunnen zien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4354.s.2	ik spoeden ik derwaarts heen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.1	doen daerin u bedragen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.2	En laat op het rascht aen wij doen tijding herwaarts dragen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.3	nul god groots , soudt gij ik wel aanzien sparen Tot het alderlaetste vinden de ouderdom bejaard , Op die ik troosteloos daerin zullen versmachten , beroven vinden het gene die allee haar leed kennen zacht ?	Emotion_BodilyProcess_Other_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.4	mare hoe ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.5	Indien alzo doen zaak zijn stellen , alles wij doen voedster voor doen waarheid hebben vertellen , zo loov ' ik danckbaerlijck u goedtheit hoog vinden waarde , Hoewel ik eenzaam blijv ' en mist ik lusten op aarde .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.6	wan alles ghij ik onttrockt deze enig pand zo zoet Door ongeval of dood , gelijk misschien ghij doen , zo soud ' ik tegen uw en ik misdoen dwaal , Indien ik op u willen , en wetenschap gaan smalen , ik steurende die ghij quaemt wedereisschen het geren die ik zo langen vinden uw genieten hebben te lid : rechte of ik goed alles ghij wat oorbaar wassen verstonde , rechte of ik ik en haar meer goed , alles ghij wij , jonde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.7	ik zoeken ; en zoom haar nog dood nog levend vinden , zo nemen ik het blijcklijxt aen , en hout die zijde bezinnen vinden een verheffen god te hemel zijn varen : wan doen bescheid reden , en het deftig verklaren de voedster brengen het mede , wie trou-bevonden mond nooit spreken wassen gewoon versuffen of ongegrondt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4397.s.8	mare zien doen vrouw daar , die brengen nieuwigheid .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.4399.s.1	rijden vinden juffer , koning	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4410.s.1	Grootachtbaer heer , hebben slot , vinden boven tot beneden , aanzien wijden helen doorsocht , en omkeren te vluchten , Granida ' zijn nieuwers , mare een lijfelijk luchten , mede goddelijk reuk vervullen haar gans kamer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4426.s.1	nul groote Pallas , nooit wassen mens uw aengenaemer alles Perseus door u gunst zegenen wonderlijk ; En nog te tijd op zijn naesaeten in hebben rijk het welk vinden hij naeme voeren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4426.s.2	godin wijze vinden raden , Ghij duren laat u gunst , en anhoudt u genade .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4426.s.3	Lof , seechbare Godin !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4426.s.4	Lof , hoochverheven Godt !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4426.s.5	Eewige Liefde , die vinden aertsche bruiloft , tot Een hemel huwelijk Granida komen verheffen , geren danckbaerheit , geren lof u prijzen kan overtreffen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4475.s.1	Lof , eewige Liefde , wijden Geven dij , Die u hoog goedheid straal , Door doen dik wolk heen , Al beneden , laat tot op aarde dal .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4475.s.2	vs. 1390 -1395 Die op uw kracht lid , eend zetten Boven al op uw hebben ooghe , trekken u goedheid overschoon Inden troon de besonden hemel hooghe .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4475.s.3	Heilich , goedertieren , edel Sijdij helen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4475.s.4	Die in uw vlam blaken , Cundij ook op aarde hier , Door u vier , mede een hemel zalig manen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4475.s.5	zo , wij die uw lief zullen , Suldij al , Niet allee Granida schaken .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.4478.s.1	tisiphernes , daifilo , koning , rijden vinden juffer	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4502.s.1	daar liggen ik troon in d'asch , en doen belofte mild vinden het schoonpratich geluk , en te vergeefs spillen zo velen moylijcke lassen te nauw node deurkropen , zo velen gevaar , zo velen te leurgestelde hoop , zo velen ' anxstige vrezen en arbeiden uitstaan , zo velen treffen zorg en zo velen weer gedaan , zo velen zoeken ramp , zo velen verdrieten lijden , zo velen verbijten smarts , zo velen vertwijfeltheden .	Fear_Joy_Emotion_Happiness_Hope_Other_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.4502.s.2	ai dol geluk , ik kennen u onbescheiden kracht !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4510.s.1	mare op een vrome moeten , ik heer , hebben zijde geren macht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4519.s.1	Niet lang dan hebben zelf haar overlasten willen lijden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4519.s.2	deze zullen ik het laatst zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4519.s.3	ik handen zullen ik bevrijden , het zijn langen genoech leven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4519.s.4	gaan wij .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4519.s.5	ik harden , verstouten uw tot een kort verdrag .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4525.s.1	ik heer , besindt uw , hout !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4529.s.1	hout , Tisiphernes !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4533.s.1	Ach !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4539.s.1	Heer , geven doen rijden plaats .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4543.s.1	het geluk en geven haar geren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4547.s.1	ja het .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4557.s.1	bedaard , en vaetse .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4564.s.1	Hoe nu toen , braaf Prins ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4568.s.1	gelijk ik ramp ik jaecht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4572.s.1	zijn deze doen liefde die gij tot Granida dracht ?	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.div.sp.4578.s.1	ik liefde ' haar niet , het en waar ik ik het verliezen laten rouw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4582.s.1	Niet haar verliezen , mare het u , wan zijde zijn hooch-behouwen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4586.s.1	zo spuwen hebben wreed geluk op ik haar kracht uiten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4592.s.1	het geluk en storen uw niet , mare die ghij het kwalijk duidt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4596.s.1	Misjondij aen u lief Granid ' een hemel huwelijk ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4600.s.1	Neen , mare ik vlieden doen smarten vinden ik misval gruwelijk .	Emotion_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.4605.s.1	Liefde ghij haar , ik heer , het geren die uw zijn geschieden , Soud uw om haar geluk , lief zijn , en rouw niet .	EmotionalAction_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.4611.s.1	haar zijn ik kwijt , en zien voor al ik toeleggen slecht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4617.s.1	doen god vinden het god , wij zullen haar onderrichten ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4622.s.1	zijde vinden het god ; mare die ik door hebben sterven ik Bevrij , die zulle ook geenszins beletten zijde .	EmotionalAction_Dissapointment_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.4626.s.1	Ghij cunt leven die uw het geluk zo zeer niet hinder .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4631.s.1	hebben zijn te wankelbaar , en liggen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4635.s.1	vertrouwd hebben minderen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.1	Vertrouwen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.2	ik vertrouwd na deze nimmermeer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.3	ik zien wel het en verheffen mare , om vinden boven neder , mede ijsselijcker slag het verheven te smeet ; gelijk de arend tros , die niet in stuk rijten de schildpad ijserhardt mede fel klauw con , hij strengelijck om hoog , schier voeren tot in doen zon , vinden waar zijn scherp gezicht kennen berg en dal , hei dan op rots harden , hij laat te bersten val .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.4	ik walgen vinden doen werlt ; en zullen ik nu voortaan Leven , zo zullen ik ik die levendig ontslaan .	Emotion_Disgust
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.5	doen lassen , en hebben gebied vinden ik bezitten land , Daifilo , leveren ik vinden nu af in u hand .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.6	zijde ghij voortaan doen Prins .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.4673.s.7	ik lever ' uw , door die daarmede niemand kan waardig zijn verzien .	None
