stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1561.s.1	Nasser , tegen Mahomet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1563.s.1	Ik zullen , zijn het u begeerte , uw bij die vorst geleiden .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1570.s.1	Welaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1570.s.2	gade in ik heir deze heil terstond verbreden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1568.s.1	Tegen Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.1	Ik zullen , op het wreed misleiden , versmaden , gezond , betigt , doel blijk die ik harden in doodsgevaar niet zwichten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.2	ik doen , indien ik gouden voor ik iets kunnen verwerven , Tot ik gerecht wraken de trots Nadir sterven !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.3	zijn dood zijn niet genoeg ; ik fel spijt eisen meer : ik stuit ook het vredesverdrag , bestemmen tot zijn vijand eer !	Emotion_Spitefulness
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.4	die zelf doen keizer ik op die verrader wreken , ik ' raden uiten blindheid volgen ' , het geven woerd verbreke , ik diene alles hij zijn ' stam voor Milkoos echt behoeden !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.6	die wij volk , gespysd , nopen tot oorlogsmoed , Heldhaftig voorgetreen door all ' mijn eedgenooten , Door Mahomets misnoegen en felgedreigde groot , Door vorstin , weer belang aan het ik ' verbond zijn , hebben loten vinden Alikan in het bloedig veld besliss ' , de Persiaan verwinn ' , zichzelf hebben leven sparen , Een ' laf vorst onttroon ' , tot keizer ik verklare !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.7	Ik juichen in ik gevaar ; ik sneef , mest ik het heldenloon , te minst mede doen hopen op doen Indostansche kroon .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1597.s.1	Einde de derde bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.head.1601.s.1	vieren bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.sp.1617.s.1	Ja , prins , ik dankbaar ziel erkennen doen deugd uw vader , Die , tot zijn eeuwig eer , doen helpen een ryksverraders Grootmoedig doemen , versmaden , een ' vijand gul bewyst , Aan wij doen wreed schenken , wij kwijnen leger spyst .	None
stee033tham01_01.TEI.2.text.body.div.sp.1617.s.2	Nooit kunnen ik dankbaarheid die weldaad evenaren : mare , schonen ik machteloos zijn een kermen heir te sparen , hij naar te volgen door het versmaden vinden een kroon , Ik kunnen mijn achten hij bewijzen in zijn ' zode : u groot ziel , waarin u ' vader deugd leven , verplichten ik , mede ik hand aan uw ik harden te geven .	None
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.1	zijn het zijn , prinses , die gei , niet uiten gehoorzaamheid , mare uiten een vrye keuren , ik mede u liefde vleien ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.2	zijn het mogelijk die ik minnen op die geluk mogen hopen ?	Emotion_Happiness_Love
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.3	verklaren uw ongeveinsd : ik zullen ik ' vader nopen , hij doel besluit , zelf in weerwil vinden ik harden , Tot afstand ons trouwen , zode Nadirs eisen uw smarten : ik zuiver minnevlam doen ik die huwelijk wraak , Indien het , tot ik verdrieten , uw zij rampzalig manen .	Emotion_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.4	Ik haten de huwlyksdwang , al minnen ik ziel uw teder .	Emotion_Hatred_BodyPart_Love
stee033tham01_01.TEI.2.text.body.div.sp.1636.s.1	uw edelmoedigheid verbaasd ik meer en meer .	None
stee033tham01_01.TEI.2.text.body.div.sp.1636.s.2	Ik durven uw ongeveinsd en zonder schaamte ontdekken , die ik wij echtverbond tot zijn geluk zullen strekken .	Emotion_Shame
stee033tham01_01.TEI.2.text.body.div.sp.1636.s.4	waar het heilryk voor de keizer , voor de staan !	None
stee033tham01_01.TEI.2.text.body.div.sp.1643.s.1	vermoeden gei dan , prinses , die Nadir het rijk verraad ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1643.s.2	Hoe kunde gei vrees , daar u ramp zijn verdwijnen ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.1643.s.3	Daar Persianen en Mogollen zien verenen ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.1	ik houden die vereniging , o prins !	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.2	voor ongewis , Zolang hebben vreeverbond nog niet bezweren zijn , En doen Indostansche vorst , door Alikan bedriegen , Onzinnig niets beschouwen dan door zijn ' gunstlings oog .	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.4	doen edelmoedigheid uw vader zijn te groots : zijn deugd redden wij te vragen uiten ons hongersnood .	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.5	Hoe duchten ik die ik vorst , om Alikan te wreken , vinden hogen node ontlasten , hebben vreeverbond zullen breken , En , echter machteloos u heir te weerstaan , mede al zijn legermacht erbarmelijk zullen vergaan !	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.1	gei spelden uw het erg .	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.2	zij doen keizer , tot beloning de hoogst gul , zijn woerd verbreken aan de koning ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.3	Een ' machtig ' vorst verraen , die , vreemd vinden wreed wellen , In spijt de vijandschap , hij op de tronen herstellen ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.4	Dan zijn ' zijn ondergang , ik ' vader wraken , rechtvaardig : Een trouweloos opperheer waar uw smarten onwaardig .	Emotion_Compassion_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.1	doen kracht de vleierij zijn uw nog onbekend .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.2	wijd niets aan Mahomet , zode hij doen wreed schenden .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.3	Staatzuchtige Alikan , leren op gruwelstuk , Geneigd door zijn keizer vallen zijn ' wensen te doel geluk , nopen die misleiden vorst , die trouweloosheid doemen , Tot eerloos krygsbedrog , het geren hij alles wettig roemen : Steeds doen hij Mahomet tot euveldaen besluit , schonen Nizamelmoluk die misdrijf pogen te stuiten .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.4	Grootmoedig prins !	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.5	beklagen , indien gei Milko minnen , En in ik droefenis geren stof tot blijdschap vinden , beklagen wij talryk heir , ik ' keizer en zijn staat .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.6	Helaas !	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.7	u ' vader gul zullen Indostan niets baat .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.8	het zijn billijk die ik rijden ik vaderland bewenen ' .	BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.9	Al het gene ik vreezend hopen zijn vinden u helpen allee .	Fear_Emotion_Hope
stee033tham01_01.TEI.2.text.body.div.sp.1692.s.1	u vrezen , u smarten verkleinen , in ik verliefd zin , doen vreugde vinden ik prinses niet vruchteloos te min .	Fear_Emotion_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1692.s.2	ik zullen roemryk sterven , of , in spijt vinden Alikan , Indien doen node hebben eisen , u schreijend Indostan , u ' keizer en zijn heir , eer Nadirs wraken zullen woeden , uiten zuchten voor u belang , voor ondergang behoeden .	BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.div.stage.1696.s.1	Milko , Nasser , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1702.s.2	hebben belge uw niet die ik mede smarten ik ' plicht , Op het koninklijk bevel , voldoen aan zijn keizer nicht .	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1702.s.3	ik moeten , in verzekering , zij afzonderlijk bewaren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1706.s.1	ik zien wij te doelen stellen aan nieuw krygsgevaren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.1	o fel tegenspoed !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.2	o onverdraagbre honen !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.3	doen koning kerkeren uw !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.4	En ik , ik zijn zijn zode !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.5	hebben zijn ik vader zelf die ik prinses beleedigt !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.6	zullen u gevoeligheid , alles uw ik minnen verdedigen , Ja op ik hoofd misschien ik ' vader gramschap laad , Op ik u wraken voldoen voor deze bits smaad ?	Emotion_Love_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.7	Of mogen ik tederheid nog na u liefde trachten ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.8	Ik durven niets ander dan afkerigheid verwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.1	u roekelooze drift verzwaren ik groots verdrieten .	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.2	verplichten ik door u helpen ; mare tergen u ' vader niet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.3	Ik achten zijn deugd te oog , dan die ik ooit zij denken die die beroemd held , die wij doen vrede willen schenk , Die uiten meedoogendheid wij hongrend leger voeden , Die het Indostansche rijk voor ondergang behoeden , Die geren bedragen scheppen in zijn vijand ongeluk , ik , die onschuldig zijn , uiten wreedheid zullen verdrukken .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.4	het zijn al in gevaar : doch geven die vorst geren schuld .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.1	zij Nasser deze smaad gedogen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.2	mede dulden hebben heilige gastvryrecht in Milko zieden schenden ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.3	In uw , aan weer belang ik welstand zijn verbond ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.5	deze honen , u rank , ik liefde zijn velen te groots .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.6	geven wij een klaar berichten waaruit deze onheil sproot .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1738.s.1	Tegen Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1745.s.1	zien Nizamelmoluk gevangene herwaarts komen , ik prins ; uiten hij worden goed deze ongeval vernemen .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1751.s.1	Milko , Nasser , Nizamelmoluk , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1754.s.1	Milko , tegen Nizamelmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1761.s.1	mijnheer , ik zien uiten u ' ramp , ik zien uiten u droefenis Wat vinden ik kerkering doen zorgelijk oorzaak zijn ; die ons vorst , misleiden , gespysd door Nadirs goedheid , die koning roekeloos tergen tot gramschap , tot verwoedheid , Ja het heilzaam vreeverbond vernietigen hebben , in wanen die wij verzadigen heir die held kunnen weerstaan .	Emotion_Sadness_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1769.s.1	wij vaderland , bykans aan het krygsgevaar onttogen , Op nieuw te doelen stellen aan zijn vijand wraakvermogen , zullen haasten vergaan , het en zijde die vijand , door genae , In edelmoedigheid ik hopen te boven gade .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1783.s.1	Poog , door u ' raden , doen drift vinden deze prins te weer , Die ik zijn helpen beloven , wieden ons ramp deren , mare die het gevaar vergroten door onbedachtzaamheid .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1783.s.2	ik Versma u ' bijstand niet : verlossen wij door beleggen , Eer , door u hevigheid , al ons hopen verdwyne .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1783.s.3	En gei , voldoen u ' plicht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1777.s.1	Tegen Nasser .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1786.s.1	Nasser , tegen Milko .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1788.s.1	u vaderland zijn het mijn .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1790.s.1	Malek leiden Milko , vinden Semire volgen , in een de zyvertrekken , en keren aanstonds te rug .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1790.s.2	Twee de Lyfwachten verzellen zij .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1796.s.1	Nasser , Nizamelmoluk , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1806.s.1	In zijn keizer doodsgevaar zijn het ik een dierbre troosten , Te hopen op doen deugd vinden Nadirs waardig kroos .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1806.s.2	Die koning , eest vermurwen door ons tegenspoed , Nu fel tergen , verstoren , reden op wij te woeden , ik ' onberaden vorst te bonze vinden de tronen , o Prins !	BodilyProcess_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1806.s.3	worden goed door uw verbeden , door zijn ' zode .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1815.s.1	wachten voor u ' keizer vinden ik deernis , zode ik bede Op Nadir iets vermogen , een onverdiend wreed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1815.s.2	het Gevaar weerhouden ik niet : doen erbarmlyke offerhand ' , Door zijn konings wraken begeren , zijn Milkoos vaderland , Ja het maagschap vinden een bruid , ik waard dan hebben leven .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.1815.s.3	Ik gade ; ik zullen uw een blijk vinden mijn oprechtheid geven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.2	nemen een goed tij tot zijn rijk verlossing zijn : het zijn nog te vragen om wij te ontheffen vinden het gevaar , Nu Nadirs grimmigheid , te hevig aan hebben blaken , hij voor een ogenblik zijn rijden doen verzaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.3	Ik , die onschuldig zijn aan het breken vinden het verdrag , Die al , het geren doen trouwen een onderdaans vermogen , mede ik gevaar bestaan om het ongeval te weer , wieden deyver voor doen wreed in zijn konings heir doen karn , En die hij kennis geven vinden Alikans verraad , worden averechts belonen mede kerkering , mede smaad ; hij dreigen ik ( deze zijn doen vlucht vinden voor ik ' vorst te smeken , ) het Verraad , door ik gemeld , zelf op ik hoofd te wreken : En zullen het geren misdaad zijn , alles gij in zijn hevigheid Niet voor u vaderland , mare voor u ' vijand pleiten ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.4	Wanneer , in fel woede , een edelmoedig koning Zoverr ' zijn ' aard verzaken , die hij een dienstbetooning mede smaad , mede dreigen lonen , o prins !	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.5	dan hebben hebben bloeden de minst voorrang niet op het vaderlijk gemoed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.6	gade mede wij die belang , niet mede u drift , te raden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.1	mare zode ik niets verrichten , uiten vrezen vinden ongenade , zullen Milkoos maagschap mede zij vaderland vergaan , En ik , zij liefde onwaard ' , ik harden , ik bruid verraen .	Fear_Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.2	ik zullen , zolang ik leven , u leger niet vernielen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.3	Nooit zullen een laf schrik , die merken vinden laag ziel , Beletten die ik uw , o ik prinses !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.4	betoon ' Wat Milkoos bruigom voegen tot eer vinden Nadirs zode .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.1	alles doen eerst hevigheid de konings zijn verdwijnen , zullen het vaderlijk harden aan het bloeden gehoor verlenen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.2	die doen edelmoedigheid , die Nadir eigen zijn , Op uw voorbee dan ik ' keizer loten besliss ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.3	ik hopen op u ' vader deugd .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.4	Ik zien die vorst genaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.5	ik zwijgen '; ik doen hij niet in fel woede blaken !	Emotion_BodilyProcess_Anger
stee033tham01_01.TEI.2.text.body.div.div.stage.1866.s.1	Nadir , Nasser , Nizamelmoluk , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.1	dragen zorgen die , na ik ' lassen , doen toestel tot de strijd Op het spoedigst vaardig zijde : vertrekken ; betoon u vlijt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.2	Wat hebben , in weerwil vinden ik gunstig mededogen , de snood Mahomet tot krygsverraad bewegen , terwijl hij strijd op strijd , die hij verliezen beven , onfeilbaar blijk vinden zijn onvermogen geven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.3	gei , tergen ik lang niet mede roekeloos ik te smeken : ik willen onherroeplyk ik op die verrader wreken ; zijn heir vernielen ; hij , vinden het ryksgezag ontbloten , Niet handelen alles een ' vorst , mare straf mede doen dood .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.4	Ik zijn te fel tergen ; spreken niets tot zijn verschoning , Of duchten een zelfde straffen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.1	u wraken zijn rechte , o koning !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.2	gei zijn op het snood verraen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.3	gei hebben vorst Mahomet , In spijt vinden u belang , uiten doodsgevaar redden : mare hij , zien nauwelijks zien ontheffen vinden doen ellende , Of durvende , uw te honen , doen wreed arglistig schenden ; Ondankbaar door bedrog uw storten in gevaar ; verdiend niet die u gul te tweedemaal hij sparen ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.4	het Belang vinden Alikan , vesten op gruweldaad , doen hij onzinnig uw , zijn rijk , zichzelv ' verraden ; hij maken zien schuldig door een blind drift allee : mare deze verschonen hij niet vinden krygsverraad ; o neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.5	hij moeten zien nimmer aan een ' gunsteling verslaven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.6	Een keizer zijn verplichten zijn vorstelijk woerd te staf .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.1	o Nizamelmoluk !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.2	vergeefs verbergen gij ik Wat Mahomet bewegen tot krygsverradery .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.3	geren Alikan allee doen hij het gevaar trotseren , Ondankbaar ik verraen , zijn ' hogen rank onteeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.4	Die heilloos oppervorst hebben aan ik ' zode , te echt , uiten laf schrik zijn nicht mede weerzin toezeggen : zijn hoogmoed , aanhitsen , ontijdig , onrechtvaardig , Vermetel , achten ik ' zode die hoog gul onwaardig , Te huwen aan het slachten vinden groot Tamerlan : mare doen eedle gunsteling , die hoofd vinden het vloekgespan , doen ontrouw , doelen op doen keizerlijk staat , Een loods verleider vinden trouwhartig onderzaten , Een eerloos hoveling , op vleien africhten , doen arglistig Alikan verdiend u ' keizer nicht .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.1	Ik durven uw voor ik ' vorst tot geren genadig nopen : zijn misdrijf zijn te groots om iets voor hij te hopen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.2	Ik beven voor het gans rijk : hebben zullen , u wraken te zoenen , Onschuldig aan het vergrijpen , voor Mahomet voldoen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.3	o machtig keizerrijk ! het zijn mede uw omkomen ; Ik zien een zee vinden bloeden uw akker overstromen , u schat uitputten , u talryk heir vernielen , doen vrouw mede zij kroos in doen oorlogswoede ontzielen : doen groot Nadir zelf , tot u verderf bedriegen , hebben mede u ' jammerstaat in het einde ' geren mededogen ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.4	mare neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.5	ik vleien ik nog die uw onnozelheid In het edelmoedig harden voor u behoudenis pleiten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.6	o Wydberoemde held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.7	die u verstoren zin uw edelmoedigheid zoverr ' niet overwinnen , die u getergde wraken doen schuldeloozen doemen ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.9	kennen u belang .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1936.s.1	hij werpen zien aan zijn konings voeren , en vervolgen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1945.s.2	wat belang ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1955.s.1	u ' roemen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1955.s.3	worden wij heir vernielen , u wraken te offerande , het waar uw , doorluchtig held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1955.s.4	een onuitwischbre schande ; Ja vruchteloos hebben u arm de groot lof behalen , zode Nadir , woedend , niet op Nadir zegepralen .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1964.s.2	hebben baar in uw geren zwaar ongenoegen die ik , knielen , ik bede bij zijn vijand bede durven vroeg .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1964.s.3	ontzeggen u ' droef zode geren gunstig krygsbesluit : hij smeken voor het vaderland vinden zijn gelieven bruid .	EmotionalAction_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1964.s.5	moeten die heldin doen dood vinden all ' zij maag , En ik , terwijl gei juichen , ik ongeluk beklagen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1977.s.1	rijzen beide .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1977.s.2	Ik scheppen geren ' lusten in wreedvergoten bloeden : ik hebben nooit moorddadig op doen onnozelheid woeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1977.s.3	ik zij het rijk beschermen mede doen tederheid een vader , Indien het , op ik rusten , vrijwillig zijn verrader , de snood Mahomet , de loos Alikan , te straffen ik overgeven , mede al hebben vloekgespan : ik zij ik , ik zij Indostan gerecht wraken verschaffen , te voorbeeld vinden het heelal gestreng doen boosheid straf , Genadig toon die ik vijand niets verliezen , alles hij , op het snood verraen , ik tot beschermer kiezen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1989.s.1	ik hebben doen ontrouw uw ontdekken ; ik zullen nog meer verrichten ; ik willen voor ik vaderland uw tot genae verplichten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1989.s.2	Vertraag u wraken ; beproef hoeveel ik trouwen vermogen ; vergunnen ik , in wij heir , hiertoe een ' enklen dagge .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1989.s.3	ik keizer , machteloos u ' moede te weerstreven , zullen , op ik ' raden , aan uw doen ontrouwen overgegeven ; hebben vonnissen vinden zij dood zelf onderschrijven ; ja zien stillen in u macht , op hopen vinden u genae .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1993.s.1	gei hebben , vermogen gei iets , doen vreebreuk kunne weer .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2001.s.1	het wassen ik onmogelijk , daar doen ontrouwen hij regeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2001.s.2	verwachten , opdat zij straffen doen verder boosheid stuiten ' , Nu het krygsgevaar genaken , die hij uiten vrezen besluiten ' .	Fear_Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.2012.s.1	Ik zij u ' eisen voldoen , u heldendeugden loon , En , mede zij dood voldoen , u ' dwazen vorst verschonen , Indien ik zeker weten die hij , uiten zijn berouw , In spijt vinden Alikan , u ' raden niet doemen zij .	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.2012.s.2	hebben zijn vergeefs pleiten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2012.s.3	Ik zullen u heir verrassen ; En , nu gei het opzetten weten , op u bedrijf pas : Ik zullen , mede u prinses , uw kerkren in ik tent : zode blijven ik doelwit aan u ' keizer onbekend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2019.s.1	laten ik , zode het nodigen zijn , tot overgaaf hij dwingen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2019.s.2	ik hebben meer vermogen , dan zijn snood gunsteling , Op het harden vinden het oorlogsvolk in het nijpen vinden het gevaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2023.s.1	gei hij verraden !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2033.s.1	Ja , opdat ik trouwen hij sparen ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2033.s.3	uw deugd zijn Indostan blijken : gei zullen in koel moed uw op die vorst niet wreken , zode het heilzaam oproer hij in u vermogen stellen : ik vrezen niets voor Mahomet , dan het woedend krygsgeweld .	Fear_Worry_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2033.s.4	laten ik beproeven wat ik ijver kunnen verwerven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2040.s.1	zij Milkoos bloedverwant u wraken te offeren sterven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2040.s.2	Die schande voor ik bruid zijn ' schande voor u ' zode , En voor ik ' vader zelv ' een onuitwischbre honen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.1	Ik kunnen , om door u ' echt ik glorie niet te krenken , Aan uw een ander bruid , in plaatsen vinden Milko , schenk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.2	mare neen ; om zij , om uw , om Nizamelmoluk , vergeven ik Mahomet hebben roekeloos gruwelstuk , alles hij , uiten zijn berouw , zien in ik macht zullen stillen , En over het vloekgespan een billijk vonnissen vel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.3	verwerven , door u beleggen , u ' keizer lyfsgenae .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.4	vertrekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.2054.s.1	Tegen doen Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2061.s.1	u heldendeugd zijn zonder weerga .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2080.s.1	uw edelmoedigheid , onmogelijk naar te streven , Die smarten in het straf vinden , mare wellust in het vergeven ; Die ik verbaasd ziel een heilzaam voorbeeld strekken , In ik een sterk zuchten tot eeuwig eer verwekken ; uw edelmoedigheid , te hoogst toppen stijgen , zullen keizer Mahomet tot dankbaarheid bewegen , alles hij , door uw behoeden , in uw zijn ' waardsten vriend , En in zijn vriend zelf zijn kroonbelagers vinden .	Emotion_Sadness_Desire
