hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. hoofd speld vinden  Achilles en Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.7	vinden meerder wreedheid zijn enten oorloch noijt horen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.8	helaas , Polyxena !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.9	de mogen hebben ik bedrijven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.10	doen schuld hebben ik allee , wild ghij die niet vergeven , En straffen ik na verdienst , zo zijn mede ik gedaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.11	alles ik ik juffrouw hebben , hebben ickse laten gaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.12	alles zijde haar lichaam bieden om t ' dode te bevrijden , doel hebben ik haar niet in ik tint wil lijden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.13	alles ik niet haar , mare zijde ik om vergiffnis bidden , doel zand ik haar te rug mede d ' ouder naar doen stad .	EmotionalAction_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.14	doel willen ' ik op daad daar en niet besluijten Om t ' overleggen wat daar al uit kunnen spruijten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.15	mare doort affwesen wereld ik mede meer pijns kwellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.16	Nu routet ik , die ickt dus langen hebben wtgestelt .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.17	wan alles ik d ' eerst maal laten ik gezicht dwaal In haar jonckheyts glans en in haar oog straal , drank ik haar beeltenis door d ' oog in ik barsten ; Een drank , helaas !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.18	die niet verslaan , mare scherpen de dor .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.19	doen schoon beeltenis nemen in hebben hart haar plaats En maectent tot een kerk ; alles een godin staats daar op een outaer hoog , daar wereld s ' erkennen allee , En vinden doen drang vinden ik gedachte aengebeen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.20	daar brand tot haar eer duizend en duizend toorts .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.21	stag zijde ik hart dwingen mede haar bliksem coortsen , Tot een begeerte vinden t ' geren haar gelijckend ' zijn , En dats ik lief , daar vinden zijn zijde doen beeltenis .	Emotion_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.22	Ghaet send ' uw lief vinden hier over velen duizend mijl , zijde hebben de bogen , zijn waar , mare ghij enten hart doen pijl .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.23	Wat helpen , Achilles , die ghij haar vinden uw verjagen , alles ghij haar beeltenis binden enten t ' hart dracht ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.24	Ghij sentse weg om uw gedachtnis te bedriegen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.25	Hier zitten zijde in uw barsten , hier kan zijde uw niet liegen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.26	Hoe ghijse meerder pogen te stillen uit uw zin , Hoe ghij uw meer verward in uw beginnen minnen !	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3481.s.1	Mijnheer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3492.s.1	ik hebben deze brief schrijven , Opdat ghij die terstond goed aan ik juffrouw geven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3492.s.2	goed binden troijen nu dewijl hebben zijn bestand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3492.s.3	dracht zorg dat coom behoudens in haar hand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3500.s.1	ik gaan , ik heer , en zullen volcomelijck bestellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.2	doen vrees goed ik hart deerlijk kwellen , Begeerte geven ik hopen , en die zijn al haar grond .	Fear_Emotion_BodyPart_BodilyProcess_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.3	doen minnaar liggen geloven t ' geren hei zien zelf iondt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.4	ik hebben uw vader staat , schone prinses , bederven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.5	uw waard broeder zijn door deze ik hand sterven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.6	alles ghij enten leger woerd , tonen ' ik uw luttel eer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.7	alles ik uw houwen mogen , zand ik uw lijcwel weder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.8	Sijnt minneteekens deze ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.10	mede groot rein zullen ghij ik bieden ' versmaden en brief mede voeren treden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.11	waartoe zijn wanhopen god ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.12	hoe nu , Achilles , hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.13	Betroudt ghij die dan uw beleeffde juffrouw toen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.14	t ' zullen strekken tot profijt vinden al haar ondersaeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.15	haar ouder zulle haar tot uw liefft bepraten Op alderleij manier ; zijn om uw deuchde niet , het zullen om t ' behoudens zijn vinden t ' geren haar overschieten .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.16	t ' verliezen haar brengen zullen enten uiterst bedroeven .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.17	Dan , ik zullen in ik tent hebben antwoord gaan vertoeven .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3571.s.1	Priamus , Paris .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3571.s.2	Hecuba .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.3573.s.1	Paris	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3581.s.1	Autumedon hebben hier terstond een brief brengen , ik heer en vader , daar ik op te lid achten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.3584.s.1	Hecuba	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3586.s.1	Aen wieden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3592.s.1	mare aen uw dochter zijn , ik vrouw en moer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3596.s.1	Geeftse aen Polyxena .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.3598.s.1	Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3603.s.1	lezen gijs ' , ik heer en broeder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.1	Achilles , die door min sterven , Edel prinses , wie schoonheijt hij verwinnen , Die wensen uw al t ' welvaren , die hei derven , En achten die al , die hei uw wensen kunnen .	Emotion_BodilyProcess_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.2	ik lyefde , die ' ck uw draech zo groots en ongemeeten , menen ' ik , prinses , door uw affweesen te vergeten .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.3	mare lezen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.4	gelijk een stad , die na langen weerstand , Snachts overrompelen en steken wereld aen branden , Off doen verwinner schonen doen toorts te rug goed trek , doen branden laat daarom niet zien zelf voor te strekken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.5	doen vlam voeden zien zelf , en hij rondom wennen , zo langen daar huis off kerk off muur zijn overeind .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.6	alzo de min vlammen , hoe wel ik uw ontbeerden , En gaan daarom niet uit , mare daeglijxs zien vermeerden .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.7	Die veel ik in ik barsten nu vinden zo groot kracht , die hebben ik zeer verdrieten , die ik oijt hebben denken Om uw , prinses schonen , uit mijn zin te stillen .	Emotion_BodyPart_BodilyProcess_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.8	uw , zeg ik , die zo liggen ik hoog gemoed kont vel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.9	laat ik stantvasticheijt in uw minnen vol pijnen uw een verzekering vinden ik getrouheijt zijn .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.10	En ik getrouheijt , die ik uw betoon door deze , vinden ik stantvasticheyt uw een verseeckring wees .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.11	Dus zalven Achilles hart , prinses , mede uw genae , Op die hebben in hebben vuijr geren as wereld en vergae , mare die hebben in de aard de Salamanders keer , zo die doen branden hebben zelf voeden ' en niet verteere , Op die doen branden enten harden en t ' hart in de branden Gedueren ewichlijck , uw tot een offerhant .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3684.s.1	Finis	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3693.s.1	Heer vader , hier zijn al , wat dunken uw vinden deze zaak ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3693.s.2	Wat zalm allerbest hier in doch mogen maken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.1	Onnodich langen beraad , wan mijn zin zijn deze : Laetten wij weygren niet , dewijl hei om haar bidden .	EmotionalAction_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.2	wijden zien t ' kwaad , die wij komen door die hei bleeff versteken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.3	voorzeker zullen doen Prins doen griek op doel breken , alles dankbaar vinden doen gul , of zo hei die niet doen , Polyxena hebben tijd te temmen zijn moeten , En zullen hij metter tijd cunnen zo wel bepraeten , die hei vergeten zullen zijn toren , en varen laten .	Emotion_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.4	Al swerelts kracht zo liggen geren hoog hart nederleijt alles deze schone Vrous vruntlijcke tederhaijt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.5	Indien Polyxena Achilles kan bewegen , t ' welvaren vinden gans rijk isser gans aen liggen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.1	Ellendich coninxs kind !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.2	zijn dan t ' gemeen geluk allee liggen aen uw ongeval en druk ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.3	In troijens hoogst feest onder het gemeen verblijden zullen ghij allee benauwen in droefheid zijn en lijden ?	Joy_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.4	Somen doen plaag niet vinden doen troijaense waal kunnen karn dan door ik verdrieten en ongeval , dood ik te goed vinden ik vader ondersaeten , velen eer dan ghij ik zout slavin worden laten vinden een , die ik waard broeder hebben gedoot .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3772.s.1	diets t ' enig middel om te komen uit de node .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.1	Hola !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.2	Heer Vader , zo ghij Paris raad wild acht , Ghij cunt hier in voorzien en stil haar klacht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.3	ik zullen de griek ontbien , die hei hij vinden laat ginds in Apolloos kerk , die in doen bus staat , daar ik hij lof zullen ik zuster te doel trouw , Die ook zullen komen daar mede al haar staat Joncvrouwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.4	En alles Achilles minst zullen op zijn hoeden staan , zullen ik hij onvoorziens daar op doen plaats verslaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3808.s.1	En vrezen ghij niet doen schant vinden deze verraderij ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3814.s.1	wij soudt bedroch in zijn vijand te krenken mije ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3818.s.1	Die werk vinden d ' eer maken , en schant en laster vrezen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3822.s.1	eerlijk zijn winden , t ' zijde door kracht off kloek geest .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3828.s.1	Die door bedroch verliezen en achten zien niet verwinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3836.s.1	Off hijt zo achten off niet , wereld niettemin verslinden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3843.s.1	doen waar winst die zijn t ' breken vinden t ' svijants moeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3849.s.1	waar blijven zijn moeten off macht breken ik zijn harden verwoed ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3856.s.1	Al zijn Achilles dood , hebben heijr zijn niet dwingen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.1	weten ghij niet , vader , wat Apollo hebben zingen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.2	die Troija nummermeer zullen gaan in slavernij , Indien Achilles daar niet tegenwoordig zijde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.3	En na zijn dood kunnen hijr niet tegenwoordig wees .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.4	waarom besluijt ghij niet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.5	Wat staat hier doch te vrees ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.1	doen zo , ik lieffste zoon , ik en zullen leiden niet , die ander dan ghij zeggen , in deze zaak geschieden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.2	wreken ghij ik Hectors dood , wreect ghij ik heet traan .	BodyPart_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.3	wreken Troijas nederlaech , goed zo doen straat baan Tot welvaart vinden uw volk , en wtgang vinden de crijch .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.4	Wreect zo doen wreed smaad , die ik vinden droefheijt swijch .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.1	sa , page , goed doen griek terstond doen bootscap dragen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.2	zeggen , die Polyxena verhoren willen zijn klagen , En dat tot een vrouw vinden hij zullen zijn trouwen , zo hei zien vinden laat ginds in Apolloos woud .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.3	En ghij , vrouw zuster , in hebben eerst t ' samen komen , zullen hij uw hoogst god en allerliefst noemen , En veinzen off ghij zeer tot hij genegen woerd , waar door gelegenthaijt zullen worden gh ' openbaren Om doort geluckich stuk wij burger te verkwikken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.4	daarom een ieder gaan terstond hij hiertoe schikken .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3924.s.2	3e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.2	elk achten geluckich s ' prins leven Door weeldens vals blijk .	Joy_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.3	hei , door deze mening zelf drijven , wanen niemand sijns gelijk .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.4	mare laten hei een hebben rijk En hebben gebieden willig varen , En proefd ' off laechhaijt rusten kan baar , doen hoocheijt hei verachten zullen alles slijk .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.6	die een gemeen manna beproefden t ' geren hei achten zulk geluk , Wat zorg en angst een prins bedroefd , Wat onrust en wat druk , hei acht beeter t'juck alles een gemeen manna te dragen , Dan ander mede hebben juk te plaag .	Fear_Worry_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.7	ik oordelen onervaren in deze stuk .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.9	Een Prins willen datmen hij zullen vrees , En achten hebben zelf god , Die zelf vrezen gevreesd te wees .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.10	doen nacht hij niet behoet , nog slaap zijn smarten verzoeten .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.11	alles al mens rusten raap , ontstelen hebben zorg hij zijn slaap .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.12	die elk gebuert , een Prins ontberen moeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.14	Wat hoog huijs hebben oijt Prins genieten , die niet zijn omwenden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.15	Wat vintmen doch voor hoog slot , dijen oorloch niet en schenden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.16	waar sietmen doch omtrent hebben hoff doen schaamte in eren houden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.17	Gerechticheyt , huwlijckse trouwen En zijn doen groot hoven niet bekennen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.19	hebben hoff die volgen Bellona bloedig mede haar roed ' in doen hand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.20	doen hels , boos Fury woedich , Die hoverdie planten , wie hongerig tand doen groot doen hovaerdich razen , verslinden doen huijsen opgeblazen En werpen doen hoog prins neder enten zand .	Emotion_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.22	Indien ik t ' oorloch niet zien blinken , mare vinden bedroch affstaen , hebben groots moeten door zijn swaerheyt zinken , En t ' hoog te grond gaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.23	doen schipper zijn beladen alles goed winden hebben schip goed stijf , vrezen , hebben geluk t ' schip om zullen drijven ; doen hoogst toren meest doen bui slaan .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.25	doen hoogst eijcken sietmen breken Die in doen bos staat .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.26	t ' Geweer , uit Jovis hand strijken , doen hoogst berg slaan , hebben vet beest ik goed , Niet t ' slechste om te doden halen , bereiden ik kostelijk maal .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.27	Wat val zullen , Fortuijn verhogen laat .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.29	goed duren matelijcke ding , daar t ' hoog haasten val kan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.30	Die maat noijt gaan overspringen , alles een gemeen manna , Die nooit en schayde vinden doen strand , bevreesd doen zee te naken , Roijt onder t ' land , die hei kunnen raken , hebben hoogst luck alhier op aarde wannen .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.head.4108.s.2	4e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.1	zo deze godin , velen hoog vinden manier alles d ' ander god , beleefd en goedertieren , mede een genadich oog ik smarten aanzien , de god staat niet meer k ' achten alles verwonder .	Emotion_BodyPart_BodilyProcess_Compassion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.2	k ' En vrezen doen snel bliksem nog doen donderen , Benij Jupijn Ambroos en Nectar niet .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.3	terstond komen ik een bieden ' , vinden Paris affgevaerdicht , die haar Polyxena niet lang veronwaerdicht t ' Erkennen mijn trouwen , die zij zullen komen nu ginds in Apollos woud , waar vinden zijde langen wassen schuw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.4	zonder ik zwaarte , allee , en hebben ik niet te schrome .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.5	mare hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.6	zien , daar zijn hoff , zijn tijd die icker come .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.4147.s.2	5e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.4148.s.1	Achilles , Polyxena , Paris , Deiphobus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.4149.s.1	Sonnet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4181.s.1	Gentiel godin , allee besitster vinden ik hart , schonen ziel vinden ik ziel , meesteres vinden ik gedachte , wie schoonhaijts klaar glans , en gratie ik verkrachten , alles in de blond strik ik hart gevangene wereld , Indien ghij niet aanzien doen wreedheid vinden ik smarten , En stoppen uw oor voor ik al te zwaar klacht , vinden ik en hebdij niet dan droeffheijt te verwachten En doen melijdeloose dood en d ' aarde zwart .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4181.s.2	mare goed ghij tot genade uw goedertieren wen , En wild doen trouwen vinden uw dienaer rechte bekennen , verlossen ik worden zullen vinden droeffheijt , zorg en pijnen .	Worry_Emotion_Compassion_Sadness_Benevolence
hoof001achi01_01.TEI.2.text.body.div.div.sp.4181.s.3	ik hart , die door hebben vuijr soud ' lichtelijk verteren , En zullen dan nummermeer in as cunnen karn , mare in een schonen branden altijd onsterfflijck zijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.1	Aensiend ' uw langen vervolg , en aenstaen boven maat , Hoe wel ik oorzaak hebben , Achilles , uw te haten , slaan ik ik oog op uw wijtberoemde duecht En op doen schoonheijt vinden uw fluxs stellen jeugd , doen welk ding , t ' sinds die zijde ik wel geviele , baard een vreemd lusten vol onrust in ik ziel , In voeg die ik haasten ik toornicheijt vergadt , En t ' rout ik , die ik uw zo lijden ' oijt hebben gehadt .	Emotion_Hatred_BodyPart_BodilyProcess_Sadness_Desire_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.2	zijn ik doen groot pijnen de wereld te gedenken , die ik oijt hebben denken , Achilles , uw te krenken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.3	na ik ik gramschap dan op gh ' offeren hebben aen w , Coom ik , grootmoedig Prins , alles uw dienaersse nu Om op te offeren voorts aen uw alhier te stede ik hart , ik willen , en ook al ik genegentheede .	Emotion_Annoyance
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.4	daarom , Achilles , wild ontvangen vinden mijn hand , En gunstig nemen aen deze ik offerhant , En ik versekren , die doen lieffd ' mede zwaar plaag , Die ghij zo lang tijd tot mijwaert scheent te dragen , waarachtig zijn en zullen altijd gestadich zijn .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.5	waaraan te twijfflen vallen ik een zo zwaar pijnen , die ik enten mijden vinden ik vlammen bevries doort vrees .	Fear_Emotion_BodilyProcess_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.6	Dus maken ik , prins , die ik mogen verzekeren wees , na die doen twijfel ik wel duizend doon aandoen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.7	mare waarom soud ' ik ook cunnen vinden uw vermoeden , die ghij geveijnsdelijck zout zulk liefd ' ontvangen , gelijk hebben hart vinden Polyxena hebben bevangen ?	Emotion_BodyPart_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.8	Neen , neen , te kunnen niet zijn , neent zekerlijk niet , hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.9	Al droecht ghij ik ook gans geren liefd ' mede al toen , Weerliefd ' soud ' in uw hart voorzeker komen werk , alles ghij doen grootheijt vinden ik lijefde mare kont merken .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.10	ik lijefd ' t ' sinds haar beginnen nemen zo velen toen en wannen , die ickse mede t ' denken nauw achterhalen kan .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.11	ik lijefde zijn zo groots , en branden zo ongemeeten , Achilles , die ik selff haar grootheijt niet kan weten .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.12	hebben leven vinden ik lijefd ' en zijn geduerichaijt zullen niet vinden dag off uier , mare zijn vinden ewichaijt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.13	zo doen verdienste vinden deze goddelijk lijden uw niet bewegen off tot waar liefd ' kunnen vlijen , En zo Polyxena , s ' coninxs vinden troijas bloed , Door iemandt ander dan haar zelf bidden moeten , uw door uw oog schonen , Achilles , ik bezweren , Door wie godlijcke kracht ik fel moeten vallen neer , die ghij ik wedermint gelijk gh ' uiterlijk tonen , En die uw lijefde door ik trouwen mede trouwen lonen .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.1	hebben ik uw overlang niet gaan besitster stillen volmolen vinden ik hart , een oogenstrael zullen vel zeer lichtelijk ik moeten , en dwingent tot uw minnen .	Emotion_BodyPart_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.2	mare t ' sinds ghij d ' eerst maal doen schoon scheent in ik zin , hebben ik mede zulk hit en smarten uw lijefd ' dragen , dat geren uier voor bij en gaan vinden zo velen dag , Off ijverig ik aanbidden uw schone beeltenis , Die ziel vinden ik ziel , ik leven leven zijn .	Emotion_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.4	prinses , wat zullen ik uw opoffren weder In plaats vinden deese gul en dienstbaarheid vol eer , daar ghij ik nu toen roepen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.5	Hoe kan weder zijn lonen zulk genegenthaijt alles ghij tot mijwaert tonen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.6	ik zijn dwingen , schonen prinses , uw te verklaren , die ik zo groot vreugde veel in ik ziel baar Doort overdenken vinden t ' geren daar ik meest na dor , die ik doen wreed dood doorschieten zullen doen barsten En door doen groot lusten alhier te plaats bederven , wassen mogh'lijck in uw tegenwoordicheijt te sterven .	Joy_Emotion_BodyPart_BodilyProcess_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.7	Dus zijde voorseeckert die ik stadig zijn beraijt t ' ontvangen uw lijefd ' mede al eerbiedichaijt .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.8	Op die te vier en te voeden zullen ik pas , die d ' aldercleenste vonk zullen in wij hart zijn , Tot dat wereld een vlammen , die aard ' en hemel zullen Verbranden al bei , hebben welk , o waarde vrouw , Niet vreemd zullen schijnen nog tegen de reedens weten , zo ghij een luttel wild op uw schoonheeden lid , Off zo ghij ik genegenthaijt wild merken aen , Off zo hebben uw believen op baijde achten te slaan , doen welk baijd ' aen ik zo sterk zijn overkomen , die ( alhoewel ik vasten bij ik hebben voornemen Te komen nummermeer in min zijn verbond ) zo haasten ik uw aensach , ik ik begaff terstond Vrijwillich in uw dienst , waar in die ik zullen blijven zo langen de hemel kloot zullen op zijn pool drijven .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.9	Onnodich zijn hebben dan , die ghij mede bidden dringen Tot uw lijefd ' een , die daar toen zien zelf dwingen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.10	de god schikken ik node ' om tot uw minnen te strekken , Al uw verdienste groots ik tot uw lijefde trek .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.11	ik roep derwaarts , ik begeerte algemeen , ik oversoete hopen voeren ik , prinses , daar heen .	Emotion_Hope
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.12	ik ziel , waar vinden ghij zijde koningin en vrouw , Die hechten ik derwaarts op mede vluegels vinden ik trouwen .	None
