ross006zing01_01.TEI.2.text.body.div.head.278.s.1	doen zingen kraamer , kamer speld .	None
ross006zing01_01.TEI.2.text.body.div.sp.2564.s.4	tappen een pinnen , wan hebben smaken zode fris , kijk , hoe edel , smeren doen keel , vegen , en lik , Voor doen manna , voor doen manna , voor doen manna , vrijen een kunnen , vrijen een kunnen , vrijen een kunnen , vrijen een kunnen , kunnen , kunnen , Voor doen manna , vrijen een kunnen , Of een mengelen kroos , klinken en drink , avoes , avoes .	None
ross006zing01_01.TEI.2.text.body.div.sp.2581.s.1	die zijn eest een deunen , hebben mo t zijn zelf prijzen , wij willen een loogenagtige Nacourant of een Mercuur vinden Jan vinden Gysen , Ook hebben ik Catalogus vinden boek ; die ik morgen zullen verkopen op Katenburg in een stelen , Ook hebben ik Dominees briefjes , nieuw Winterbeurt , om te zieden wij die , en die tij preken zullen , Ook hebben ik hebben Rottenest de Poeeten , of doen byeenkomst , vinden velen waanwyze snaak , Die al dagen bij een Boekebinder komen , om een ander dicht zijn werken te laken , Ook hebben ik een netten beschryvenis vinden al ik avontuur op rijm zetten , Ook hebben ik doen Batalje voorvallen buit doen Leidse poort in het paren weten , vinden een jong Waterhond , die vocht tegen twintig vlieg , Ook hebben ik vinden lauw , die nooit doen waarheid spreken , mare wassen altyt geneegen om te liegen , Ha !	None
ross006zing01_01.TEI.2.text.body.div.sp.2581.s.2	die zijn een boekje , die bij niemand te krijgen zijn , alles bij ik , Ook hebben ik vinden Julfes Puistneus , die nooit mede mossel lopen alles in doen Maaneschyn , Ook hebben ik vinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2600.s.1	Wilhelmus zitten op doen zolder , hij luizen zijn broek , En vinden ' er o gans kolder , Wel vijftig in eeuw boek mede kruk , en mede hamer slaan hij zij al dood , hebben alderkleinste luisje , wassen alles een Tor zode groots ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2617.s.1	mare Mesjeurs , ik krijgen zulk een drommelse node , die zijn te zeggen , Krispyn die moeten een wees , Daar de Prins te voeden moeten gaan , doch zijn iemand geneegen om te lezen , hebben Journaal vinden ik reizen , die komen aan ik Huis , Ik wonen op hebben varken Eiland naast doen gekroond Platluis , Boven ik door staan David vechten tegen de Reus mede zijn bars knevel , Ook zijn ik Huis verciert mede drie mooi gevel , En doen venster vinden ik kit , staan altyt open om te zieden , En in ik voorhuis hand doen fabel vinden Niobe veranderen in een Stien , Ook doen strijd vinden Kupido tegen doen maagd , Ook vinden die groot Kunstenaar , die een stuiver op zijn kanten aan negen stuk zaagde , Ook hangter een schilderij daar Pallas en Arachne weven , Ook hangr ' er doen vallen vinden Faeton , die Apelles zelf schilderen hebben .	None
ross006zing01_01.TEI.2.text.body.div.sp.2624.s.1	ja het zijn wonder wel te vinden , Al wassen iemand nog zode dom .	None
ross006zing01_01.TEI.2.text.body.div.sp.2631.s.1	Nu heer beliefter iemand nog iets ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2631.s.2	wannen ik gade heen en komen niet wederom , schonen die jouw denken zij , die zijn mare praten voor doen boer , nul neen !	None
ross006zing01_01.TEI.2.text.body.div.sp.2631.s.3	ik gade wan ik moeten in ik huis nog waterenbrei roer , En de zode nemen ik ik afscheid , mede deze rein .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.2633.s.1	hij zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2659.s.1	Ha die , al baas , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.2659.s.2	droog paay klaas , wegge bruyen , wegge razen , wegge kan , en glas , Ci cinken , deux azen , ledig vatten , vuil blazen , slaan bal , maken kaazen , laten scheeten , vangen haazen , spannen paard voor chjazen , wegge zot , wegge dwaazeu , Ik wens uw te vrede , Krispyn die gaan heen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2669.s.1	wan ik zien gei roken , en niemand zijn zode beleefd die hij ik een laten stop , doch het zijn god die ik zelf een doos mede tabak hebben en een tonteltje om vuur te klop , Nog een ha die Mesjeurs , doen wachten die roepen vinden teen , En toekoomende wijken zullen gei Krispyn hier wederom zieden .	None
ross006zing01_01.TEI.2.text.body.div.sp.2669.s.2	uit .	None
ross006zing01_01.TEI.2.text.body.div.cf.p.2671.s.1	NB .	None
ross006zing01_01.TEI.2.text.body.div.cf.p.2671.s.2	Daar worden aan de lezer bekennen maken die in het korten vinden de zelf Auteur staan uiten te komen , MEDEA boertig berymd , alles met , doen hels KERMIS en doen hal bestormen door doen god .	None
