weye002holl01_01.TEI.2.text.body.div.head.158.s.1	doen hollands zinnelijkheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1688.s.1	ik Geest zijn zelf ziek .	BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1693.s.2	wild die doodgalm voor u Apotheek bewaren Heer Spadulano .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1693.s.3	Zusje feniks stellen doen snaar Wat laag , of aanstonts ruimte beide ik Salet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1696.s.1	Mevrouw ik gehoorzaam u bevel alles een weten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1699.s.1	Ik wassen doen eerst niet die barsten door hebben zwijgen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.1	Ha , ha !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.2	ik zullen in het einde nog audientie krijgen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.3	Mevrouw ik hebben een broeder , schonen , jeugdig , fris en rijk , Die ruimen zo proper zijn alles ik of ik gelijk , Vol vuur en dartel bloeden , in het bloemtje vinden zijn leven , Die zeer begerig zijn , om zich per pos te geven In d'Huiwlyks - fuik vinden Kats : UE .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.4	nu hebben een Nigt , klinken die te zamen door een band , zode hecht en dicht , die niet alles dood of kruid die schaden kunnen of krenken , Op deze voorstellen kunnen Mevrouw zij een bedenken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.1	Ik ik bedenken ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.2	geren minuit of ogenblik !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.3	doen koopmanschap gaan door .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.4	Wat zijn ik in ik schikken !	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.5	Ja , kunnen Klarind hij niet naar waard contenteeren , zullen ik persoon het gebrek te vol repareren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1722.s.1	Mevrouw ik hebben u woerd , Klarinde komen ik toen : spijt al Novateurs , Descart of Bontekoe , spijt Circulatien , of al ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1730.s.1	Heer Apotheker , Wat minderen hevigheid : gei hebben ik woerd , het zijn zeker , Ik staan die toen , mare liggen die raaf en ongemeen tapijt , gestoelte , grot , en d'andre kostlykheen In d'eene weegschaal , en in d'ander u pretentie : het staan vasten die dan u eisen vervallen in decadentie .	Emotion_Other
weye002holl01_01.TEI.2.text.body.div.div.sp.1738.s.1	Die zwarigheid zijn klein , stellen die aan d'eene zijde , nemen Zusje feniks , die zijn een lekk're batterij , Die minnen dan d ' eerst , u mede tegenweer zullen kwellen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1738.s.2	gelieven Mevrouw zij hand tot teken dan te stillen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1738.s.3	Ik hebben hier een Contract , zijn aan die niets mankeren alles die doen nemen zijn in blanco .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1745.s.1	die en deerd doen zaak in het minst niet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1745.s.2	lopen Netje roepen Klarinde .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1745.s.3	mare u Monfreer Juffrouw , zijn zijn die nu te vinden , wan jong juffertjes staan vasten op het punt d'honneur .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1750.s.1	Die wachten u orde op Mevrouw , omtrent doen door .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1750.s.2	hij zijn nog bloot en jong , ik zullen hij binden nood .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1750.s.3	Madame mede verlof .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1754.s.1	hebben hoeven niet , al ik bode zijn tot u dienst juffrouw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1758.s.1	Voor een minuit of zes zijn het nodigen die ik gade ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1758.s.2	Mevrouw u dienares .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1760.s.1	Jan uiten .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1763.s.1	M. KEIZERS-THEE , SPADULAAN , ZUSJE feniks , ANTONET , CLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.1	schonen ik bewust zijn vinden Alfonsoos minnen , Klarinde , Die u een jaar geleen , wat vierigjes beminnen ; alles mede u weerzin , die gei tonen om Spadulaan u trouwen te schenk , komen een derde hier te baan .	Emotion_EmotionalAction_Love_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.2	u eerst minnaar wassen vrijen losjes , en de tweede Te stemmig , daar zijn een Heer , die zullen zij plaatsen bekleden ; ik hebben doch vaak zien in het Huwelyks besluiten Een derde kampioen gaan strijken mede doen Bruid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.3	Ook zijn hebben tand wat raar , in al deze Krygs-rumoeren , Een jonkman uiten hebben veld , op Hymens Koets te voer .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.4	Oh !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.5	Nigje datje weten hebben kostelijk genot , gei trouwen hij , al wassen hij dol of stapelzot .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.6	stoelen en porselein , tapisserie en stoofjes ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.7	wegge Zusje feniks , roosje en diergelyke sloofjes , wegge Spadulaan , Mevrouw sukade en Klatergoud !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.8	ik worden opnemen , Lam : worden haastig doch trouwen : Of ander ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.10	ik hoofd ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.1	Mevrouw en die zo vaardig ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.2	Ik kennen ik zo velen eer en gul schier alles onwaardig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.3	doch wat ik bidden mogen , verschonen ik teder jeugd .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.4	Ik zijn passen agtien jaar , en kunnen doen Juffren vreugde zode onbedacht voor het juk vinden Hymen niet verwiss'len .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.1	zijn het u devoir dan Nigt ik orde te bediss'len ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.2	En wat u jeugd belangen , een Juffer zijn alles het fruiten , hebben overryp zijn laf , zo met een oud Bruid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.3	Een mals zomerkers , op haar tak vergeten , splijten door doen zinnen , of worden een mus of spreeuw zijn eten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.4	Een agtien-jarig kind zijn het sausje vinden een haas , azijn en suiker , doch hebben zoet spelen altoos baas .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1803.s.1	Mevrouw ik stemmen u willen , bij vorm vinden excuseren ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1807.s.1	zullen d'arme Spadulaan u hand en trouwen ontberen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1807.s.3	tij , o !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1807.s.4	zede ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.1	Ha ! ik moeten lachen Spadulaan , gei tragt na iets , zijn vinden het gebruiken u zinnen verraan , het geren tegenstrijdig zijn kunnen nimmer akkordeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.2	komen overleggen doen zaak eer d'uitslag uw doen lederen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.3	Juffrouw Klarinde d'eer die komen uw toen alles Bruid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.4	Welk zijn doen hinderpaal die u genoegen stuiten ?	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1818.s.1	Ik kunnen mede drank nog kruid u zieke niet gerieven .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1821.s.1	Ik zijn geren Baal-Heer , die Coquettes kunnen believen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1824.s.1	Ik haten een vyzeltoon .	Emotion_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1827.s.1	En ik vyoolen-klank .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1830.s.1	u inborst zijn te dood	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1833.s.1	u spraak-lit zijn te lang .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1834.s.1	KLAR .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1836.s.1	Ik lach mede porselein en Chinaas schilderij .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1839.s.1	Ik kunnen het Bazette-spel , Piket nog Ombre lijden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1841.s.1	KLARINDE	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1843.s.1	gei zullen een gier zijn aan ik vrolykheen en lusten .	Joy_Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.1846.s.1	En gei een spook , die zijn nagts verhind'ren zij ik rusten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1849.s.1	Daar zijn iets nochtans , zijn in wie kunnen akkordeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1852.s.1	Te weet ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1855.s.1	vriendelijk vinden malkaar te separeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1858.s.1	zetten vriend'lykheid apart , alles strijdig aan ik Geest .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1861.s.1	Fiat , wan mijn zijn nooit voor drank of gift wezen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1864.s.1	Noord .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1867.s.1	Zuid	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1870.s.1	oogst .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1873.s.1	West .. zo ver alles beide pool scheel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1876.s.1	zullen ons trouwen en hand voor eeuwig zich verdelen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.1	Voorwaar die Cermony zijn aardig !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.2	menig paren , schonen langen verenen , tragt naar zulk scheiden vinden malkaar .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.3	zien zo Heer Spadulaan , ik straffen u , alles vermetel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.4	varen wel dan , grondvest daar doen dood zijn beend'ren zetel Op bouwen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.5	Wat dunkje nu vinden zulk een Juffrenzwier ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1891.s.1	hebben geren de sater vinden Guarini denken vinden het vieren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1891.s.2	Wel aan Mevrouw ik zullen uw keuze niet tegenvroeten zo Zusje feniks deze verliezen gelieven te boete mede zij persoon .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1891.s.3	Ik wachten ik vonnissen zoet kind , alles een patient die zich omringen mede Dokters vinden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1897.s.1	Of schonen het een maag niet voegen zode losjes iets t'aanvaarden , zullen ik ( verzekeren vinden u zuiver minnen en waard Ook d ' overeenkomst de humeur ) vinden de tij En liefdens-pligt , doen resten afwachten	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.1904.s.1	lopen mede vlijt na buit Antonet : zijn blijven die suikeren broeder ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1904.s.2	hebben voedsel vinden doen vlammen de netheid , en behoeder vinden ons levens-lamp ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1904.s.3	lopen vliegens Antonet En roepen hij .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1906.s.1	M. KEIZERS-THEE , KLARINDE , SPADUL .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1906.s.3	JAN , en ALFONSO , stemmig kleden .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1914.s.1	het zijn niet een vinden nood .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1914.s.3	hoe netten En proper zijn die Heer , hoe stemmig hoeden en kleed ?	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1914.s.4	die zijn wat ander alles Alfonsoos haneveeren , manchet , pruik en kokarde schonen vinden schijn , Welk veeltijds die Messieurs al zij verdiensten zijn .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1916.s.1	Alfonso buigen zich tegen M. Keizersthee en het gezelschap zonder iets te zeggen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1922.s.1	Mevrouw laten wij doen zaak doel zonder velen te spreken : hij zijn bloot , en zij zich in een scheurtje schier versteken ; doch die zullen door doen tij wel slijten .	Emotion_Other
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1922.s.2	Die een rammen In stuursheid zijn , worden vaak naar het huwelijk wel een lam .	BodilyProcess_Other_Anger
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1928.s.1	Oh ja !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1928.s.2	zijn zijn het contract ? ik veel ik verlangen steigeren na al u pronk-cieraan , ik zullen het uw geensints weigeren .	Emotion_BodilyProcess_Desire
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1928.s.4	porselein stoelen , en kristallijn tapijt , gei zijn ik huisgoon , en vermaken vinden ik tij .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1931.s.1	zijde teikent hebben Contract .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1931.s.2	Alfonso en Klarinde desgelyks .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.speaker.1933.s.1	ALFONSO , zich ontdekken .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.1	het zijn tij hebben masker vinden u dwang een af te ruk .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.2	Nu zullen ik mede vermaken deze zoet juweel gaan plukken deze sneewit Offer-lam , d'Aptheker toegeschikt , zijn door u naam ontboeid , en door uw pennen ontsrikt .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.3	zij ziel en lichaam , langen aan ik door kuis eed verknopen , wassen al te woerd aan suffers te besteden .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.4	hij warm zich bij doen vlammen vinden Susje feniks gloed , Die zich mede huis-cieraan en vodderij voldoen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.6	ik Klarinde , teder ziel !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.7	ik zullen uw waard Ootmoedig eren , die ik minnen tand komen t ' aanvaarde zode genereus en vrijen : en het zijde in vreugde of pijn Door trouwen uw manna , door eerbied steeds uw Minnaar zijn .	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.1	zijn het moog'lyk !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.3	ik sterven , ik barsten , ik mist ik zin !	BodilyProcess_Disgust
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.4	In Englen schijn zode brengen ik hier een Satan binden Een lichtmis , dobbelaar , straatschender , die doen hal spugen uiten zijn binnenst op hebben aardrijk , mede een vellen gelijk een mens bekleden : die in ik herrefstdagen zij maagdebloeisel roofd , en het ik ik komen t ' ontdragen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.6	kristallijn tapijt , en porselein stoelen , Prins Robberts stoofjes , daar ik kiesheid op doelen hebben , mede Marseilles punt in stede vinden gladden mat , En het puikje vinden al d ' oogst - en Westers netheids schat !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.7	u durven ik voor altoos , bekoring , die doen ziel vinden ons sekse verrukken .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.9	ik levens-wiel En kookend bloeden die stremmen : o !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.10	Kamerdoeksche tafel , Verrader , moordenaar , die gloeien dienen mede gafels vinden een rukken , ik wens uw het knagen vinden een gier : Of worg uw in hebben lint vinden die borgen rapier , Of springen in het water om een koord te besparen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.11	ik moord ... ik kunnen niet meer .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.1	Geluk op het heen varen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.2	Die stormen wassen korten , mare goed en zonder een traan .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.3	doch het manlijk scheepje zwichten nooit voor een huilorcaan .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.4	het Gevaar zijn wegge : zijde slachten hebben dreigen vinden doen blooden Die het al zweer mede zij slap klink te dood , En ondertussen komen hebben uiten op lor of leur : de bergen zullen baar en een muis kruipen uiten doen scheur .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.speaker.1981.s.1	JAN tegen Antonet .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.1	mare a propo doen scheur .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.2	laten wij het nu ook een klik , zoet kind , wat zegjer toen ?	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.3	Ja ik zien hebben aan uw blik Hoe weigerig zijn een meit omtrent hebben trouw-geval , gelijk een Practisyn die gelden ontvangen zullen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.4	Hier zien m'hoe hart hebben vallen een vrouwe-smaak te tergen omtrent belofte die ik geensints kunnen voldoen , Sa lid Messieurtjes die mede klappen doen juffer voeden , Belooven reus en op het hippen zijn het nauw dwerg ; mare die zijn wat ander .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.5	Nu wat d ' overdaad en pracht belangen , zijn mede ik tragt zijn meerder t'evenaaren , En die hier scherssend worden op het Schouw-toneel belagt , Op hopen , etcetera ... die zijn hopen op winden en baar ; wan alles doen kiesheid hebben een vrouw ziel besmetten , zijn pronken hebben Outer , en doen zinnelijkheid zij weten .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.stage.1987.s.1	Tegen doen Aanschouwers	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.2000.s.1	einde .	None
