rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1981.s.3	wij Bootsvolk , eveneens verbitteren en te onvrede , dragen op doen Murs , een Roos , of Nap , of Pelikaan , Of het wapen vinden de Turk : Treslong , door spijt geraden , zullen zij zijn broeder bloeden op hals en kop doel dalen : Sonoy , willen zij de honen , hij aandoen , betalen : doen rijk , voor wieden ik hier doen trom mede ijver roeren , Werft een nieuw Vaandel volk , hebben welk de naam rijden voeren vinden het bloedvaen volk ; dus blijken wat hij denken uitterechten Op heen die mede hunn ' mond of hand wij bevechten ; En wel op doen eerst het meest , weer vuig huichlaary wij vloeken en het spaans gedrag durven zegenen : mare zo gei een Kloosterling , Jesuiet , of Priester aan kunde toon Die wij hebben dienst braden , ik zullen al doen resten verschonen .	Offended_Emotion_Sadness_Spitefulness
rivi001vero01_01.TEI.2.text.body.div.div.stage.1986.s.1	Vander Mark , Treslong , Rochus , Elizabeth , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1994.s.2	Rochus !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1994.s.4	Treslong !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1994.s.5	ik vrezen voor ongeval , En die doen Kastiljaan weer meest worp zullen !	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1994.s.6	hij zijn nu te Swartewaal en komen doen Briel herwinnen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1994.s.7	In minderen dan een uur zieden wie hij weder binden !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1994.s.8	deze zijn door een ' Kloosterbroer wij dadelijk zeggen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1998.s.1	Wat hebben hij meer verhalen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2004.s.1	Bossu wassen een oprichten , Goedhartig , inlands Heer , die het Krygsvolk herwaarts leiden alles Oppergeneraal .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2007.s.1	Rochus , tegen vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2010.s.1	gei moogt hij vrijen verbeiden : Ik wensen wel die ik zijn aankomst rijden vernemen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2018.s.1	zijn of die Kloosterboef deze tijding tocht bekwam ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2018.s.2	hij hopen door leus list wij al harden te ontroeren , En deze burgerij te opstand aan te voer .	Fear_Emotion_BodyPart
rivi001vero01_01.TEI.2.text.body.div.div.sp.2018.s.3	zijn zijn die Prevelaer ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2018.s.4	op die ik hij doorstoot , Of wel door pyniging zijn straffen de dood vergroten !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2026.s.1	stellen uw rusten , mijnheer , wild minderen toornig wees .	Emotion_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.2026.s.2	doen burger zijn uw trouwen en schijn niets te vrees ; doen kind steunen zelf op uw dapperheid , En mede Treslong en ik zijn al zo beleggen , die Spanjaard en Bossu alles haazen zullen vlucht .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.2030.s.1	mare , Rochus , zijn het wel zijn ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2039.s.1	gei zullen velen minderen zucht , Wanneer gij een waterzode alhier bereiden zullen zieden , Die aan geren ' Spaanschen mond zullen smaken ; ja , misschien zullen graven Hennin , leren door schae , welrasch vervloeken , die hij , in drassig landen , doen Watergans dor zoeken .	Fear_EmotionalAction_BodilyProcess_Anger
rivi001vero01_01.TEI.2.text.body.div.div.stage.2044.s.1	Vander Mark , Treslong , Koppestok , Rochus , Elizabeth , twee edel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2047.s.1	Koppestok , mede drift , tegen Vander Mark .	BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2051.s.1	het zijn zeker die Bossu wij hier verrassen willen ; zijn schip , opproppen mede Krygsvolk , naderen stillen En haastig om doen Stad , zo het zijn kunnen , te overval .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2055.s.1	Welaan , ik spoeden zien dan daadlyk na doen wal .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2058.s.1	Treslong , tegen Vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2075.s.1	zorgen die hebben hand schudden hij voor doen Zuid poort groeten , zijn bij gij u Musquettiers zeer stillen verbergen moeten , Om het eerst vijand rotten gewis te kunne raak , En lid wel op de dijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2075.s.2	wie zullen het zieden te maken , Wanneer doen Kastiljaan durven naderen aan doen Stad , hij zien bezet zien vinden al kant ; die hij het water overvallen , eer hij hebben kunnen vermoeden : Ik zullen ik in al ijl dan na Bernisse spoeden En steker , mede ik volk , zijn Schipgevaart in branden , Of vinden de oever af , of boren het mede doen hand In het grondeloos diep : het vernielen zijn schip , terwijl hij vinden alom door het water woord benepen , verhaasten zijn veeg vluchten : zorgen gei voor Poort en Muur , En voorts alles het zijn zeggen ; dan zullen ik , binden het uur , Bezorgen die Bossu , in het ongeregeld wijken , Een menigte zijn zijn volk hervormen zien in lijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2082.s.1	gei , Rochus , die Treslong getrouw hebben onderrichten , blijven bij hij , volgen zijn ' lassen en denken aan uw plicht , gelijk ik , zo het betamen , ik plicht gade volvoeren .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2086.s.1	Treslong , Koppestok , Rochus , Elizabeth .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2089.s.1	Koppestok , terwijl achterwaarts enig boer , boerin , enz. mede pakken en zak over hebben toneel , alles Stadwaards , gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2092.s.1	ik zien een goed getal de omgeleegen ' boer , vinden het landen , zien Stadwaards spoeden , om het spaans wellen te ontgaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2095.s.1	Elizabeth , onder hebben gerucht vinden Trommel en trompetten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2098.s.1	Al het volk komen op doen been .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2098.s.2	horen hoe doen trommel slaan , wij weten of niet Bossu doen Stad vinden ver naderen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2103.s.1	hij zijn nog niet landen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2103.s.2	wij Krygsvolk woord vergaderen Door Entes en doen rijk ; ik horen zij beide stemmen .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2107.s.1	Treslong , Koppestok , Rochus , Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2114.s.1	Bossu zullen hier haasten zijn ; helaas !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2114.s.2	ik vrezen voor hij , wild hij wij straf zullen , zo hij door't moedig vechten , Hier niet worden afweren !	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.2114.s.3	de Konings Oorlogsknechten ontschepen zien welhaast en spoed na wij toen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2124.s.1	ik oog zijn bijna door al hebben kijken moede , Daar ik eest ton vuldde en aard hebben aandragen mede knaap vinden ik ' slag .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2124.s.2	bij weinig die klagen zingen ver hebben groot delen  Wilhelmus vinden Nassouw !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2124.s.3	 die zijn doen braaf Prins daar ik hebben ook met houden ' , En die , alles Vader zeggen , wij spoedig bij zullen spring .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2129.s.1	laten wij dan altemaal te zijn eer zingen ; zo hij wij bij willen staan hebben Stad en landen geren node .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2133.s.1	Treslong , Koppestok , Rochus , Philipszoon , Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2135.s.1	Philipszoon .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2138.s.1	Nu komen doen vijand haasten ; ik hebben zijn klein vlieden Alree zieden naderen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2141.s.1	Frederik , na Philipszoon lopen	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2143.s.1	horen Vader , ik moeten uw spreken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2146.s.1	Treslong , tegen Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2148.s.1	laten wij dan gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2152.s.1	Ik zullen het hij bitter op doel breken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2155.s.1	Koppestok , tegen Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2157.s.1	de vijand ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2165.s.1	zullen gei die doel ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2168.s.1	Rochus , mede drift op zijn barsten slaan .	Honor_EmotionalAction_BodyPart_Dedication
rivi001vero01_01.TEI.2.text.body.div.div.sp.2171.s.1	Ja , Schipper Jan , Ik zelf , ik zullen die doel !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2177.s.1	Koppestok , en Philipszoon , gelijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2179.s.1	wie gaan mede uw .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2185.s.1	die kunnen Niet zijn : wie gaan allee mede enig soldaat Of Bootsvolk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2190.s.1	Koppestok en Philipszoon , te gelijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2192.s.1	zullen wij uw , in deze gevaar , verlaat !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2201.s.1	Daar vrezen ik juist niet voor ; mare vander Mark begeren , die hier doen burgerij zij ' Muur en waal verweren En niet daar buit gade : dus hebben gei het minst te schromen .	Fear_Emotion_Shame
rivi001vero01_01.TEI.2.text.body.div.div.sp.2201.s.2	Ik hebben iets vinden gewicht mede Rochus voornemen , die mogelijk zijn vijand trosch kortstondig brengen te vallen , En daar helen Nederland , uiten vreugde , vinden daavren zullen .	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.stage.2205.s.1	Koppestok , Philipszoon , Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2209.s.1	Ik vrezen die Rochus drift hij in het bederven doen lopen ,	Fear_Emotion_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2214.s.1	Daar week vrouw zijn , zijn weinig goed te hoop vinden het Manvolk , die zij klacht altijd doen hand binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2217.s.1	Elizabeth , mede drift .	BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2225.s.1	Daar week vrouw zijn !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2225.s.2	gei kennen wij niet ik vriend : het zijn ver vinden daar : gei mest : wie zijn geren week vrouw .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2225.s.3	Wanneer Bossu wij hier bestormen zullen gei beschouwen , Hoe weinig wie de man , in dapperheid en moede , In d ' aanval af te slaan , bezwijken ; neen , geren voeden - nog stro - nog haarbreed zelf willen heen hebben vrouwvolk wijken !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2225.s.4	geren praatjes zijn hier nut ; deze zullen door daad en blijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2230.s.1	mare Moederlief !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2235.s.1	Wel zo !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2235.s.2	wel vrouw Elizabeth , gei spreken alles een Heldin .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2238.s.1	Kornelia , zeer driftig .	BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.1	zo doen zijde .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.2	week weten hebben aan doen vrouw ooit verbieden , om doen wal met te verdedigen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.3	wassen Vrankryk niet geval In Koning Hendriks macht vinden Engeland , indien zien doen Orleansche maag niet aan hebben durven bieden Voor d ' Erfgenaam vinden het rijk ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.4	hebben zijde zien niet gekweeten , die kerel , torn niet meer dan Dauphyn slechts geheeren , doen brit overwinnen , de frans tronen beklam , En zijn Engellanders hoofd doen Leliekroon ontnemen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.5	deze deedde een maag , deze doen Johanna voor zij ' Koning .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.6	Een ander , eveneens in naam , hebben haare woning , zij moederlijk Stad , Beauvais , wanneer die plaatsen bijna verwinnen wassen , door het storm de Soldaats , behoudens door zij ' moede , dewijl zijde zelf mede maagd En vrouw , meer dan man , zij vijand verjaagdden ; Waarvoor daar een in het Jaar woord ommgang braden , Waarin doen vrouw voor , doen mennen achter , gaan : En hoe velen stellen zijn , door dapperheid de vrouw , Ja hoe velen land zelf zijn niet door zij behouen ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.7	deze laatst geval zijn nu juist honderd Jaar lijden ; En zullen wie alhier doen mennen wijken ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2260.s.8	neen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2268.s.1	wij denken ooit die alhier ook zulk vrouw waar ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2268.s.2	Wanneer Bossu deze zien zullen hij doen moeite sparen Om dikwerf zijn bevel te stormen te geven ; wan Daar ieder vechten durven , beleid mede goed verstaan , zijn ligtlyk vinden een ' waal de aanval af te weer .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.2271.s.1	tiend toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2278.s.2	vriend !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2278.s.3	staan ik bij !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2278.s.4	wild tocht doen wreedheid karn Die ik woord aandoen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2282.s.1	ik dunken gei zijn wonden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.2	een verwoed Geus , die ik versteken vinden In een hoek de Kerk , naar het Klooster wassen ontheiligd , vallen razend op ik aan , daar ik ik denken beveiligen Te wees voor zij woeden ; hij grijpen ik bij de baard , Doorstiet ik barsten en werpen ik , vloekende , te aarde ' , Ja hebben aan ik doen schuld vinden Alvaas kwaad geven !	Emotion_EmotionalAction_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.3	graven vander Mark en hij doel beurtelings wij beven !	Fear_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.4	doen Spanjaard , en doen Geus zijn even tomeloos , gelijk in ontucht , wreed , onredelijk en boos .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.5	Daar wij Toledo sterken , hout hij nog maat nog paal , Door , op de Geus , wij leed mede woeker in te halen : Waartegen weer Lumey al ons kerk schenden , En op doen geestelijkheid zijn dol woede wenden , Niet onderzoeken wij schuldig of onschuldig Op het wreed mishandelen woord .	Emotion_Unhappiness_Sadness_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.6	zijn het niet genoeg , geduldig , stilzwijgend aan te zieden , doen kerk overal , zijn hij slechts meest woord , tot een Paardenstal misbruik ?	Aquiescence_Emotion_EmotionalAction
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.7	laten u ogen in het Klooster rug weien Rondom zijn ' Tempel want ; beschouwen een , zonder schreien , Hoe zijn blank muur , vinden schilderwerk ontbloten , zijn eerst sieraad mest , hebben Altaar al te snood verbrijzelen en alom hebben beeldwerk wegslaan !	BodilyProcess_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2313.s.8	wij zullen zulks kunne zieden en niet mede rijden vragen , Waarom doen Plonderaar mede zilveren , mede fijn gouden , En het edel gesteente ' , zien niet te vrede hout ; mare het hout bij telwerk en kalk en stenen doen breken , En zien aan het kunstpenseel een schilder komen te wreken ?	EmotionalAction_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2316.s.1	Philipszoon , tegen Pontus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2319.s.1	mare , Vader , wat doen Geus vinden uw kerk halen , woord , door doen spanjaard , ruimen uiten Burgerroof betalen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2334.s.1	Wel horen , ik willen Lumeys nog Alvaas kwaad verschonen ; zijde zijn doen goed niet en heten op wraken betonen ; mare doen eerst werken niet zacht voor vrijheid vinden hebben landen , En doen ander smeden voor wij een ' yzren slaafs band .	Emotion_Desire_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2334.s.2	Daar vander Mark zien haasten bepalen zien door Oranje , woord dagelijks Ferdinand nog ophitsen uiten Spanje : terwijl doen graven het bevel de Prins te buit gaan En die bestraffing wachten , verheffen de Konings raden hebben Hertoglyk bedrijf , daar zijn Paussen gul betooning de Hertog wijd de hoeden en degen , te beloning de wreedheen die hij plegen : beschouwen deze zo alles wie , Dan kiezen gij ook vander Marks , mare nimmer Alvaas , zijde ' .	EmotionalAction_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2340.s.1	zijde beide , door zij drift in gruuwlen te bedrijf , Te fel , verplichten wij in zijn Koning eed te blijven , Daar niets te wereld uw nog ik vinden kunnen ontslaan .	BodilyProcess_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.2345.s.1	doen Koning hebben aan wij de eerst eed braden ; die hij die het eest volbrengen en wij niet laten verdrukken	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2349.s.1	wij laten Lumey begaan in al gruwelstuk ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2356.s.1	doen wraken vinden Merula , en Alvaas hels bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2362.s.1	Een uitvlucht vinden die aard hebben weinig om hebben lijf .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2362.s.2	begeren hij wraken , laten hij zien op doen spanjaard wreken .	Emotion_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2366.s.1	hij zeggen , zijde woeden meest door het geestelijk preken .	EmotionalAction_Anger
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.1	rampzalig geestelijkheid , in zulk tydsgewricht !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.2	Daar wij de Paussen willen en zijn Konings lassen verplichten , Om elk hebben oud geloven krachtdaadig in te scherp , En al nieuwigheen te doemen , te verworpen ; Daar het Bisschoplyk gebod zijn landen voogds oog gezag , Daar doen Ovrigheid bevelen , doen Spanjaard , dagge op dagge , zelf dwingen gebied de opstand te verdoemen , En wij doen Kerk verlaten ' , doodschuldigen te noemen , doen afdwaaling ketterij te heet , en doen straffen Die doen Inquisitie , hier en elders , daar voor geven , Hoe schaadlyk voor deze landen , de mens aan te prijzen gelijk een heilige werken .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.3	wie doemen , wie verwijzen Wat na de afval zwemen , en opstand koesteren kunnen , En moet het doel , op straffen vinden ongenade en bannen ; Doch zieden , aan d ' ander kanten , daar wie die lassen volbrengen , wij ongeluk te toppen , wij bloeden wreedaardig plengen : Al zijn doen Geus verwindt , of listig meest woord , zieden wij wij , voor het allerminst mishandelen , wreed verkorten , In het oud geloven verachten , mede doen Altaars omsmijten , En mede al het heilig verwoed vinden een rijten .	Emotion_EmotionalAction_Unhappiness_Disgust
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.4	Hier liggen een Offerkleed , daar het edel Wierookvat , Ginds een Maria-beeld , mede brein en bloeden bespat !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.5	geren Kruis woord aanzien dan mede verachtlyke oog ; geren dierbaar overschot , of het zijn mede slijk betogen !	Emotion_Hatred_BodyPart_Disgust
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.6	hebben rein wie water stroomd , mede de gewy de wijn En Olie , lang de vloer de Kerk , daar het witten satijn , hebben karmozijn Fluweel , en meerder kostlykheden , Daar zijn priester ingewand , verpletteren en vertreden , Voor elk gezicht te tonen , zien siddrende verspreiden En doen overmaat vervullen vinden al afgryslykheid !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.7	geren een de ons , die , doorstriemen of door wond , zij wreedheid niet voelen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.8	geren Non blijven ongeschonden ; Daar ieder Klooster-Cel thans woord een ontuchtspoel , blijven geren gewijd stichten in staan door zij gewoel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.10	ik zwijgen tot nog hoe ik ons regulier , Wel negentien in tal , door die bloedgraage gier , In het Monniks-heil gewaat , zien martlen door doen Koord , En hangen aan een ' balk ! ik hebben zij gekerm horen , In Rugges Kloosterschuur !	Fear_BodilyProcess_Despair
rivi001vero01_01.TEI.2.text.body.div.div.sp.2410.s.11	deze zijn door Lumey gebooden ; Ik zien de Geuzen woeden en zijn , wonden , ontvlieden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2423.s.1	doen gramschap vinden de Geus , die zien beledigt achten , En Alvaas tirannie hebben zulks te wegen brengen : hij geven de Geuzen stof tot deze gruuweldaaden ; hij hebben door zwaarte en Vuur , door Galgen en door rad Hier het allereerst woeden : mare zo doen Oranje Held , Aanvaardende het bewind , Lumey geren paal stellen , En ieder Kerkgebruik alom niet vrijen zullen geven , En ieder rechte beschermen , verbeure ik lijf en leven .	Offended_Emotion_Anger_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2423.s.2	het zijn voor de staan , de Prins en voor wij zelf ; mare niet Voor Entes nog Lumey die gei wij yvren zien .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2426.s.1	Pontus , terwijl ik een naderend gerucht horen , en eindelijk een delen vluchteling verschijnen en zien berg zien ; bestaan deze vluchten , uiten geestelijke , zo man - alles Vrouwspersoonen , volgen door edel , matroos en soldaat .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2430.s.1	Wat moordkreet krijsen en knerscht op nieuw weer in mijn oor !...	EmotionalAction_Hatred_BodilyProcess_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2430.s.2	zien zelf doen geestelijkheid hebben deugdlyk harden doorboren !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2430.s.3	zien nu de Geuzen woeden en bergen ik voor hunn ' haten .	Emotion_EmotionalAction_Hatred_Anger
rivi001vero01_01.TEI.2.text.body.div.div.head.2433.s.1	Elfde toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.2436.s.1	Entes , Koppestok , Philipszoon , Pontus , Elizabeth , Kornelia , Frederik , Maria , enig edel mede degen , matroos mede bijl , en soldaat mede zwaard wapenen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2439.s.1	Entes , mede ontbloten Zydgeweer , tegen Koppestok en Philipszoon .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2459.s.1	Hoe vriend , horen gei hier na paap beuzelpraat ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2459.s.2	denken nu aan nutterzaak ; bezetten mede wij doen wal , Waarop hebben spaans wellen zo daadlyk aan zullen val .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2459.s.3	Prins Willem eisen u dienst , doen staan en het Vaderland begeren die gei nu kloekhartig saamenspand , Tot welzijn vinden uw zelf , vinden vrouw en vinden kind .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2459.s.4	bieden tegen weder aan zij , die hier u rechte vermindren , doen weten vinden wij landen vertrappen mede doen voeden ' , En doemen uw te straffen ; hebben uitgestortte bloeden de held , door doen hand die beul wreed vergieten , Schreeuwd , krijten , om doen wraken !	Emotion_EmotionalAction_BodilyProcess_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2459.s.5	doen moord de landgenoot , Waarvan doen zwart aarde nog rood teken dragen , hebben ons loom zuchten te wreeking langen beklagen .	Emotion_Dissapointment_Sadness_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2459.s.6	Al wat slechts reuk ontlenen vinden spanjaard of vinden paap , zijn enkel en allee tot wij bederven scheppen : doen Kastiljaan en Beul doel wat doen geestelijkheid zij aanpreekt en beveeld ; niets zijn wij opleiden , Niets worden wij afpersen , nooit hebben ik bloeden zieden stroom , Of het zijn uiten preevlaary de paap voortkomen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2464.s.1	Die mens zijn zeer nauw binden aan het bevel vinden Koning en vinden Paus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2481.s.1	zo zijn het ; gei zeggen zeer wel : deze worden wie gewaar , in hun blind handelen , zij liefdeloos gedrag en spooreloozen wandelen , zij maateloos geschreeuw en schendende adderstong , Waardoor ik ieder lijken tot straffen de Geuzen dwingen ; doen wreedheen roemende , alles doorluchtig bedrijf , alles daad , die het gezag vinden Paus en Koning stijf .	Emotion_Hatred_BodyPart_Love
rivi001vero01_01.TEI.2.text.body.div.div.sp.2481.s.2	Dus worden een wreed gebod verkondigen mede vermaken Door deze geestelijkheid , die , heten op bloeden en wraken , geren zachtheid hullen doel , mare zij Gemeente lederen , die zijde door vuur en stalen moeten loutren en bekeren : die half moet wie zij ook door branden en moord verbeteren , en voldoen aan zij spreken woerd .	Emotion_BodilyProcess_Compassion_Other_Desire_Vindictiveness
rivi001vero01_01.TEI.2.text.body.div.div.sp.2485.s.1	doen spanjaard dwingen zij daartoe .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2492.s.1	die zijn mare list .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2492.s.2	komen , vriend , laten wie daarover niet meer twist , En lief hebben wellen de vijand weerstaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2492.s.3	Doch gei , doemen waard Paap , zullen geenszins straffen ontgaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.2494.s.1	Twaalfde toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.2497.s.1	Pontus , allee , aan de laatst steken , die Entes hij wild toebrengen , ontweeken zijn .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.2531.s.1	Ja , ik gevoelen ik straffen , hoewel geheel onschuldig Aan doen oorzaak vinden hebben kwaad , die hier zo menigvuldig , Tot ik verdrieten en smarten , door zijn Konings oorlogsmagt , deze arm burgerij te velen zijn toebrengen : Ik zien zulks mede verdrieten , en moeten doen Bloedplakaaten , En Spaansche kneevlaary , alles Nederlander , haaten ; mare die elk zwijgen moeten , staan ook aan ik niet vrijen Te zeggen , schonen ik harden , om al moordery En wreedheen , dikwijls krimpen .	Emotion_Hatred_BodyPart_BodilyProcess_Sadness
