vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.12	En ik ' onnozelheid , in spijt vinden logentael .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.13	En siedendheete wraak , door wapen en staal Te vrij wettelijk : mare alles ik het overwegen , het zijn goed die ik lei , dan die ik mijn sege mede burgermoord bevleck , en om zij onverstand griek tegen griek , en standaers tegen standaers kanten : het zijn goed datme ' een ' ziel verdelge vinden de aarde , alles het euvel uitwas mede de schitteren zwaarte .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.14	vinden datmen ik verkiezen tot al vorstin mond , En alles verdediger , aen wij gebied verbinden , mede diergesworen een , verstaan ik , zo ik het huid Hoognoodigh voor de staat [ hoe schendig zijde het misduyden ] En tot verzekering de vorstin in het gemeen , nog oordelen : die het gezag op het hayligdom allee de scepter toebehoren , en vorstelijcke band : En die geren tempelier zijn ' vinger en zijn hand zullen schenden aen die tomen , en teugel : alles een rechte En hoogheid aen zijn land staat onscheidbaar vasten hechten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.15	hebben zijn vinden aenvang ook bij al bondgenoot eenparig zo verstaan , verdedigen , en besluiten : zo drijven ik dan niet nieuw , of seldsaems , zoom het noemen : mare het priesterdom , die slinks hebben weereldlijck verdoemen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.16	nemen ik waar stom , en laten die teugel slibben : Tot wroeging mijn ziel , en schennis mijn lip : zullen niet te duchten staan geweten scherp dwang , waar aen koppelen zijn de stellen ondergang ?	Emotion_BodyPart_Remorse
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.17	naar ' et ban vinden doen deugd , naar ' et gruwelijk bestormen vinden raedhuys , en vinden kerk : naar ' et endeloos hervormen vinden tempel , tempeldienst , en wat aen het outer kleven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.18	Wat raadsheer zijn zo jong die het niet en hebben beleefd ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.19	doen kerk galm nog .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.20	doen kussen , en doen zaal ontbloten vinden grijs raad : hebben rook vinden doen paal , Beschreyen zij wellen , en het zwaarte vinden bloeden bespat .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.21	Hunn dolligheyd die spoken en roken vinden Stad op stad .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.22	hebben heilig perkament , mede heerlijk wassen besegelt .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.23	betuigen hunn ' razernij , te woest , en ongeregeld .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.24	Vergevet ik , indien ik ' vromigheid gezart , naar zo getrou een ' dienst , u ' zeer raken te hard .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.25	doen god zulle tot gerechtigheid bewegen doen klaar waarheid een doel blinken , alles doen logen vinden d'Ithakois smeden , vinden Calches tong vijlen , gelijk een damp verstuiven , en alles een rook verijlt .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.26	ik maken de veldheer diets , om wij alles kaffa te wan , alles waermen tegen hij mede ijver inspannen : daar niemand hebben alles ik zijn eer vorderen hebben : Hoewel getrouw dienst ik kwaad ' beloning geven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.27	het zijn waar ik dulde het nooit , nog ' zullen hebben niet gehengen mede ik ' bestemming , datm ' onordentlijck gade mengen het bijzonder en het gemeen , het welk groots geschil verwekken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.28	hebben opperst gezag , alles hij te vellen trekken , zijn mede gemeen raad zijn ' scepter opdragen : Niet om het bijzonder rechte de vorstin te belagen , En deze macht zo wijd te strekken , dat een het bijzonder eigendom zullen smelten in het gemeen , En alles een dwingeland zien inden zetel zetten , En schenden doen vinden oud bezweren Griecxsche weten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.29	Hoe kunnen ik schaamteloos die onrecht mede hij staan , En tegen eer en eed ik vaderland verraden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.30	het bezet mijn tent , mede meerder tal vinden wacht , geren wettig voedsel geven tot allerlei ' gedachte : Vermits hebben zijn geschieden door Ajax wijze raad .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.31	ik wassen alree brengen in veeler hopman haten : ik zien noch horen niet alles bliksem , en donderen : ik mompelen vinden moord , bloedstorting , en plunderen .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.32	Wat vorst vermogen deze niet ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.33	wat raken hebben yemands kroon , die ik voorsichtighlijck voorzeker ik persoon ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.34	deze maken geren ' staat in staat , gelijk zijde laster darren , nog ' strekken niet om hebben heyr door tweedracht te verwarren : mare wel tot enigheid , dewijl ik lyfwachts eed nog ' tegen het algemeen , nog ' ' skonings hoogheid strijden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.35	die wie doen schatkist vinden zijn land middel uitputten , waar door zien het weerloos heyr niet lang kunnen beschutten , ja lopen geren klein gevaar vinden droef nederlaag , te zijde ik mede Priaem zien schandelijk verdraegh : zijn logen en versieren . het zullen waarheid hebben gelijk , waar deze gestroyt om heen die eerloos zien verrijken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.36	mare daar en deren hebben niet . het zijn niet zo zeer om ik .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.37	ik trachten de vrijen staat te kwetsen door ik ' zijde .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.38	ik roepen tot slaefschen dienst hebben vrijgevochten griek .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.39	En trekken bedecktelijck slaghveeren uit zijn ' wiek .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.40	ik goed doen vroom naar , op datmen het rechte verstommen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.41	doen Godsdienst strekken een grijns , en het schelmstuck goed voor mom .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.42	Wat kaal zijn een berooid tot Agamemnons voordeel doen zaak handhaven , niet uit wetenschap en oordelen : mare puur uit eygebaet . het geraas , het gedrang , het gewoel zijn om de heilig niet , mare om de hayligen stoel .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.43	ik zullen gedaghvaert dan voor Agamemnon tred , En tegenwoordig zelf de loos raad bekleden , En uitstaan mede dulden , hebben zijde ook wat hebben zijde .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.44	komen laster logentael , ik kennen ik zelf vrijen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.45	komen overjaerde wrok , komen langen gedreygde wraak .	Emotion_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.46	ik steunen op ik gemoed , en op ik goed zaak .	BodyPart_Trust
vond001pala01_01.TEI.2.text.body.div.sp.2076.s.47	ik stappen ik ' dood te moeten : zijde strek ' het gemeen tot baten , alles ik ik bloeden vergieten te offeren voor de staat .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2087.s.3	NESTOR DIOMEDES .	None
vond001pala01_01.TEI.2.text.body.div.sp.2091.s.1	ik benop u ontbod , beheerser vinden Mycenen , En overste vinden het heyr , hier in de raad verschijnen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2091.s.2	Wat onraad drijven uw op , en dagvaart wij bij nacht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2097.s.1	gij Palamedes woerd vinden overlang verdenken , En het kwaad vermoeden groeien , alles of gij mede doen Phrygen hebben heimelijk verstaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2098.s.1	papa	None
vond001pala01_01.TEI.2.text.body.div.sp.2103.s.1	d'Onnoosle te betygen wassen ooit gering kunst , en zot kinderklap : daar het overtuigen zijn een hoogre wetenschap .	None
vond001pala01_01.TEI.2.text.body.div.sp.2103.s.2	wie aanzien niet gemeen mede die meinedig Trojen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2107.s.1	Hoe komen gij dan berucht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2109.s.1	papa .	None
vond001pala01_01.TEI.2.text.body.div.sp.2112.s.1	die vragen heen die deze stro .	None
vond001pala01_01.TEI.2.text.body.div.sp.2112.s.2	Tot schennis mynes naems .	None
vond001pala01_01.TEI.2.text.body.div.sp.2117.s.1	Gemeenlyck wild zo gaan , waar iemand worden belasten , daar zijn een weinig aen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2119.s.1	PAL .	None
vond001pala01_01.TEI.2.text.body.div.sp.2121.s.1	zo maken doen lastering dan vrome lieden schuldig ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2127.s.1	die volgen niet : mare het geroep zijn nu zo menigvuldig In al krygslien mond , en zelf in Priams stad : zo datmen vasten geloven daar haperen deze of die .	None
vond001pala01_01.TEI.2.text.body.div.sp.2132.s.1	onzeker landgerucht moeten logen zijn of waarheid .	None
vond001pala01_01.TEI.2.text.body.div.sp.2132.s.2	die elk het bedenken schorten , en wachten op meerdre klaarheid ,	None
vond001pala01_01.TEI.2.text.body.div.sp.2136.s.1	doen staat en lijden hebben niet , hebben leger lopen gevaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.2143.s.1	Wat eyscht dan d'oppervorst , die ik doen waarheid spaer , En logentael verdichten , en vals strikken breien , mijn eigen ziel verworg , en zo vinden hier verscheiden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2147.s.1	spreken waarheid , melden wij fluks wat in die boezem steken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2154.s.1	Een vrome en oprichten harden die waar deugd kweken , die nooit en wassen krenken door koninklijk gift .	None
vond001pala01_01.TEI.2.text.body.div.sp.2165.s.1	gij zode vinden Nauplius ik zullen u ' woord ziften , uw zelf niet bedriegh , noch halen geren ' swaerdre straffen Vw ' misdaad op de hals : ik heefter tijding af .	None
vond001pala01_01.TEI.2.text.body.div.sp.2165.s.2	hebben Paris mede een g'lay uw niet aen boord liggen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2165.s.3	zien daar , hij staat verstommen : hij heefter op zwijgen : hij zetten zijn ' doodverw : hij besterven in het aangezicht : hebben kwaad weten wroeght : hebben schellemstuck betichten zijn ' eigen meest .	EmotionalAction_BodyPart_Remorse
vond001pala01_01.TEI.2.text.body.div.sp.2165.s.4	zo , zo zullen ik het kluwen krijgen , wie aanzien het einde alree : hij staetet toen mede zwijgen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2177.s.1	Niet schellems staan ik toen , nog zijn in het minst bewust vinden meyneed of verraden , noch innerlijk ontrust .	None
vond001pala01_01.TEI.2.text.body.div.sp.2177.s.2	Neen Agamemnon , neen : mare zijn al helen verwonderen Om deze ' beschuldigingh , die in ik oor donderen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2177.s.3	ik markt u ' valscheyt dingen naar ik onnozel bloeden ; die mooghtge storten , mare het vrysprekende gemoed uitblussen nimmermeer , mijn onschuld het hoofd zullen heffen te golf uit , of schonen haar lasterbuyen treffen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2177.s.4	zijn het om ik ' dood gedaan , zo spaer deze ijdel reden , komen koelen u ' moede aen ik , en leydme dadelijk heen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2186.s.1	hij maken zien zelf het zoeken , ja durven de Koning tergen , ontkennen het bekennen feit , en waentet te verbergen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2186.s.2	wie moet streng gaan , voorts brengen doen pynbanck hier , En persen doen waarheid uit mede water en mede vieren ; hebben zijn hardneckigheyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.2186.s.3	brengen herwaarts haren koorde , En rekken hij kruysgewys .	None
vond001pala01_01.TEI.2.text.body.div.sp.2186.s.4	hij passen op niemand woord .	None
vond001pala01_01.TEI.2.text.body.div.sp.2186.s.5	wie aanzien die wel eer halsterckere verleren .	None
vond001pala01_01.TEI.2.text.body.div.sp.2189.s.1	Dats strydigh tegen rechte .	None
vond001pala01_01.TEI.2.text.body.div.sp.2200.s.1	geren oorlooghsvorst zien keren Aen yemands rechte of weten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2200.s.2	doen vorstin vol en drinken D'Handvesten nu en dan doen Griecxsche stellen schonk : hij neemtze dieze geven de volk in eigendom ; het zijn heer gift , een heer die eyschtze wederom .	None
vond001pala01_01.TEI.2.text.body.div.sp.2200.s.3	Indienze wij dienstig zijn , wie wil datze spreken ; mare zwijgen , zooze wij het hoofd mede tegenstribben breken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2209.s.1	ik heefter dan vergeefs vaak oorlog om voeren ; Vergeefs het aenpaelend rijk zijn nabuur om beroerd , En ijdel opgestoft .	None
vond001pala01_01.TEI.2.text.body.div.sp.2209.s.2	u vader in zijn leven spreken dikwijls : waar toen het rechte in perkament schrijven , mede letter rood vinden gouden , sterken mede heerlijk was : Wanneer geren burger ooit de zelf vrucht lezen , noch delen hebben aen het genot .	None
vond001pala01_01.TEI.2.text.body.div.sp.2209.s.3	och overheerde Argiven !	None
vond001pala01_01.TEI.2.text.body.div.sp.2215.s.1	wie staan op zijn vijand bodem , ik wil , ik believen , zijn al griek weten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2215.s.2	achten iemand mijn stemmen Een ' krachteloosen galmen , ik degen geeftse klemmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2215.s.3	Nu antwoord op wij vraag .	None
vond001pala01_01.TEI.2.text.body.div.sp.2215.s.4	hier gelden geren tegenstreven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2218.s.1	ik zijn , heer Koning , uw nooit antwoord schuldig blijven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2224.s.1	Voorts rand de booswicht aen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2224.s.2	gei pynigers komen voor , Wat voeren ik woordenstrijd mede deze schelm , hij horen noch luisteren naar ik ' reden , voorts liggen hij het vieren wat nader , daar zijn niet aen verbeuren al sneuvelen doen verrader .	None
vond001pala01_01.TEI.2.text.body.div.sp.2234.s.1	gij heer zien voor uw , ik zijn in uw macht : Gebeurtme lijden of smarten , die zijn wellen en kracht .	None
vond001pala01_01.TEI.2.text.body.div.sp.2234.s.2	gij mogen mede lieden gebaar doen ruim lucht vervullen ; mare denken daar levend die het vinden uw eisen zulle .	None
vond001pala01_01.TEI.2.text.body.div.sp.2234.s.3	belijdenis door pijnen uit yemands mond persen , worden zelden vasten geloven , en schonen gij het helen , hebben barsten te dikken muur uit .	None
vond001pala01_01.TEI.2.text.body.div.sp.2234.s.4	hij overtreden doen palen vinden billijkheid , die zo waend iemand t'achterhaelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2238.s.1	Indien hebben uw gevallen , nul veldheer , gade mede ik , Op datwe wij onderlingh besprek aen d'een ' zijde ' .	None
vond001pala01_01.TEI.2.text.body.div.sp.2241.s.1	Wat zeggen doen vader goed ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2243.s.1	nee .	None
vond001pala01_01.TEI.2.text.body.div.sp.2257.s.1	ik zullen grootmagtig koning vinden uw niet bidden het geren mogen dienst tot verschoning vinden meyneed , of verraad : zijn hier doen minst schuld , hij draegh verdiend straffen , en peenen mede dulden ; mare die gij niet en trachten , door pijnigen en rek , Een ' misdaad uit de mond vinden deze vorst te trek , Tot quetsingh vinden doen groot , en vinden het bijzonder rechte de vorstelijk naems , en zo uw zelf ' bevechten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2257.s.2	ik hebben ook op deze stuk nu langen genoeg dringen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2257.s.3	Misschien zijn het giftigh spogh vinden bits lastertongen ; mare isser ander iets , ik leggen hij die te lassen , En geven zijn onschuld plaats .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2259.s.1	ach .	None
vond001pala01_01.TEI.2.text.body.div.sp.2265.s.1	doen booswicht die zijn vasten , nul roemen vinden Neleus stam , hebben schelmstuck zullen wij scheiden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2265.s.2	wie vinden het goed hij zo een weinig om te leiden ; mare of hij het loochnen dor , alwaerder blyck en schijn , zullen dan doen pynbanck niet wij ' jong toevlucht zijn ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2271.s.1	het geren blijken die spreken vinden zelf : wij veulen zijn moeten zien schamen .	EmotionalAction_Shame
vond001pala01_01.TEI.2.text.body.div.sp.2271.s.2	daar veel tekenen een ' zaak bestemme t'zamen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2271.s.3	ik nemen zo korten een ' weg alsme ' immer nemen kunnen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2274.s.1	slepen hier de dood spie .	None
vond001pala01_01.TEI.2.text.body.div.sp.2274.s.2	wat dunken uw vinden die manna ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2277.s.1	hebben zijn een zielloos lijf .	None
vond001pala01_01.TEI.2.text.body.div.sp.2281.s.1	die zijn het niet datwe vragen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2281.s.2	zijn het niet doen spie die vaak hebben leger komen belagen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2284.s.1	het waar mooglijck .	None
vond001pala01_01.TEI.2.text.body.div.sp.2288.s.1	het zijn hij zelf , die dicwils wassen gewend Te duiken in doen schaduw vinden Palamedes tent .	None
vond001pala01_01.TEI.2.text.body.div.sp.2291.s.1	ik aangezicht die mens mede kennis nooit aenschoude .	None
vond001pala01_01.TEI.2.text.body.div.sp.2296.s.1	Vwe oog zien hij , doel gij hij toevertroude het Geheym vinden brief aen brief : of alles hij vinden Priaem uw schrift brengen , en groet in zijn grijs konings nader .	None
vond001pala01_01.TEI.2.text.body.div.sp.2304.s.1	ik haar moeten alles Megeer vinden zwarte slang kriel ; ik ' schimme naemaels draege allee , het geren al ziel , In onderaerdschen poel vinden Dis zijn toegedoemt ; ik nader die zijde een vloek waar die hij worden noemen ; Of alles Prometheus moeten ik het leverpicken lijden ; Indien ik kennis hebben aen deze verraderij .	None
vond001pala01_01.TEI.2.text.body.div.sp.2311.s.1	Spaer u meyneedigheyd , nul boos verrader harden !	None
vond001pala01_01.TEI.2.text.body.div.sp.2311.s.2	Hoe die gij hoog zwaard , hoe diep gij verward .	None
vond001pala01_01.TEI.2.text.body.div.sp.2311.s.3	lezen zelf de loos brief vinden zijn Konings ring zegelen , tekenen mede zijn hand , en vloek niet ongeregeld .	None
vond001pala01_01.TEI.2.text.body.div.sp.2317.s.1	hebben schrijven zijn Priam nog Hector niet verbod , nog strekken ik tot geren ' vlek .	None
vond001pala01_01.TEI.2.text.body.div.sp.2317.s.2	gij kentet goed god , Die ver zijn vinden het bedrog in uw tronen zitten , Hoe zuiver die ik zijn , en heilig vinden weten .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2318.s.1	AGA	None
vond001pala01_01.TEI.2.text.body.div.sp.2320.s.1	Nu Diomedes tuigen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2323.s.1	Wat eyschtmen voor bescheid ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2326.s.1	tuigen wat uw wedervoer alles gij doen ronden doen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.1	het wassen over middernacht , doen bleek ster vallen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.2	eest gaan ik strandewaerts bezichtigen wij ' kiel ; mare al wassen in stilte : doel nemen wie wij pad naar Ida , tussen het heyr , en tussen zijn vijand stad : vinden derwaarts horen wie het geruis vinden yemands voeren , En houden stelen , belust wat of wij zullen ontmoeten ; Of spook , of die , of mens . het gerucht komen nader aen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.3	ik oor begerig vangen hebben ritselen de blad , vinden het lis , en het groen kruid .	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.4	bij scheemerschaeu te lest zo worden ik hij gewaer , hebben die de griek te goed , En roepen : wij daar ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.5	hij zwijgen , en rukken gezwind voorbij .	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.6	ik volgen mede blank geweer , en kwets hij in zijn ' dy , En vatten hij naar de kraag ; hij duiken , en , of hebben God geven , In het duiken ik de spie steken botteling de strot af ; mede sneuvelen op hebben veld doen schelm en loods dief .	None
vond001pala01_01.TEI.2.text.body.div.sp.2345.s.7	ik rukken zijn ' boezem op , en vindter deze brief : waar uit doen boodschap blijken , en wieden hij wassen zenden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2352.s.1	Tot meerdre zekerheid , om al te doorgronden , zo heeftmen nagevorscht wij deze liggen brouwen : wij schelms genieten hebben hebben vijandelijk gouden , En het loods geheym ontdekken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2352.s.2	Ulysses doen wij openen , En tonen warm ' ik trachten de Kryghsraed om te kopen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2356.s.1	ik bidden ontschuldight ik .	None
vond001pala01_01.TEI.2.text.body.div.sp.2361.s.1	Voorts openen wij de schatten , Op die doen zaak blijcke , eer iemand wij bekladden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2371.s.1	daar sietge , nul vorstin , het gouden tot wij bederven beschoren ; wie glans hebben oog verblind , en schendig kosten bekoren doen vaak beproeven trouwen , tot zo vervloekt een feit , alles ooit zijn in Euroop bejammeren en beschreyd ; het meinedig Troje voeden mede zulk een lockaes wolf , En tijger in wij heyr .	None
vond001pala01_01.TEI.2.text.body.div.sp.2371.s.2	deze heeftmen opdelven daar Palamedes koorts zijn leger hebben spreiden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2371.s.3	Ach !	None
vond001pala01_01.TEI.2.text.body.div.sp.2371.s.4	die een groots ziel zien zelf dus vergeten .	None
vond001pala01_01.TEI.2.text.body.div.sp.2375.s.1	Te oog hij het goed waarderen , die het ijdel wereld goed schatten alles waardig om een heyr te stillen in een bloedbad .	None
vond001pala01_01.TEI.2.text.body.div.sp.2383.s.1	ik horen , ik denken , ik zien .	None
vond001pala01_01.TEI.2.text.body.div.sp.2383.s.2	Iupijn gij kennen ik witten , zo deedghe , nul Themis , ooit , die voor zijn ' voeren zitten : wie godsspraak ik bezweren in deze ik verkleining , dat in Boeotien vinden mijn oprecht mening getuigenis geven : zo langen haar Godheyt spreken , En lang haar heylge kerk Chephisus stromen en leken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2389.s.1	wie nemen het voor bekennen . het verraad zijn wij gebleecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.2389.s.2	gade voorts in hechtenis , tot dat worden strijken Een vonnissen over het feit .	None
vond001pala01_01.TEI.2.text.body.div.sp.2389.s.3	liggen af het meinedig zwaard .	None
vond001pala01_01.TEI.2.text.body.div.sp.2389.s.4	ontwapenen hij terstond , wat draelt gij ?	None
vond001pala01_01.TEI.2.text.body.div.sp.2389.s.5	ik begeren het .	None
vond001pala01_01.TEI.2.text.body.div.sp.2392.s.1	diets openbaar wellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2398.s.1	scheiden deze vinden doen vrome Door scherp vangenis .	None
vond001pala01_01.TEI.2.text.body.div.sp.2398.s.2	laat niemand bij hij komen , Tot die hij het recht lot naar zijn ' verdienste ontvang .	None
vond001pala01_01.TEI.2.text.body.div.sp.2401.s.1	Een die niet denken durven zijn wonder bloot , en bang .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.speaker.2405.s.1	rijden vinden EUBEERS .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.1	ALree hebben dun zaaien gesternte Verflaeut , en niet zo vurig branden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.2	doen schaduw zijn aen het overleenen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.3	doen nacht hebben opgeven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.4	voor zien heen doen morgenster drijven zijn hemel haar .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.5	doen voerman vinden de groot beer , Op die hij zijn beuren verwisselen , Die vlucht mede omkeren dissel .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.6	doen goud Titan rijzen alree mede blauw paard uit de zee , En schitteren over bos en duin , En Idaes blaederrijcke kruin .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.7	nul wellekoome morgenstond !	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.8	gij voeren hij spel in de mond vinden eindeloos salighede , Die rustig lustig , wel te wreed .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.9	beschouwen wat wij natuur geven ; wat schoonheyd in haar aanschijn zweven ; wat goddelijk worden , door al haar ' lid , vinden het diep verwondren aanbidden .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.10	Die in een liefelijcke strijken , bij het ruisen vinden een ' silverbeeck zijn landhuis stichten , en boers woning ; Wat zijn die een zegenen Koning !	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.11	Die niet en vlammen op ijdel lof , En zijn lust mede zijn ' hof Vernoeght , en indrinken mede zijn oor de vogelzang , die zien laat horen , alles d'uchtentdou langwerpig liggen bij druppel hier en daar gespreyd ; Op roozebladen vers ontloocken : Wanneer zien opdoen duysend rook , En duyzend kleur , voor hebben oog , vinden bloem : alles een regenboog , alles Iris bruylofskleed weven : Een schilderij die zwijmen naar ' et leven .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.12	hij planten , hij poten , of hij verzetten : Belaegt doen vogelen mede zijn netten : Of overlenende mede ijver , doen spartelvisch trekken uit de vijver , mede zijn ' buigen hangelroe : Of zijn hij zulk spel moede , hij spannen zijn paard in voor het dag , En goed mede hond het konijn belagen : Of rijden bij klaar zonneschijn Door weg die strengelen zijn alles voormaels de Cretensen doolhof .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.13	Hier bloeien een afgetuynde koolhof ; daar lachen een ' beemd ' een klaverwey , omsingelen mede een bomenrij ; ik leeght doen koe uier wakker ; Hier swoeght en ploeghtmen op de akker , En ginder hooptmen op het gewas : daar saeytmen boekweit : ginder vlas ; Hier groeien en bloeien hebben weeldigh koren , omheinen mede stekelig deur ; daar spoeden een speeljaght over het meer ; Hier roken een dorrep : ginder ver Een slot willen in het verscheiden verflauwen , En hoog op het gebergte blauwen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.14	ver dwaelt hij vinden deze leven af , die d'onrust nagaet , tot in het graf ; Die tot de avond vinden de morgen Geknaeght plagen worden vinden doen zorg , vinden zorg , die niet rust laat , Die slaaf worden vinden een ' vrijen staat , En tot gemeen goed zullen ramen , En brengen zo veel hoofd t'zaemen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.15	hij worden bijten vinden doen nijd , Hoe vrome en eerlijk hij zien kwijt .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.16	doen tabbaard , ik bekennen het , zijn eerlijk , En het kus deftig en raedsheerlijck : mare och wat zijn het een lastig pak : Wat moeite nestelen onder het dak , daar ieder vlammen naar hoogre stoel , En allerlei ' gebrek woelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.17	Die ramp vermijden ik burgerboer .	None
vond001pala01_01.TEI.2.text.body.div.sp.2517.s.18	hij drinken uit gouden nog parelmoer , geren Achonith , noch spoch vinden draak : het welk het harden doen ziel doen quynend braken .	None
