stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin vinden Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.1	mogen Hollands graaflyk huis , om schyngevaar te ontgaan , vinden Diedriks laatst willen vermetel zien ontslaan , weerspannig het oog gezag de achtbaar voogd schenden , En storten het vaderland in eindeloos ellende ?	Emotion_Pride
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.2	Neen , leus bisschop !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.3	neen ; geren landzaat zijn hier slaaf .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.4	hebben opperstaatsbewint behoren wel aan de graven , mare geven geren vrijen macht tot onrechtvaardigheden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.5	geren loffelijk opperhoofd kwetsen ooit zijn dierbre lid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.6	doen hollands gravin verliezen zij heerschappij , Indien zij u les volgen , en stemmen tot dwingelandij .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.7	Besef wat zwaar slag uw Ada hebben te schromen , En die ikzelf , niet gei , zij ' vallen poog voor te komen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.1	doen rijden tonen , mijnheer , aan ik bestrijden deugd , Hoe ver ik wassen verdolen door onervaren jeugd ; En dwingen ik hopeloos harden , door wreed minnen aan het blaken , Helaas !	Emotion_BodyPart_BodilyProcess_Love_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.2	uw meest vinden ik droevig loten te manen ; uw , die ik liefde doemen ; uw , die ik ' echt weerstaat .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.3	kennen Adaas bruidegom , die het pijnlijk leven haten , zijn minnedrift bedwingen ; zien hij tot afstand vaardig , Niet schuldig bij u ' graven , mare Willems deernis waardig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.4	geren schandelijk vrezen ontwringen ik deze talen : u vorst , hoeveel geducht door zijn gelukkig stalen , Hoe moedig op zijn ' roemen , in het heilige landen verkrijgen , zij nooit ik staatzucht , nooit ik teder minnen bewegen vinden Adaas heerschappij en huwelijk af te staan ; hij vinden hier nieuw stof tot zeldzaam oorlogsdaen ; zode doen eer ik niet verbieden doen landvorstin te dwingen , En , tot zij ongeluk , na het graaflyk erve te ding .	Fear_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1563.s.1	mijnheer , u groot ziel redden u doorluchtig bruid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1563.s.2	gei , nemen een voorbeeld aan zijn loffelijk besluiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1561.s.1	Tegen de bisschop .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1568.s.1	zien Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1568.s.2	denken hoe zwaard gei wij beleedigt .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1568.s.3	graven Willem worden misschien door die vorstin bevredigen .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1572.s.1	Adelheide , Vander Are , Lodewyk , Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.1	Eer ik uw horen ' , mijnheer , zijn het nodigen die uw blijk ' Of Willem nadeel lijden , al heersen hier Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.2	En gei , mynheeren , wezen getuige hoe ik zin , Voor het algemeen geluk , de oude haten verwinnen .	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.3	hebben lid Oostvriesland zijde u ' graven te eigendom , Indien hij het huwelijk stemmen vinden Adaas bruidegom , hebben vorstelijk paren in rusten zij erfdeel laten regeren , En doen oud vijandschap in vriendschap doen verkeren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.4	Die held , alom beroemd door moedig krygsbeleid , Verwerve een ' nieuw lof door edelmoedigheid !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.5	hij strekken een ' toeverlaat voor hof en onderdaan !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.6	deze eisen zijn zijn belang ; deze eis Adaas traan .	BodyPart_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1580.s.1	Tegen Vander Are , Lodewyk , en Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1584.s.1	Tegen Willem .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.1	gei schenken Oostvriesland hij !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.2	Vorstin , zijn het in u macht ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.3	het zijn Adaas erve .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.4	hij zij , indien hij het oorbaar denken , u minderjarig kroos niet vinden een delen beroven , mare all ' doen staat vinden zijn ' broeder zien beloven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.5	denken niet die Willem zien mede zulk een grootheid vleien ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.6	zijn uw zijn vriendschap woerd , zode geven hij vrygelen ' Op Diedriks uitvaart ; schromen zijn droef nicht te dwingen , En het zorgelijk trouwverbond vermetel door te dringen ; voldoen zijn rechte ; en zien , tot heil vinden all ' de staan , In Adaas trouw voogd een ' weten toeverlaat .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.1	Bedwing u stout tong .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.3	zij ik laf gedogen , die Ada zien begeve in Willems tros vermogen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.4	die hij , in dol haten , mede muitren zien vereen ' ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.5	doen ontveinsde staatzucht wreed de teugel vier o Neen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1621.s.2	die geren hevigheid hebben twistvuur weer ontsteke !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1621.s.3	Vorstin , het zijn nodigen , die Oostvrieslands graven uw spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1621.s.4	ik kies tij en plaatsen tot onder handeling ; ik geven gijzelaar ; ik make een nut verding .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1630.s.1	Ik , yvrig om ik bruid aan ramp op ramp te onttrekken , Vorstin , willen bij die graven u ' gyzelaar verstrekken , uw toon hoe ik ziel doen hulplooze Ada minnen .	Emotion_BodyPart_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1630.s.2	Wat heil , indien die schoon een wenschlyke uitkomst vinden , En ik , vonnissen zij in eeuwigheid te durven , Tot zij beveiliging mogen vlijen , kwijnen , sterven !	EmotionalAction_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1636.s.1	Mevrouw , storten Ada niet in diep staatselend ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1636.s.2	het Vermetel trouwbesluit zijn Willem rijden bekennen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1636.s.3	gei weten niet wij mede hij zien tegen uw verbinden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1640.s.1	o spijt !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1640.s.2	ik zijn verraen door ik gewaand vriend .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1648.s.1	hebben puik de edel waken voor het rechte de landvoogdy ; Ja zij , in Adaas erve , eer hoog heerschappij , Indien het zijn aandeel in het voogdijschap moeten verlies , Eer Diedriks broeder , dan een ' vreemdeling , verkiezen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.1	Die vreemdeling ontzien doen glorie vinden zijn bruid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.2	Mevrouw , gei kennen ik drift voor u doorluchtig spruiten ; gei weten wat smarten ik lijden mede vruchteloos zij te min : mare doen invloed vinden zij ' plicht op zij verheffen zin , doen traan die zijde storten , doen lucht die zijde lozen , het verdubbelen staatsgevaar vinden u beminlyk kroos ; Ach !	Emotion_BodyPart_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.3	al dwingen ik , zij in eeuwigheid te schuw : Ik hebben hopen , vorstin ; nu doen die hopen ik gruwen .	Emotion_EmotionalAction_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.4	Vernoeg Oostvrieslands graven , de adel , Adaas deugd ; behoeden zij vorstelijk erve , zij glorie , haar jeugd ; En overwegen mede erust hoeveel zij ramp groeien .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.6	ik zien u ' druk !	Worry_Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.7	laten vrijen u traan vloeien ; verbergen die droefheid niet ; die smarten strekken uw tot eer : geven , geven aan Diedriks wezen een teder moer weer .	Emotion_BodyPart_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1671.s.1	Ik zwijgen te langen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1671.s.2	Vorstin , wezen u belang indachtig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.1	maken een list u groot ziel neerslagtig ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.2	geven moedig Adelheide , uiten zwakheid , tot zij schande ' , Een zorgelijk geloven aan Willems afgezant ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.3	En zullen gei , ongewoon in het groot gevaar te beven , u dierbaar pand , uiten schrik , die wreker overgegeven ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.4	Mistrouw een ' vijand , die u vriend vals betichten , allee opdat u harden voor ijdel dreigen zwichten ' , Of , in doen onzekerheid op wieden het zien mogen verlaat , doen helpen die vriend derv ' voor Adaas veeg staat .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.5	Ziedaar hebben oogmerk vinden het gezantschap .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.6	kiezen , mevrouw , Of wraken vinden oude haten , of helpen vinden waar trouwen .	Emotion_Hatred_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1679.s.1	tegen Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.1	gei openen ik zichten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.2	Ik zullen , in spijt die liggen , Niet aan Oostvrieslands wrok het geluk vinden Holland waag .	Emotion_Happiness_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.3	Hoe listig pogen ik ik , uiten veinzen zelfbelang , Te lok in de strik , tot Adaas ondergang !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.4	Hoe blaken een eedle spijt in ik getergde zin !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.5	het zijn eertijds ik gelukken graven Willem te overwinnen : hij strijd ; ik vrezen hij niet , o neen ! ik wachten andermaal , In ik gerecht zaak , een wis zegepralen : Die wrevel vyaad zien ik ' moede , gelijk voordezen !	Fear_Emotion_Annoyance
stee033adag01_01.TEI.2.text.body.div.div.sp.1708.s.1	Rampspoedige erfgravin !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1708.s.2	gei zijn te vallen verwijzen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1715.s.1	Nochtans , indien u vorst ik aanbod niet verachten , En tot behoeder strekken vinden zijn verdrukken slachten , zode willen hij Adelheide onfeilbaar nog doel blijk , die zij gesarde wraken voor het staatsbelang moeten wijken .	Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1720.s.1	hij zullen , verwittigen hoe doen bisschop uw misleiden , Verzuchten om u ' ramp , uiten mededoogendheid .	Emotion_BodilyProcess_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.1724.s.1	Ontzinde !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1731.s.1	u trotsheid zijn te oog in toppen steigeren .	Emotion_Pride
stee033adag01_01.TEI.2.text.body.div.div.sp.1731.s.2	ontdekken ik aanbod hij .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1731.s.3	hij beve , indien hij het weigeren !	Fear_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.div.stage.1733.s.1	zijde vertrekken mede de bisschop .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1739.s.1	Vorstin , verhoor ik bede .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1737.s.1	baar volgend .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1748.s.1	Hoe groeien doen tweedracht aan !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1748.s.2	Ach , vorst !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1748.s.3	wat nu verrichten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1754.s.1	Ik smeed een groots bestaan .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1754.s.2	Vooreerst zijde Lodewyk door ijdel hopen bedriegen .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1754.s.3	hebben deren ik : mare doen node verwinnen ik mededogen .	Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.1759.s.1	hij keren , en zoeken u helpen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1763.s.1	versterken een nut list .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1767.s.1	Lodewyk , Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1772.s.1	beletten , o afgezant !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1772.s.2	beletten een ' wreed twisten , Een bloedig staatskrakkeel ; en achten ik bruid onschuldig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1776.s.1	verwachten die Willem uw tot graven vinden Holland huldigen ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1780.s.1	Wat zeggen gei ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1780.s.2	Deze talen verbijsterd ik het verstaan .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1784.s.1	u deugd verdiend zijn gul mede Adaas erve en hand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.1	Wat nopen uw veinzen ' ik mede ijdel hopen te vleien ?	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.2	durven Willems afgezant ik leus strik spreien ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.3	verlenen gei nieuw kracht aan ik verwinnen minnen , Opdat ik roekeloos huwe aan doen angstig erfgravin , u vorst zien door de krijgen een ' rijk buiten belove , En zij mede schijn vinden rechte hebben wettig erve ontroove ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.4	o vaderloos wezen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.5	barsten uiten in bitter rouw : u moer minnen uw niet ; u voogd bezitten geren trouwen ; doen ontveinsde heerszucht doelen arglistig op u staat , En vleien zien mede doen stemmen de morren onderzaten .	Emotion_Love_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.6	Doorslepen afgezant !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.7	ik weten wat hopen ik voegen .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.8	na Diedriks laatst willen zijde Adaas voogd vernoegd mede zijn bepalen gezag , totdat zyzelf regeere ; Opdat da edel macht doen snood staatzucht weer !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1809.s.1	gei honen zij ' trouwsten vriend .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1809.s.2	zijde vrees uw meer dan hij ; zijde vrees u liefde allee .	Fear_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1809.s.3	Ik vleien uw mede zijn stemmen , Opdat een blind drift uw niet in echt verenen , Eer hij , alles voogd erkennen , aan uw die stemmen verlenen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1811.s.1	Amstel ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1818.s.1	Ik hebben mede zekerheid zijn deugd uw rijden gemeld .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1818.s.2	verwachten geren laf besluiten vinden die doorluchtig held .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1818.s.3	gei zullen , indien u liefde op hij zien durven betrouwen , Eerlang doen ontruste bruid in veiligheid aanschouwen .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.1	geven Adelheide hopen die Willem , die de vallen vinden Diedriks huis niet wensen , in doen echtkeur stem zullen .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.2	hij , die zij vriendschap eisen , hebben langen zijn ' haten vergeten .	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.3	het voordelig aanbod zullen ik yllings hij doel weet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.4	Ik kennen hij alles myzelv ' , en wachten op wis grond , Nu ik vergeefs voor hij na het landvoogdyschap staan , Nu zijde haar oor sluiten voor dreigen , voor bidden , die hij , allee in staan om doen edel te overrijden , Voor Ada heen voldoende , een nodigen wonderstuk teerhartig zullen bestaan voor het vluchtend landgeluk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.5	mare wachten zijn antwoord af : het zij hij te honen verstrekken , zode gei te schielijk durven u ' groot echt voltrekken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.1	Hoe teder ik Ada minnen , hoeveel ik Amstel achten , uw onverwacht talen zijn echter ik verdenken .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.2	zijn het ik vergunnen , of niet , na ik geluk te ding ?	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.3	o naar onzekerheid !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.4	o wreed twijfeling !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.1	uw Ada zullen uw haasten vinden ijdel vrezen ontslaan .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.2	Ik willen een groots geheim terstond zij doel verstaan .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.3	Hoe wensen ik spoedig zij te spreken !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.4	mogen ik het hopen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.5	En zullen gyzelf daartoe die schoon in stilte nopen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.6	die niemand zij verzell ' !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.7	verwachten , naar die gesprek , die zij uw doen zekerheid vinden het nadrend heil ontdekk ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1858.s.1	gei zullen zij zieden , mijnheer ; en meer en meer besef , die nooit graven Willem zij in deugd kunnen overtreffen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.1	ik blijken u opzetten , vorst .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.2	Ik roemen u veinzerij .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.3	Hoe listig pogen gei tij te winden !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.4	mare zullen gei , doen hopen vinden het kwijnen landen , u dreigen gevaar verdubbelen , door u ' naam aan Ada te openbaar ?	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.1	Ik zullen nog meer bestaan in Hollands hogen node .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.2	horen , Amstel , wat ik moede voor die gravin besluiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.3	gei zagen doen grimmigheid de wrokken Adelhelde , die Utrechts kerklyk hoofd arglistig zij misleiden , Door ons tweedracht doelen op Hollands vegen staan , En wat gehoor zijde geven aan zijn kerkvoogds eigenbaat .	Emotion_EmotionalAction_Anger_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.4	zijde zij , mede ijdel hopen niet langen door ik bedriegen , Door zijn bisschop leus tong tot woest dwang bewegen , helpen door doen minnen vinden het ongelukkig paren , ik zorgen verydlen voor het ontheiligd echtaltaar .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.5	Zolang doen bruid hier blijven , zijn het huwelijk te duchten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.6	Ik willen bij duisternis vinden hier mede Ada vlucht .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.7	gei schrikken ; ik zien die rijden u bijstand uw berouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.8	mare laten een scherp wachten , door doen edel betrouwen , doen vluchten Ada na een veilig oord verzellen , zijn doen adel zij verbergen ' totdat ik bergen zullen stillen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1893.s.1	Wat heldendeugd !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.1	Ik vlieden mede zij doen aanstaande nacht .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.2	gei weten , verrassen ik ik , wat sterk helpen ik wachten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.3	zullen Lodewyk geren ' dagge de vreemd echtdwang stuiten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.4	zullen Ada tot doen vluchten uiten wanhopen niet besluit ?	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.5	ik koop ' doen lijfwacht om : gyzelf hebben ik gemeld , die Adaas droevig loten zij trouwen wachten ontstellen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1910.s.1	hebben algemeen geluk , uiten zulk een vluchten te hopen , verdiend die gei besluiten een groots gevaar te lopen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1910.s.2	Wat eeuwig eer voor uw , die , ondank u belang , doen zuchten erfgravin behoeden voor ondergang !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.1	zij staatsbelang zijn het mijn : ik moeten zij huwelijk vrees , Al schijnen die bron vinden twisten ik staatzucht nut te wees : Ik zij , versteken vinden doen hopen de landvoogdy , Vergeefs ik wapen om doen opperheerschappy .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.2	zij het edelmoedig paren , die mede verliefd zin Een eeuwig scheiden kiezen , niet al hart winden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.3	Hoeveel een krijgsmacht zijde , zode oog een deugd zijn meer .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.4	zien , zien ik zijn belang verenigen mede mijn eer , En oordelen hoe ik zien op Willem mogen betrouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.5	gade ik geheim besluiten aan doen edel ontvouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.6	o Ada !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.7	Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.8	vergeven ik het loods beleggen ; mare overtreffen ik niet in edelmoedigheid .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1927.s.1	Einde vinden goed derde bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.head.1931.s.1	vieren bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.stage.1934.s.1	Lodewyk , Reinoud .	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.1	Deze onverwacht talen verbijsterd ik gedachte .	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.3	zij ik heimlyk iets besluit mede doen wacht ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.4	Wat zij ik doelwit zijn ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.5	vleien Willems afgezant ik hopen in het einde niet mede Adaas erve en hand ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.6	Smeed ik een ' aanslag ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.7	ik ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1947.s.1	mijnheer , waartoe te veinzen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1947.s.2	verlaten uw op ik trouwen ; ontdekken ik u gepeins .	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.sp.1951.s.1	Wat horen ik !	None
stee033adag01_01.TEI.2.text.body.div.sp.1951.s.2	durven gei ..?	None
stee033adag01_01.TEI.2.text.body.div.sp.1956.s.1	Ja , grootmoedig bruidegom !	None
stee033adag01_01.TEI.2.text.body.div.sp.1956.s.2	Ik beven , niet minnen dan gei , voor Adaas eigendom .	Fear_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.sp.1960.s.1	zijn uw bevelen ik te toets ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1960.s.2	week treek !	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.1	nog een , ontveins ik niets ; ik zijn genoeg blijken .	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.2	doen wacht momplen vinden een loffelijk bestaan , En twist of ik het ik , hunn ' hoofdman , voor zullen slaan .	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.3	ik hebben ( deze horen ikzelf , ) doen aanstaande nacht verkiezen ; uw Ada worden genoemd .	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.4	Wat loten zijn zij beschoren ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.5	wij zij iets groot bestaan , tot heil vinden die gravin , Dan gei , die zij beschermen tot nadeel vinden u minnen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.6	moeten gei uiten achterdocht ik trouwen helpen versmaden ?	Suspicion_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.7	Of blijken uw doen aanslag niet ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.8	worden die vorstin verraden ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.1	Ja , het zijn verraad .	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.2	Ik schrik .	Fear_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.4	niets zijn ik bekennen .	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.5	Hoe ras , doorluchtig bruid !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.6	treeft wij een nieuw elend ' !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.7	u trouwen minnaar , die , vleien in het hevig blaken , Om u dreigen belang zijn liefde moeten verzaken ; u teder bruidegom , die , op zijn ' huwlyksdag , moeten afstaan vinden u ' echt en Hollands erfgezag ; Die hier ontbieden worden , om in u minnen te deel ; mare die zijn hoogst geluk versmaadde op u bevel , En duizend smarten lijden in het krachtigst vuur de jeugd ; zien weer een ' straal vinden hopen , wanneer ( o kort vreugde ! ) Een heimlyk vloekgespan , reden op uw te woeden , ...	Joy_Emotion_Hope_BodilyProcess_Love_Loyalty
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.8	verrader !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.9	kennen ik uw !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.10	mogen ik die slag verhoeden !..	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.11	Hoe beven ik !..	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.12	Dierbaar pand !	None
