meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	doen verloofd koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5197.s.2	hij zeggen het gheen hij lusten , en ghunne ik te zwyghen , zode ik iets te berd ' brengen , het welk mede zijn ' begeerte strijd .	Emotion_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.5201.s.1	ik zeg waarheid , en ik willen , die gij die met belijden , Of ik zullen aanstondts u ' zode doel om hebben leven brengen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5204.s.1	En kreunen gij niet goed , onschuldig bloed te plengen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5208.s.1	onschuldig bloed , oft niet , hebben zullen terstond gheschien .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5208.s.2	Dies spreken , oft wel ik ' wachten doorsteken hij fluks .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5213.s.1	Indien doen Vorst beschooren hebben , zijn ' zode vinden straffen te vrijen , die staan an hij ; doen ik ' hoeven daarom niet te lijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5219.s.1	doen mijn zijn vrijen vinden straffen , onschuldig aan doen daad ; En d'uwe lijden mede rechte , handtdaadigh aan hebben kwaad ; bekennen dies schuld , oft ik zullen hij , voor uw oog straf ; Daar u ' belijdenis hij mogen ghena beschaffen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5222.s.1	doen Vorst vergheef het ik ' tong , zode zijde niet liegen kunnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5226.s.1	trawant trekken vinden leer , en passen op het wenk vinden mijn oog ....	None
meij001verl01_01.TEI.2.text.body.div.div.stage.5227.s.1	Ghrimoald spreken wijd iets zacht mede zijn Lijfwacht .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.5228.s.1	Velleede te zijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5232.s.1	doen Tiran pogen , door zijn ' dreigement , ik onverschrokken harden wat vrezen slechts in te prent : mare ik merken , het zijn veinzerij .	Fear_Emotion
meij001verl01_01.TEI.2.text.body.div.div.sp.5232.s.2	Dies blijven ik bij ik woord .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5237.s.1	Wel nu , belijdtghe u ' zode , handtdaadigh aan doen moorden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5243.s.1	ik ' tong zijn niet gewoon , dan waarheid , te belijden : Dies vergen zij niets , Heer , die daarteeghen moghte strijd .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5243.s.2	Ik hebze ontvouwen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5243.s.3	geven nu mijn zode doen schuld , of spreken de uw vrijen : ik draagh hebben mede gheduldt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5247.s.1	Welaan , ik zullen hij zijn ' verdiend straffen dan lang .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5247.s.2	trawant .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5251.s.1	hout .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5251.s.3	hij hebben de steken ontvangen ; Ik komen te laten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5251.s.4	Daar zijgen hij neder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5251.s.5	ik zode , ach !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5256.s.1	Ik volgh ik lief vernoeghdt : dies staken deze weegheklagh , En wezen kloekhartigh .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5256.s.2	het kwaad ontvliedt nooit zijn ' beloning .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5267.s.1	vervloekt menschenbeul , vermoorder vinden u Koning , Verdelgher ik gheslachts , verweldigher de kroon , Verdrukker de ghemeente , en rover vinden ik ' tronen , moeten noch hebben lijk ik zoon u ' tronen te rughsteun strekken , En , mede zijn bloed , doen schande ' vinden uw zode bedekken ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5267.s.2	het zijn zijn verschonen allee , en het vasten vinden u staf .....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5280.s.1	Zwijgh , onbeschaamd , u zode hebben zijn ' verdiend straffen , En gij verdiend lot voor u ' bedrieghlijkheeden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5280.s.2	Dies houden uw stil , en stop doen vloot die lasterreeden , of ik weten raad mede uw , en die vermeet'len aard .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5280.s.3	Hofknaapen , nemen hebben lijk , en dragen hebben kamerwaart .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5280.s.4	ik ' zode beklee ik ' zijde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5280.s.5	Hofmeester , willen wij volghen , Om t'overlegghen , hoe ik goed , naar zode verbolgen Een onweer , huldighe te nazaat mijn zode , En helpen wijders aan Mathildes trouwen en tronen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.5283.s.1	Velleede .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.1	balsturig lot , hoe looptghe wij teeghen !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.2	Hoe onbesuisdt slaatghe wij voor het hoofd , mede batsen weederspoedt , daar voorspoed scheiden beloofdt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.3	ik toeleg niet allee zijn tweemaal neerghezeeghen In het voetzandt , zonder vlucht ; mare ( onverdraaghb're smarten ! ) verwoed ik neergheploft op het harden .	Emotion_BodyPart_BodilyProcess_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.4	het Mislukken vinden doen Tweelingbroeders Te moord , slaapende op zij goed , worden , torn ik schadeloos daar af komen , liggen verzetten : mare dus ik ' zode zijn ' dood , zelf door het beleid zijn moeder , het Welk pooghde een ander op t'off'ren aan zijn schuld , Te vorderen , breken ik gheduldt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.5	Vergheef ik , waarde kind , ik zwyghen ; hebben pleite voor u lijf en staf : Daar het nu , voor staf en lijf , uw hebben storten in het ghraf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.6	mare zijn troosten , ik ' wraken , an het wakker en stijgen , zullen mede de moorders bloed verheerlijken u ghraf , En lanks die trappen treden naar ik ' staf .	Emotion_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.7	mare wij zullen goed , ghedoemdt te wraak , Opruimen het spoor te zeeteltroon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.8	doen Dwinglandt streven voor uiten , wie voetstap volgh zijn zode , doen jong sluite het hek , en willen een drytal maken , tot een zoenoffer , ik vermoorden gheslacht ghewijdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.9	ik ' wraken zien mede gheen slecht lijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.10	Doch zullen het ik wel vinden het hart mooghen , die enig telghjen mijner stam , ons Eduward , die uiten ik leven het leven nemen , Die voedsel , uiten ik bloed , hebben , door ik ' barsten , ghezooghen , Te scheuren vinden zijn ' steel , te moord mede ik ' handen , En off'ren mijner wraken die pand ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.11	nul ja , zijde hebben doen zuchten vinden moer geheel dempen , en hij zijn niet waard , die hij , in het leven , vinden zijn ' moer , waard ' ghespaart ; Die , in hebben leven , niet ghespaart hebben zijn broeder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.12	Ja , vinden ik koninksbloedt zijn langen in hij doen ghlants Verdoofdt , door het bloed de Dwingelandts .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.13	hebben Progne , om op het verwoedst te wreken Haars zuster Philomeles schande ' , Door Thereus , zij ghemaal , gheknot vinden tong , en handen , Haars Ytis strot doorboordt , zijn vlees aan het spitten ghesteeken , In keetelen ghezoon , en , opghedischt , daar aan de Vader doel zijn ' ghraaght ' verzaan ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.14	hebben Atreus , om Mycenens kroon Te dragen , en zijn huwlijksbedt , mede bloedtschand ' vinden Thyest baldaadighlijk besmetten , de vader opgheschaft zijn drie onnooz'le zoon , Gheschonken het bloed voor wijn , en zo doen wreed lusten vinden zijn ' wraakghierigheidt ghebluscht ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.15	doen wraken ik zoon , en mijn maaghen , het Herwinnen vinden ik ' Scepterstaf vergen mijn overmoed gheen slap ondaadt af .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.16	zijde plengen schuld'loos bloed ; ik kunnen het mede schuldig waaghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5358.s.17	Welaan ik ' ziel , nemen zode doorluchtig een besluiten , En voeren het niet minnen doorluchtig uiten .	None
meij001verl01_01.TEI.2.text.body.div.head.5364.s.1	vijfde bedrijf .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.5366.s.1	Ghrimoald , Velleede , Mathilde , Trasimond , Atelstan , Ottomar , Leeuwenbald , Hofmeester , rijden vinden Eedelen , Staatjoffers , Hofknaapen , en Dienaars .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5373.s.1	Daar komen doen Koningin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5373.s.2	ik zode , treden fluks zij teeghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5373.s.3	wezen welkom Mevrouw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5373.s.4	doen Heemel storten ' zijn ' zegen , En op ik ' koninkstroon , en op u bruiloftsbedt , die eeuw , nocht land de stroom u zijn luks ooit paal zett ' , En uw nazaat uw te boven ghaa in deugd .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5376.s.1	Ik danken zijn ' Majesteit .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5384.s.1	ik harden springen op vinden vreugde , Op d'overblyde mied ' vinden die gij woud ik ' zode Bezalighen , mede d'eer vinden uw trouwen en tronen .	Joy_Emotion_BodyPart_BodilyProcess
meij001verl01_01.TEI.2.text.body.div.div.sp.5384.s.2	Zijn liefde volght ik harden , wie ghroote uw zijn ghebleeken .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.5395.s.1	Indien het voorleedene noch gheen ghenoeghzaam teken , Mevrouw , verschaffen , hoe ik uw min , ontzie , en eer '; Ik kniel deemoedighlijk voor uw voeren neder , En wachten uiten uw mond , die ik niets staan te weigheren , Wat ik , om u geloof zode ver te doel steigeren , Noch ov'righ blijven ; oft zode het zode oog ghesteigherdt zijn , Wat die ' er woord vereisen tot zijn ' vermeerdernis , En tot verzekering , die niet eerder zullen begheeven deze minnevlammend harden ik ' liefde , dan ik leven .	Emotion_BodyPart_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.5400.s.1	rijzen Prins , en denken , die ik daar aan gheen twijfel sla , En mede ik ' weedermin u ' minnen belonen ghaa , tot koeling haarer vlammen , en zijn Konings vergenoegen .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.5403.s.1	Hofmeester , zijn ik reeuw , om zien te tronen ' te voegen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5406.s.1	ik wachten slechts u ghebodt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5409.s.1	zijn zijn ik ' ghemaalin ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5412.s.1	Hier zijn zijde , Heer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5418.s.1	komen zetten uw hier .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5418.s.2	doen Koningin nemen daar zij ' plaatsen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5418.s.3	ik zode zien op de rijkstroon vlijen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5418.s.4	Heer , hebben ghelieve uw te bekleen doen laegher zijden vinden uw koningin ; ik voegen ik bij doen ik ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5421.s.1	schonen ikze onwaardig zijn , willen ik uw ghehoorzaam zijn .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.5422.s.1	Onder deze zeggen , ghaat Trasimond op de tronen , Velleede an zijn hoog , en Mathilde an zijn laegher , en an de zelf laegher handen Atelstan zetten .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.5422.s.2	Ghrimoald an doen hoog handen vinden Velleede zien voegen hebben , spreken doen heer , en ander omstander , die zien te weederzyden vinden de tronen ghevlijt aanzien , aan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5435.s.1	Manhafte Ridderschap , en gij mijn onderzaaten , Onwik'bre zuil vinden ik ' heerschapye , en staat , zien hier , verheerlijken op ik ' ghouden zeeteltroon , de recht erfghenaam de rijkskroon , mijn zode , wieden , alles ik ' nazaat , ik de scepterstaf opdraaghe , En mijn stoel inruime .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5435.s.2	ontvangen hij , mede behaaghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5435.s.3	ik geven , mede deez ' staf , en kroon , hij het Britsche koningdom , En Kaledoniens Vorstin te bruideghom .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5435.s.4	zijde beide zullen , in ik ' plaatsen , voortaan regheeren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5435.s.5	wild zij , alles koningin , en hij , alles Koning , eren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.5436.s.1	reien .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5439.s.1	langen leven doen Koning , mede zijn ' schoon Koningin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5439.s.2	Zijn ' trotse stamboom ghroeye , en bloeye , eeuw uiten , eeuw in .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5445.s.1	Heer vader , schonen ik anvaerde u ' scepter , en u ' kroon , ik ' plegen uw echter steedts ghehoorzaamheidt zullen toon ; En , alzo langen ik ' voeden betreen zullen deze tronen , zullen daar vinden daveren doen stemmen vinden u ' gheboon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5454.s.1	u ' vaak beproeven deugd beloven ik deez ' beloning .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5454.s.2	mare , om staatplechtigh te besluit uw krooninge .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5454.s.3	willen het oud ghebruik , die zijde ghesterkt waard ' , door een drinken vinden rood wijn , zijn met wij het jong jaar beschenken , En die wij Priesterdom , mede bidden , en mede offeren , tot deze inhulding hebben ghewijdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5454.s.4	Welaan , Staatjofferen , zijn zijn doen Rijkskelk ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.5455.s.1	rijden vinden Staatjoffers	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5457.s.1	Hier ik Vorst .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5461.s.1	Gheluk , ik zode , Gheen ramp ghemoete uw ooit , op uw ontvangen ' tronen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5467.s.1	hebben danken , Heer Vader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5467.s.2	En nooit drukk ' mijn onderzaaten , mede onbenoeghinge , wat wie bestaan , oft laten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.1	doen ghoede Heemel sterk u ' wensen , mede zijn handen ; En hecht , op morghen , u ' beschooren huwlijksbandt Onscheidelijk aan een , tot heil de beide kronen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.2	ik voeg zien , om uw inhuldinge te troon , Door het plechtig kroonbanket , te sluiten , voor te dis .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.3	mare , ach !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.5	ai ik !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.6	wat vreemd ontsteltenis , En ghrilling , rijden door all ' ik ' lid ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.7	Wat krioelen ' er ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.8	Wat krieuwelen ' er dus in ik inghewandt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.9	Wat woelen ' er Dus door mijn ader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.10	Ach ! het klampen an boord ik harden , En foltert hebben , mede een onlydelijke smarten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.11	Wat bommen daar in ik ' barsten , mede droevig gheruchten ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.12	zijde zuchten , en stenen somtijds ; mare niet door eighen zucht , En steen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.14	een diep gheluidt ghalmt hees , en hol .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.15	ik hoofd woord wervelziek , en draaien , ghelijk een bol Op d'assen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.16	het Zwindelt , en woord donker voor mijn oog .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.17	doen naar nacht schijnen mede een nieuw nacht betooghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.18	Wat onweer storten daar neder op het koninklijk huis , En holt vinden zaale in zadel ' , mede zulk een bruusk ghedruis , En schudden doen pijler , en doen muur , die zijde trillen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.19	Wat willen die moordtgheschreeuw ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.20	wat ysselijker ghillen treeft daar mijn oor ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.21	zijn zijn die benaauwdt ghesteen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.22	Wat akeligher spook snorren daar voorbij ik heen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.23	wij roepen daar wede , en wraken , an broeder , en an vader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.24	Ach ! het zijn ik zode , gheen stemmen en zwemen de zijn nader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.25	hij schijnen in nood .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5498.s.26	komen hier ik kind , en u gezicht schuiven vinden ik harden de stenen , die daar zode zwaard op liggen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5502.s.1	Hier zijn ik , Vader , zeg , wat staan ik aan te vang , tot stilling vinden doen ween , die uw boezem prang ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.1	gij zijn ik zode , helaas !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.2	mare die niet , die ik kwellen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.3	ik Eduward , doen lusten ik ouderdom , ontstellen Dus ik gemoed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.4	Ghewis , ik willen hebben kind vermoorden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.5	Zijn geest wassen het , die ik zien ; zijn ' stemmen wassen het , die ik horen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.6	Ach ! het zijn gheen deeg mede hij !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5513.s.7	deze voorspook spelden niet ghoedts !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5519.s.1	het Zijn yd'le inbeelding .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5519.s.2	doen vader zijde ghoedts moedts .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5519.s.3	Gheen dag zullen hij , zode langen hij leven , zijn zode ontvreemen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5519.s.4	Neef Ottomar , ghelief doen moeite aan te nemen , En brengen hij herwaarts .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5519.s.5	Zijn verblijven zijn uw bewust .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5522.s.1	u ' dienaar staan bereiden op het wenk uw lusten .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.5525.s.1	Ghrimoald , Velleede , Mathilde , Trasimond , Atelstan , Leeuwenbald , Hofmeester , rijden vinden Eedelen , Staatjoffers , Hofknaapen , en Dienaars .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.1	Hoe nu toen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.2	delen ik in d'onsteltenis vinden Vader ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.3	Ik veel ik bloed , aan branden , vasten zien vinden ader tot ader ; En spartelen , door het harden , mede overdwaalschen lopen ; En drijven opwaarts aan , naar het hoofd , een byst'ren hopen vinden woede damp , die hebben schutten , ghins en weder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.4	Ik suizebol , ik zwijmen , en storten bijna te needer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.5	ik been beven , en zijn het lijf te zwak een schraagh .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.6	doen zaalvloer rijzen om oog , het ghewelfsel daalt om liggen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.7	doen wand wentelen zien om , hebben bovenst onder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.8	Hoe schrikkelijk bliksemen hebben ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.9	hoe yss'lijk rolt doen donderen , En dubbel slag op slag , die al schudden , en scheuren ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.10	doen balk buighen neder , en kraken beuren om beuren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.11	Hoe ghonst , en ghiert doen wind , en rinkelen op doen ghlazen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.12	Wat yz're keten horen ik rammelen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.13	wat razen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.14	Wat roep ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.15	wij smeken daar om helpen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.16	wij schreeuwen daar moorden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.17	Ach het zijn ik broeder stemmen ; ik hebben ik naam ghehoordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.18	zijn zijtghe broeder ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.19	spreken ik lam , wij willen uw dood ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.20	spreken broeder , spreken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.21	ik ' helpen woord uw terstond gheboden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.22	Wat zijn deze ? ik horen antwoord ; mare ik twijfelen , zijn vinden daan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.23	Een hol gheluidt schijnen , uiten ik ' boezem , opwaarts aan Te wel , lang ik ' strot , tot teeghen hebben verhemelte .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.24	Wat vreemd pijnen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.25	het zijn of ' er in ik buik iets weemelt , En krieuwelen , en te keel weer uiten te kruipen trachten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.26	ik ' maag onduldigh , en verleeghen mede zijn ' vracht , En walght , en arbeiden , om die pakken zien kwijt te maken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.27	Ontmenschte Stiefmoer , zeg , wat spogh vinden slang , en draak , Wat hels verghift gij , in doen Rijkskelk , hebben ghemengdt , Welk zode hebben bloed besmetten , en het brein an het hollen brengen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5564.s.28	laten horen , fluks , wat hebben gij wij voor natten doel nut , Opdat ik mogen intijdts zijn ' razernyen schut : Of ik zweren , gij zullen , eer die zijn ' schennis ik vermannen , doen straffen u zijn euveldaadts ghevoelen vinden ik handen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5568.s.1	die zijn rechte .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5568.s.2	ontdekken het beleid vinden deze u ' schelmeryen , of eer wie lijden , zullen gij zelf daar voor lijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5574.s.1	bedaard , gij Vorsten , en betomen u ongheduldt , Totdat neef Ottomar zijde weerghekeerdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5574.s.2	Dan zullen gij , wat voor wijn gij hebben ghedronken , zieden en horen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5574.s.3	Daar komen hij .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.5578.s.1	Ottomar , brengen hebben dood lichaam vinden Eduward , in een zijde kleed winden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5580.s.1	Hier zijn u zode .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5583.s.1	Wat ramp staan wij beschooren ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.5584.s.1	Velleede hebben kleed openslaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5588.s.1	komen Vader , kussen u ' zode , en berg hij in u ' schieten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5588.s.2	En gij , omhelzen u ' broeder , en redden hij uiten zijn ' nood : gij kunnen , op u ghemak , hier beide u ' lust boete .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5593.s.1	nul schrikkelijk vertoog , wij zij niet ijzen moet !	Fear_BodilyProcess
meij001verl01_01.TEI.2.text.body.div.div.sp.5596.s.1	nul teder aanschijn , vuil mede bloed alleszins bekladden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5601.s.1	En kentghe u ' zode niet ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5601.s.2	zijn hij uw ontmunten zode rad ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5613.s.1	uw kennen ik , heilloos wijf , tot ik verderf ghebooren , En tot ik ' ghemaalin , te kwaad uur , ghekooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5613.s.2	Wat razernij hebben uw verrukken ?	Emotion_BodilyProcess_Anger_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.5613.s.3	wat hels ghedrocht u ' barsten bezitten , en dempen doen zoet toght , week over zode zode teder een moeder harden doen hangen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5613.s.4	Hoe dorstghe zode verdoemdt een ghruwelstuk aanvangen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5613.s.5	Hoe kostghe doen natuur verlooch'nen , zode ontzindt , En schenden , zode ontaarden , u ' hand aan u kind , hebben eenighst ' vinden wij goed ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5613.s.6	zijn zien ik ooit verwoed , Onmeededooghender , onmenschelyker moer ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5617.s.1	Wat klaagtghe , en schelden op ik ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5617.s.2	het zijn goed u ' zode ghekust , Ghestreeldt , ghestrookt , en zode gheboet u vaderlust .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5628.s.1	Vermeetele , hout op .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.5628.s.2	gij hebben ik kind mede ar , En euv'len moed vermoorden , en zullen gij ik noch sarren , En tergen , en dus driest verghuizen in het gezicht ?	None
