focq001mini02_01.TEI.2.text.body.div.head.227.s.1	doen minnen in het Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3967.s.3	mare daar zijn wederom ook schoonheen , welk liggen zodanig schitteren , die op hebben aldereerst gezicht , Een ziel verrassen worden , die vervoeren , en opgetogen , terstond zijn vrijheid geven aan twee verwinnend ' oog ; zodanig zijn aan ik u schoonheid met wezen ; Indien die dan doen minnen in een verliefd geest , Een dagge vinden smarten en pijn tot duizend jaar kunnen manen , zo zijn het rijden duizend jaar die ik u ogen doen blaken : zo zijn het rijden duizend jaar die ik alles afgodin , In het binnenst vinden ik ziel , uw aanbidden en beminnen .	Emotion_EmotionalAction_BodyPart_Love_Sadness_Wonder
focq001mini02_01.TEI.2.text.body.div.div.sp.3976.s.1	schonen gei de listigen in woord trachten te manen , zo zijn het onmogelyk , die zulks ik hart kunnen raak , Mits gei u wetenschap vergeefs hier in verspillen , mare winden ik door doen minnen , zo gei ik winden wild , Nadien onnozelheid , velen meer , naar ik gedachte , alles doen welsprekendheid zijn in doen minnen te acht .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.1	Indien die deze zo zijn , zo zweren ik die doen ik , ik tot getuigenis kunnen vinden ik liefde zijn : o minnen !	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.2	wild tocht u kracht doel in zij boezem werk , ontdooien zij killig ijs , die zijde ik branden mogen merkel ik schoon !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.3	waarom zijn het die dus u gramschap blaken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.4	En die gei dood wild , hebben geren gei levend maken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.5	zijn hebben u schoonheid niet , die ik hebben harden doen leven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.6	En wild gei , door u haten , deze dus doen dootsteek geven ?	Emotion_Hatred
focq001mini02_01.TEI.2.text.body.div.div.sp.3992.s.7	Neen , neen , ik waard lief : keren eindelijk wederom , En nemen weer in u gul u trouw Bruidegom ; reek ik u schoon handen , op die mede duizend kus , Ik deze fel branden uw's gramschap mogen uitblussen .	Emotion_EmotionalAction_Love_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.3997.s.2	ik aan uw ik hand , o neen , gewis , gei zien , nog kennen tot nog doen drift vinden mijn gramschap niet .	Emotion_BodilyProcess_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.4001.s.1	ik ziel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4001.s.2	ik bidden ...	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4005.s.1	staan af .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4009.s.1	ik leven !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4013.s.1	Ik u leven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4017.s.1	Helaas ! het schijnen ik doen ziel uiten droefheid willen begeven .	Emotion_BodyPart_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.4021.s.1	gade heen , en zoeken doen hand vinden Anna .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4027.s.1	gei allee , gei zijn doen Godheid , die vinden ik worden aangebeen : ik lief bemerken gei reeds geren traan in ik oog ?	BodyPart_BodilyProcess_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.4031.s.2	ik zijn een stenen , en blyf gans onbewogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4035.s.1	Wel dan , ik gaa ik dood .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4039.s.1	ik zullen het aanzien , koelen vinden moede .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4043.s.2	denken gei het geren zijde zeggen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4047.s.1	En doen gei het geren gei doen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4052.s.1	Indien ik mede ik dood , uw kunnen vernoeging geven , zo zijn ik vaardig straks te eindigen ik leven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4058.s.1	gade sterven indien het uw lusten , op die die tong niet leven , Die het schelms ja - woord uiten u hals wringen hebben .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4064.s.1	die jawoord , het geren die tong voor uw hebben uitspreken , die zijn , nog kunnen , nog zullen , ooit vinden ik zijn verbreken : Daarom ik Isabel , ik bidden die gei voortaan ....	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4068.s.1	zwijgen ; daar komen volk .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4072.s.1	Daar komen ik groot vijand aan .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4076.s.1	Valerius , Ferdinand , Isabella .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4082.s.1	Ik hebben hier voor doen door een sleetje laat komen , zijn die zijde heimelijk kunnen worden innemen , Zonder zien te zijn vinden d'alderminste mens .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4086.s.1	Gewis , hij komen om uw .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4090.s.1	die zijn hebben geren ik wensen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4094.s.1	En zullen gei gaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4098.s.1	gelijk gei zieden zullen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4102.s.1	Droevig scheiden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4107.s.1	Ik komen uw zoeken , om uw naar ik huis te lijden , Mejuffer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4107.s.2	daar gei hbet dan hier dienen zullen zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4111.s.1	zijn gei d'Ambassadeur vinden Koning harlekijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4117.s.1	Ik zijn hier tot u dienst : mare gei , hoe gaan u zaak , Vriend kerel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4117.s.2	kunde gei hier uw zelf wat vermaken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4121.s.1	mare paslyk , wild gei weten hoe die ik ding staan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4126.s.1	weten gei wel die ik straks hier hebben verlof ontfaan , vinden Aagje uiten deze huis te voer naar hebben mijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4130.s.1	terwijl u dagge beginnen , zo gaan ik nacht verdwijnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4134.s.1	ik willen zij tot mijn doel genezen vinden zij kwaad .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4138.s.1	zo zijn het dan zeker die gei zij vervoeren gaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4145.s.1	Wat willen gei , waard vriend ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4145.s.2	ik zot-verliefde zin , zijn ik aars t ' enemaal onmogelijk te verwinnen ; Dies hebben ik om die drift te volgen , deze bestaan , En komen , gelijk ik nicht , zij ham hier vinden daan .	BodilyProcess
focq001mini02_01.TEI.2.text.body.div.div.sp.4152.s.1	Hoe dansen ik harden vinden vreugde , komen laten wij dan vertrek .	Joy_Emotion_BodyPart_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.div.sp.4152.s.2	Vermits die ik geenzints getuige willen verstrekken vinden het huw'lyk , die vinden daag hier zullen in huis geschien ; mare laten wij in de ijl naar d'andre wereld vlieden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4156.s.1	willen gei , o Aagje !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4156.s.2	dan mede ik niet thuis woerd karn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4167.s.1	Hoe zij het ik moog'lyk zijn uw zulks te refusceren ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4167.s.2	gei zijn zo mooi , zo netten , zo proper , en galant , zo cierelyk bestrikt , bepoeyert , en bekant , die ' er geren Juffer zijn , al wassen het slechts om jouw kleed , Die niet dwingen zijn uw gratie t'estimeeren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4167.s.3	Dies geven ik ik aan uw zodanig alles ik zijn : Vermits ik uiten u zwier , en tronie , merkel kennen , die gei wel machtigen zijn ik droefheid te verdrijven .	Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.4178.s.1	wij kunnen doen haten vinden een vergramd vrouw beschrijven ?	Emotion_Hatred_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.4178.s.2	mare zacht , het zullen goed zijn , die ik die verdraag en zwijgen , Op die ik door ik tong geren meerder onheil krijgen : Ik zijn verzekeren die zijde nauwelijks wegge zullen wees , Of die zijde door berouw zij gramschap zullen genezen , En weder karn zullen : wel nu , gei gaan dan heen , En gei verlaten ik dus ?	Emotion_Anger_Remorse
focq001mini02_01.TEI.2.text.body.div.div.sp.4182.s.1	Vernoegt , en wel te vreen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4189.s.1	En ik , helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4189.s.2	ik blyf velen droever dan te voorn , mare echter wild deze dus vinden het Noodlot zijn beschooren , zo laten ik gaan , die gaan , en zo ik sterven moeten , zo hebben ik nog voor het minst wel veertig jaar te god .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4194.s.1	ik zeggen uw varen wel ik vriend : ik gade mede Aagje heen , de Hemel willen uw vreugde op het huw'lyksfeest verlenen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4199.s.1	Adieu Canalje !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4199.s.2	gaan , zeggen aan u schoon bruid , Eer die zijde gaan te goed , die zijde zij neuzen eest snuiten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4204.s.1	ik zullen zij doen boodschap doel , mare weten vrijen vinden gelijk , die zo het uw beuren mogen , gei niet zode bang zullen kijken .	Fear_Emotion_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.div.sp.4208.s.1	Adieu vyf-kante boer !	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4210.s.1	Al gaan , en weder uitkomen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4214.s.1	Adieu boerin in het ronden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4218.s.1	gaan heen jouw blykers doch !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4222.s.1	gaan klein Lier-mans hond !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4226.s.1	gaan kussen doen hand aan u katten vinden mijn weg .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4231.s.1	gaan gei , om aan u Aap zijn achterpoort te veeg .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4249.s.1	uiten vrezen voor onheil , denken ik het veinzen allerbest , En om te zieden wat einde die nemen zullen op het lest , het Aanstaande naberouw vinden zij verstoord zin ; wan ik zijn zeker , die doen drift vinden ik te min , allee zij hebben vervoeren tot deze jalouzy , Die in zij hebben stoken deze vuur vinden razernij , het geren , alles zijde zien bedenken , zij voedsel zullen ontberen , En zij in kort staan voor vasten doel wederkeren ; Nadien , daar een doen minnen een vasten grondslag liggen , geren twisten , nog jalouzy die eerst drift scheiden : derhalve hebben ik voor , ik zelf nog stillen te houden , Tot die ik zien zijn op die ik ik mogen vertrouwen .	Fear_Emotion_Envy_BodilyProcess_Love_Anger_Remorse
focq001mini02_01.TEI.2.text.body.div.div.stage.4253.s.1	Philibert , Docter , Joris-vaar .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.4255.s.1	Philibert .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4264.s.1	mede groot droef hebben komen ik hier in Amsterdam ; mare hebben wassen weer mede vreugde , die ik terstond vernemen , die door doen wijze raden , ik Heer , vinden uw geven , Ik ons zieke kwaal haasten hopen te zieden verdrijven , wan nauwelijks spreken ik zij zo dadelijk vinden doen trouwen , En die ik zij vinden daag aan kerel geven zij , Of daadlyk , door deze vreugde , wassen al zij smarten vergeten , En zijde helen spraakzaam , en begerig om te eten .	Joy_Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.4266.s.1	Docter .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4276.s.1	doen vreugde vinden het huwelijk , daar al zij hopen naar strekken , Die hebben zij vinden doen dood tot het leven weer verwekken , wan ( alles Ovidius langen hebben voorzeggen voor deze ) mede kruid zijn doen minnen onmogelijk te genezen , de achten ik het vinden Galeen een bijster zot grillen , alles hij mede drank zelf doen ziel purgeren willen , Daarom zijn het goed wezen deze raden te appliceeren , Die , alles gei zien , doen geest straks in zijn staan doen karn .	Joy_Emotion_Hope_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.4281.s.1	mede Anna gaan hebben wel , mare nu ik meid Catryn , Hoe zullen hebben daar met gaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4281.s.2	wat raad zullen daar toen zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4287.s.1	Daar zullen ik dadelijk , zo dra u dochter Anne helpen zijn , ik vlijt , en kunst op samen span ; Wel aan dan , die ik zij straks brengen voor de dagge .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4291.s.1	Ik zullen zij ham gaan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4299.s.1	gaan doen deze broeder !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4299.s.2	deze slag zij wisselyk voor ik te zwaard zijn om te dragen , wan dus ik enig kind , hebben steunsel vinden ik dag , Puur zot , ja dol te zieden , wassen gewis voor ik een straffen , Die mede zij wijsheid ook ik leven trek in het graf .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4303.s.1	zien daar , daar komen zijde zelf .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4307.s.1	Joris-vaar , Anna , Philibert , Docter .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4314.s.1	komen fraai , komen in , nicht Anne !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4314.s.2	En willen nu door doen vreugde vrijen al u vrezen verbannen , mare tonen uw boven al verheugen , en wel zinnen , Op die u bruidegom zien , hoe die gei hij beminnen .	Fear_Joy_Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.4318.s.1	zijn zijn ik kerel dan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4323.s.1	gei zullen hij straks aanschouwen , zijn slechts rusten ik kind .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4328.s.1	zullen ik wij hier dan trouw ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4332.s.1	wie staan alleenig mare en wacht de Pastoor .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.4335.s.1	Joris-vaar , stillen tegen Philibert .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4342.s.1	Een zeker vreemdeling , die bij geval , hier door zijn komen reizend , en deze huis flus komen bekyken , hebben ik beloven , wild hij zijn mildheid hebben doel blijk , die ik hij hebben vermaken zij vinden deze feest doel zieden , Indien hebben Broeder mogen mede u verlof geschien , zullen ik hij ham gaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4342.s.2	of hebben gei ' er iets tegen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4346.s.1	Neen , neen , gaan halen hij vrijen daar zijn niet aan liggen .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4350.s.1	Anna , Philibert , Docter .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4355.s.1	Indien die gei vinden daag kunde sluiten deze partij , zo geven ik uw uiten vreugde , een zoenen tot maakklaardy .	Joy_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.4359.s.1	denken dochter wij gei zijn , en wild zode mal niet praten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4363.s.1	Hoe kunnen ik wijze zijn , daar ik zot ik hebben verlaat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4368.s.1	mare alles gei zijn trouwen zullen gei dan straks daar naar weer komen bij uw zelf ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4376.s.1	ik zeggen ja , ja , ja , ja , ja , wan al ik kwaad zijn winden : terwijl ik schip drijven Door zek're soort vinden stormen , het behouden zijn vinden ik leven , wan wild ik reeds al zien doen have in het verscheiden Die ik verlossen zullen , zo gaan die winden te niet .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4380.s.1	zien , dochter , wij daar komen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4386.s.2	wat zijn deze , gei uw ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4386.s.3	ik denken die gei kerel ik , ik lief , zullen aan doel schouw ?	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4390.s.1	Reynoud , Leonard , Joris-vaar , Philibert , Docter , Anna .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.4392.s.1	Reynoud .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4394.s.1	mede u verlof messieurs , die ik deze feest komen zieden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4398.s.1	gei zijn wij welkom , heer , en doen wij eer geschien .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4402.s.1	Wat zijn deze voor een haan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4409.s.1	Sa , laten hier stoel komen , En zetten doen poort vrijen op , op die hier zonder schromen , Elk een mogen komen zieden : en halen wij hier Catryn , wan daar hebben Bruiloft zijn daar moet mens zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4420.s.1	gei hebben byloo gelijk , sa laten mede duizend mond , terstond ik bruiloftsdag vinden het oogst , tot het west verkonden , alles zijn nu op hand hebben groot huwelijk die ooit zien zijn in hebben gans Christenryk : Vermits ik bruidegom Vorst Pepyn hebben tot zijn broeder , En die Angelica wel eertijds wassen zijn moer , Die hij bij Lancelot in eer en deugde winnen , torn hij uiten Engeland , te voeden gaan naar japan .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4422.s.1	ik brengen stoel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4426.s.1	Hier hebben gei stoel , komen , gei heer , zetten uw neder .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4430.s.1	ik heer , wie volgen uw .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4436.s.1	deze stoel zijn uw gereed .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4436.s.2	Ik bidden uw zetje slechts ; Heer Docter , komen zitten neder .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4440.s.1	En ik zullen moet staan , wel die zijn een groot eer .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4444.s.1	Nu Joris-vaar gaan heen doen bruidegom herwaarts ham .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4448.s.1	Zeer wel , ik gade zode heen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4453.s.1	Jupyn wild uw betalen , die gei nog eindelijk ik wensen een vervullen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4457.s.1	beloven gei ik dan , die gei weer bedaren zullen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4464.s.1	zo dra ik zijn trouwen , zullen al ik kwaal vervliegen , mare ik vrezen , die door deze Feest gei ik slechts wild bedriegen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4464.s.2	Doch wachten uw die gei ik niet voor doen zot en hout , Mits , voor het genezen , gei ik gewis bederven zullen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4468.s.1	gei zien hier al klaar , zijn voor hebben gei te vrees ?	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.4472.s.1	Wel aan , ik zijn te vreen , mare wij zullen speelnood wees ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4476.s.1	ik heer , mede u verlof , die hebben u dienaar worden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4481.s.1	ik heer , gei doen doen Bruid en bruidegom velen te korten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4481.s.2	Ik zullen velen lief zelf doen speelnoods plaatsen bekleden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4485.s.1	hebben zullen genoeg zijn die g ' hij in u plaatsen doen tred .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4489.s.1	zeggen Leonard !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4493.s.1	ik Heer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4497.s.1	gei zullen hier speelnood zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4508.s.1	Ik vrezen voor ongeluk in deze speelnoots schijn .	Fear_Emotion
focq001mini02_01.TEI.2.text.body.div.div.sp.4508.s.2	Mits ik doen zotheid zo besmet'lyk weten te wees , die ik deze speelnoodsschap reeds doen voor zotheid vrees , Hoewel doen zotheid vinden deze aangenaam Bruid , ik reeds zo wel bevallen , die , of ik zijn een guit , Ik vinden die bruidegom , het geluk schier zij benijden , En lief voor zijn staan , hebben speelnoodschap laten glijden .	Fear_Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.4512.s.1	wij zijn gei Fynman !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4512.s.2	die hier zullen ik speelnood zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4516.s.1	Ik zijn een Edelman .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4520.s.1	zijn gei gezond vinden bryn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4525.s.1	Ik weten niet goed , mare , door velen op uw te lid , zij het licht'lyk kunne zijn , die gei ik zullen besmetten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4529.s.1	geven ik u hand , ik zien jij bende een eerlijk manna .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4533.s.1	Gints , dunken ik in het verscheiden daar komen doen bruidegom an .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4537.s.1	Wel , treden wie hij te moede om hij te gaan ontvangen .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4551.s.1	markten , en Klaasje , mede Ferdinand , tussen zij beide , aardig op zijn Bruigoms kleden , Joris-vaar , mede Catrynaan doen handen , Philibert , Docter , Reinoud , Leonard .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4557.s.1	wie wacht , Bruidegom , uw vasten mede groots verlangen : Daar , nemen u Bruid , en zetten uw samen nevens ik , En gei , Catryn , komen hier gei zullen Speel-Juffer zijn .	Emotion_Desire
focq001mini02_01.TEI.2.text.body.div.div.sp.4566.s.1	Speel-Juffer , ik mede zij ? ik wassen lief dood slaan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4566.s.3	zijn het nog niet genoeg ik hoorn te doel dragen , En niet ik razernij , mede deze Speel-Jufferschap , Op nieuw te voer op de alderhoogsten trappen ?	Emotion_Anger
focq001mini02_01.TEI.2.text.body.div.div.sp.4566.s.4	Neen , neen , ik gade velen eer , en kunnen deze niet gedogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4570.s.1	Blyf staan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4574.s.1	o Neen , ik gade : ik zijn wat teder vinden oog .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4578.s.1	Blyf hier , Catryn , ik zullen dan naar een ander zieden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4582.s.1	zien hier deze hipocryt , wat zullen ik nog geschien ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4589.s.1	zwijgen gei Westfaals gedierte ! ik willen u geknor niet hoorn , En schonen die u geluk vinden daag schijnen alles baren , zode achten ik deze u trouwen mede kerel niemendal , Mits ik uw morgen vragen hij weer ontstelen zullen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4594.s.1	Ik zullen , die zweren ik uw , gei Hartogin vinden Bremen , uw mede een Capacon die kaak'len haasten benemen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4598.s.1	zwijgen stillen , zottin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4598.s.2	en dragen wat eerbied aan u manna .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4602.s.1	mogen ik niet spreken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4608.s.1	Neen : hout gei u bek hier vinden , Of ik zullen uw terstond , indien gei niet wild zwijgen , mede dubbel koperdraat doen kaak samen rijgen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4612.s.1	zijn deze Caressen dan die ik ik bruidegom doen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4617.s.1	ik dunken zijde zijn voor uw nog meer alles al te god : Of wild gei in doen plaatsen velen lief kneppelslagen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4621.s.2	slag aan u bruid ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4627.s.1	die zijn het eerst vinden ik dag die ik die hebben horen : hoe !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4627.s.2	zijn gei dan ik bruid ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4631.s.1	zijn deze dan mare bedrog ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4636.s.1	Eer ik deze huw'lyk sluiten , zode zullen ik nog malkaar een zetten in doen haar .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4640.s.1	Nu zachtjes , niet te grof , mare laten deze zotheid varen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4645.s.1	zijn het lang zotheid dan die ik doen waarheid zeggen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4645.s.2	Of noemen gei ham een zot die uiten hebben trouw scheit ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4651.s.1	wild gei , heer Philibert , het krakeel niet doel vermeeren , zode gunnen die wie deze Feest een mede een dans vereren , Die ik flus hebben bedenken , vinden vieren vinden ons maat .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4655.s.1	die zijn god : zijn zijn u volk ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4660.s.1	zijde staan daar op doen plaatsen , Ik zullen zij roep gaan , zode het uw niet zullen vervelen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4664.s.1	mare wij zullen speelman zijn om deze ballet te spel ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4669.s.1	Daar naast zitten in die hok een zot musikant , Die zullen wij wel een deunen opzien in passant .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4674.s.1	Sa wakker , roepen u volk , en willen mare straks beginnen , Sa , Robbert , spelen een op , sa jong !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4674.s.2	komen dan binden .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4684.s.1	Daar worden spelen , zijn op markten , en Klaasje , doen eerst intree vinden een zot Ballet dansen : doen tweede intree woord vinden vieren ander zot vermeerderen , die al t'zamen alles de dans uiten zijn binden loop , zijn op straks Valerius , mede Isabellauitkomen .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.4689.s.1	Valerius , Isabella , Philibert , Joris-vaar , Ferdinand , Anna , Catryn , Reinoud , Leonard , Docter .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4694.s.1	Wat stoutigheit zijn deze , die gei ik huis verlaten , En dus , gelijk alles dol derven loop lang doen straat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.4699.s.1	het zijn niet Valerius , die ik voor uw willen vlucht , mare ik zoeken doen oorzaak hier vinden al ik ongenugten .	None
