vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1679.s.6	'k Verlaet u nimmermeer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1681.s.1	Rey .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1683.s.1	Dit outer is ons wijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1685.s.1	Go .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.1	O edel maeghdeke , hoe zijtge zoo gelijck Van aert die Klaere zelf , naer wien gy heet Klaerisse ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.2	Waer vinde ick onderscheit in dees gelijckenisse ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.3	Toen 't Sarazijnsche heir vermeesterde al de stadt Daer Sinte Klaere was , hoe droeghze zich ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.4	zy tradt Grootmoedigh in de poort van 't klooster , daerze woonde : En zagh den vyant wech , zoo ras hy zich vertoonde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.5	Haer moedt , haer sterck geloof , en yverigh gebedt Verstreckte haer een zwaert , en harnas , en helmet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.6	Gy mooght dan , nu gy hebt die zelleve gedachten , Met my , voor dit altaer , de vyanden verwachten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.7	Maer treckme ( dat mijn doot zy verr ' van schande en smaet ) Eerst aen dit stramme lijf mijn staetighste gewaet , Gelijck een Bisschop voeght , eer krijgsliên ons verrassen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.8	Zet my den mijter op : hy zal niet qualijck passen Op mjjn gezalfde kruin .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.9	breng hier den gouden ringk , En steeck aen deze hant , die beeft , den vingerlingk , Daer ick de bruit van't Sticht , de Roomsche kerck , meê troude .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.10	Geef my den herdersstaf , tot steunssel van mijne oude , Daar ick Godts kudde meê gehoedt heb , en geweit : 'k Heb noit de tekens van het Bisdom afgeleit Met wil , maer door bedwangk : al leef ick als gebannen ; Al ruimde ick Henrick plaets , en Willem , en twee Jannen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.11	En 't waer een klein verlies , al had men my verkort In naem en eer , was slechts geen Christensch bloet gestort , En zoo veel zaets vertreên van mensche - en paerdevoeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.12	Most niet onschuldigh volck de schult der heeren boeten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1716.s.13	Nu kinders , zet u hier , en dat een yder non Met my den lofzang zing van ouden Simeon .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1732.s.1	Vergun , ô Godt op zijne bede , Naer uw belofte , uw ' knecht verlof ; Op dat hy reize in ruste en vrede Om hoogh naer 't hemelsche vredehof : Naerdien ick met mijne eigene oogen Den algemeenen heilant zagh , Die als een zon schijnt uit den hoogen ; Daer yder zich in verblijden magh : Een schoone zon , die met haer straelen Het blinde Heidendom verlicht , En Jakobs huis en Isrels paelen Verheerlijckt , en noch veel vaster sticht .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.1	Dat Godt u allen spaere , is 't hier noch tijt van zingen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.2	De vyant zackt vast neêr , om 't klooster te bespringen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.3	Oom Gozewijn , koom hier : gy zijt stockout en traegh ; Gedoogh dat ick u op mijn beide schouders draegh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.4	Klaerisse nicht , gy zult my volgen met dees reien , Waer Godt , of 't goet geluck ons allen wil geleien .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.5	Nu vader , volgh mijn ' raet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.6	de vyant woedt en raest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1743.s.7	Wie 't leven bergen wil , die bergh het in der haest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1747.s.1	Gemack , mijn trouwe neef , gy mooght dees moeite derven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1751.s.1	Wy zijn alleens gezint , en wel getroost te sterven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.1	Hoe nu ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.2	heeft Godt my dan , door water en door vier , Door spiets en zwaert geredt , en menigh blanck rappier , Dat ick den Bisschop noch voor 't outer zou zien slaghten , En in het laeuwe bloet de nonnekens verkrachten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.3	Dat werde nimmer waer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.4	ô Goddelijck geslacht !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.5	Nicht Machtels geest verscheen mijn liefste dezen nacht : Een stem belaste my haer kint en oom te bergen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.6	Haer schimme waert om u : en moet ick 't u noch vergen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.7	En maecktge zelf uw ziel noch schuldigh aen dien moort ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.8	De krijgslien zijn niet verr ' van deze kloosterpoort , Die leght met eenen slagh ter aerde neêrgeworpen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.9	Dees godtgewijde vloer zal 't kuische bloet haest slorpen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.10	Het krijgsvolck nadert vast , ick hoor het aen 't gedruis .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.11	Ick bidt om zijnent wil , die levendigh aen 't kruis Om ons genagelt hing , voor Sions wreede muuren : Ick bidde u om zijn hant-en voet-en hartquetsuuren , En om de doorne kroon , die 't hooft verplette en brack , En om de scherpe spiets , die in zijn zijde stack ; Vergunme dezen troost , in zoo veel zwaericheden , Dat ick uw leven berge : ô vader ; dat ick heden Onschuldigh blijven magh aen uwer aller bloet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1781.s.12	Dit eenige is mijn wensch : en kan ick uw gemoedt Door smeecken noch gebeên noch bittre traenen buigen ; Zoo neem ick Godt en al zijn heilgen tot getuigen , Dat geenerley gevaer , noch zelf de felle doot , My hinderden uw lijf te bergen in den noot .	EmotionalAction_BodyPart_Sadness_Desire_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.1	Gy hebt godvruchtigh , neef , u neffens ons gequeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.2	Wy zullen 't noch voor Godt noch engelen vergeeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.3	Den grooten Godt alleen zy eer in 't hemelrijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.4	Wy bidden u , sta op : gy doet ons ongelijck , Dat gy ter aerde knielt voor sterffelijcke menschen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.5	Hoe zou ick schooner doot na ' et lange leven wenschen , Dan hier voor martelaer , op deze heilge steê , Te offeren mijn bloet , in 't vierighst van mijn beê , Op 't allerhooghste feest van Godts geboortenisse !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.6	Waer of de doot vertreckt ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1799.s.7	ick heb een rein gewisse , En haeckte lang te gaen naer aller zielen bedt ; Al sedert dat ick uit mijn ' zetel wert gezet , Toen Uitrecht , dat den vorst , gelijck zijn ' vader , eerde , Door staetzucht opgeruit , my wars den neck toekeerde : Van die tijt was ick al dit lastigh leven moe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1805.s.1	Daer is de vyant zelf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1805.s.2	ick vliegh naer boven toe , En zal , zoo lang ick magh , de kloosterpoort beschutten , Of mijne hulp noch kost uw leven onderstutten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1807.s.1	Badeloch : Arent van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.1	HEer broeder , wel wat 's dit ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.2	hoe keertge dus alleen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.3	O Godt , waer blijft mijn heer ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1810.s.4	is hy gebleven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1814.s.1	Neen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1818.s.1	Wat tijding brengtge dan ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1818.s.2	zegh op , is hy gebleven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1822.s.1	Ick liet hem voor 't stadthuis gezont en noch in 't leven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1827.s.2	waer magh hy zijn , mijn troost , mijn hoop , mijn hooft .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1827.s.3	En keertge zonder hem ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1827.s.4	dit hadge niet belooft .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1831.s.1	Versla u niet , maer toef .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1831.s.2	gy zult hem haest aenschouwen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1837.s.1	Dat toeven valtme bang .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1837.s.2	och was hy slechts behouwen , In 't onweêr , dat de staet in zee drijft zonder roer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1837.s.3	Ick bid , verhaelme toch al wat u wedervoer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.1	Gy eischt een ' zwaren eisch .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.2	wie zou daer niet voor gruwen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.3	Het zal ons hartewee en droefheit slechts vernuwen .	Emotion_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.4	Wie hoort dit treurspel aen , die niet zijn tranen laet ?	BodyPart_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.5	Al stont hier Grobber zelf , en 't heiloos bastertzaet , Het waer onmogelijck dat hy dit hooren konde , Het is een nieuwe slagh in mijne versche wonde .	BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.6	Oock steeckenwe alle bey noch midden in den druck : En wachten op den slagh van 't uiterste ongeluck , Ten zy het Godt verzie , en zet de wraecke paelen : Doch nu gy 't zoo begeert , hoor toe , ick zal 't verhaelen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.7	Wy quamen niet zoo haest omtrent den middeldam , Daer wat vergaering was van burgren , men vernam , Hoe 't ingetrocken heir de nieuwe zyde alreede Vermeestert had , het volck onnutten weêrstant dede ; Dies Gysbreght liet gebiên , men zou in vaerdigheit De bruggen , daer de stadt zich recht in 't midden scheit , Verbranden , en voor al den Middeldam bezetten ; Om 's vyants overkomst , waer 't mooghlijck , te beletten , En dat men d'oude zy moght vrijen voor gevaer , Schoon of het krijghsvolck van de nieuwe meester waer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.8	Hy zellef was de voorste , om elleck moedt te geven , En ging daer op met ons naer merckt en raethuis streven , En broght met al zijn maght de burgers op de been , Die ruckten hier en daer van allesins by een .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.9	Men spande ketenen , voor 't haestige verrasschen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.10	Men stopt den toegang dicht met zacken , kisten , kassen , En alles wat men reedst kon vinden by der hant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.11	Toen vlogen wy met hem te zaemen naer den brant , Om , waer het mogelijck , daer orden op te stellen : Maer laes !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.12	het was te spa .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.13	wat mont kan u vertellen Den zuuren arrebeit van dezen naeren nacht , En met hoe groot een ' moort die over wort gebraght ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.14	Men zagh de doôn gestroit langs burreghwal , en straeten : Geen ' kruiswegh , die niet dicht bezet was van soldaeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.15	Men ziet'er allesins verbaestheit , en men hoort Zich mengen onder een bloetstorting , brant en moort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.16	De groote aeloude stadt , vermaert in oorelogen , Zoo scheeprijck , en voor wie zich zee en stroomen bogen , Den vreemde en nagebuur , en rijcken tot ontzagh , Gaet plotselijck te grond , en zinckt met eenen slagh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.17	Wy worden niet te min door wanhoop aengedreven , Dat menig graefsgezinde en Kermer kost zijn leven : En 't Amsterlantsche bloet en sneuvelt niet alleen .	Emotion_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.18	De lijcken groeien aen , en leggen onder een , Het aenzicht naer de straet gekeert , of op hun ruggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.19	De kennis van den wegh , van stegen , straeten , bruggen , En stadts gelegentheit , by schijnen van de maen , Quam dapper ons te baet , en hiel de drommen staen Der vyanden , die dick het zeeten op een loopen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.20	Dan ging'er eens een deur , en dan een venster open , Wy groeiden in getal en moedt , en ruckten voort , Of 't mooghlijck had geweest de Haerelemmer poort , Die overweldight was , met dooden te verkroppen ; En weêr met kracht al wat in steê was uit te kloppen ; Maer quamen voel te spa .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.21	de nau ontslipte wacht Verhaelde ons hoe alree de voortoght met de kracht Der ruitren binnen was : wie zou daer tegens mogen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.22	En schoon men hier en daer een brugh had opgetogen , Men rechte weinigh uit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.23	de brant nam ymmer toe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.24	d'Ontsteltheit was te groot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.25	men wist niet waer , of hoe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.26	Mijn broêr , proost Willem , quam , geladen onder d'armen Met overschot van 't kruis des heilants : helpt beschermen Ons hooftkerck , rijck gebout ter eere van Katrijn , En Jesus moeder zelf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.27	ô burgers , berght Kristijn , Heer Gysbreghts zuster toch ; en naulyx kost hy spreecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.28	Ick hebze in 't vrouwekoor al bevende versteecken , En raeckte naulyx uit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.29	de lantreus is'er veur .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.30	Men hoort zijn stem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.31	hy loopt met boomen op de deur .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.32	Om Godts wil , gaet de kerck op 't hooge feest ontzetten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.33	Wy schieten derwaert aen , om 't onheil te beletten , Als tygers , die , by nacht van honger uitgejaeght , Gebeeten zijn op roof .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.34	wy vliegen onvertsaeght Door vier en zwaerden heen , om 't al voor Godt te waegen : Maer vinden voor ons komst de kerckdeur opgeslaegen , En hooren eenen galm , die uitberst over straet , En over al de stadt , en Godt voor 't voorhooft slaet , In zijnen hoogen troon , als eer de kerck der Joden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.35	d ' Altaeren en het koor zijn opgehoopt met dooden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.36	Wat bleef'er ongeschent !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.37	wat kreegh'er niet een ' krack !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.38	't Gevlughte volleck zit op trans , gewelf , en dack , En biet noch tegenweer , en quetst ons zelfs met steenen En hout uit misverstant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.39	men hoort de vrouwen weenen , En kinders , die vol schrick krioelen hier en daer , De binnetranssen langs .	Fear_Emotion_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.40	De kaerssen op 't altaer Zijn zommigen gebluscht , en zommigen die blaecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.41	De kerreckschenners woên , en passen wat te raecken , En vechten om den buit , en plondren 't al , oock zelf Het Marianum , dat te pronck hing aen 't gewelf , Wort afgeruckt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.42	men zet in 't glibbrigh bloet zijn stappen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.43	Men torst'er kelcken uit , kassuiffelen , en kappen , Die stijf staen van gesteente , en parlen en root gout , Om 't heerelijckst , als 't plagh , wanneer men hooghtijt houdt , En koor en outerkleên .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1936.s.44	de Kersnacht lagh in stucken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1940.s.1	Hoe ging 't u met Kristijn ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1940.s.2	hoe most dit Gysbreght drucken !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.1	En my : bedenck dat eens .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.2	hoe staet my 't schouspel voor !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.3	Men sleipteze by 't hair uit ons lievrouwe koor , Om d'armen dun en teêr met koorden stijf gebonden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.4	Hoe diep ging dit in 't hart , die naer haer huwlijck stonden !	BodyPart_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.5	Doch Heemskerck meest , die dol dit langer niet verdroegh , Toen zy naer's hemels troon haer blaeckende oogen sloegh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.6	Wy sloten ons wel dicht , en volghden hem altzamen , En rucktenze uit de maght des knevlers : daer op quaemen De Gelderschen , de Zeeu , de Vries en Kennemaer Van allesins te hoop , vol spijts , op 't groot misbaer , En om d'ontruckte maeght : men zagh'er 's graeven zoonen , Men zagh'er d'Egmonts zelfs en Diedrick meê zich toonen Om 't moedighste in dien strijt , met Grobber , helsch van aert .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.7	De winden buldren zoo , eer 't bijster weêr bedaert Des winters , tegen een , en weeten van geen strijcken , En zetten in gevaer de dammen en de dijcken , Door 't perssen van den vloet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.8	de vyant wert te sterck , En groeide , en deê met kracht ons deizen uit de kerck , En wijcken naer den Dam , om versch te zijn gesteven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.9	Neef Heemskerck had by 't koor alreê den geest gegeven , Die ridderlijcke helt en eere van zijn ' stam .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.10	Polaenen viel'er by , die hem te hulpe quam , En niemant weeck in moedt noch billijckheit van oordeel , En Kuick , hem zeer gelijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.11	hier had de deught geen voordeel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.12	Het heilighdom van 't kruis den proost deê weinigh nuts .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.13	Geen stool beschutte hem , noch geen vierkante muts , Noch geen godtvruchtigheit kon Jesus priester helpen , Toen wy , ô Willem broêr , uw bloet niet moghten stelpen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1973.s.14	Daer gy te sneuvlen quaemt , recht over 't hoogh altaer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.1	Wat hoor ick hier al leeds !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.2	hoe voel ick my zoo naer !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.3	Verhael my evenwel al d'overige elende .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.4	't Begin vernoeghtme niet : 'k verlang met schrick naer 't ende .	Fear_Emotion_Desire
vond001gysb04_01.TEI.2.text.body.div.sp.1980.s.5	Hoe kost mijn droeve man zoo scheiden van zijn bloet ?	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.1	In zoo veel rampen hiel hy al den zelven moedt , En yverde om den Dam te houden onbezweecken , Waer langs de vyant zocht geweldigh in te breecken : Gelijck een waterstroom gewelt baert op een sluis , En elx gehoor verdooft met ysselijck gedruisch .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.2	De deuren kanten zich geweldigh tegens 't wringen Des springvloets ; voor een wijl , tot dat zy open springen , En geven 't water ruimt , den springvloet vryen toom , Die wint dan velt , en ruckt de wortels met den boom , En huis en hof om veer , en zet de laege landen In eene baere zee , met groene en nieuwe stranden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.3	Dus ging 't , na dat men wel een heel uur lang den Dam Verdadight had , zoo dra de burgery de vlam Ten daecke van de kerck ten hemel uitgeslaegen , En 't heerelijck gebouw zagh branden lichter laegen , En hoorde 't moortgeschrey des volx , dat out en jong Van boven , om het vier t'ontgaen , te berste sprong , Of in de spietsen viel ter aerde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.4	dit gezichte Benam hun al den moedt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.5	De helsche Grobber stichte Met een gewijde toorts den brandt in 't heiligh dack .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.6	Hoe leedt het Godt , dat hem de moort niet eer en stack !	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.7	Toen was het elck voor zich , een yder bergh zijn leven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.8	Mijn broeder riep , ick zou my flux op 't slot begeven , En zijne gemaelin en kinders gade slaen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.9	Hy zelf weeck op 't stadthuis , en bleef de leste staen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2011.s.10	Ick wert op wegh verlet , en koom den burgh bewaeren , En hoop de goede Godt zal mijn ' heer broeder spaeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2016.s.1	Een hoopelooze hoop .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2016.s.2	och Gysbreght , lieve heer , Ick reken u al doot , en zie u nimmer weêr .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.2018.s.1	Rey van Edelingen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.1	WAer wert oprechter trou Dan tusschen man en vrou Ter werelt oit gevonden ?	Emotion_Loyalty
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.2	Twee zielen , gloênde aen een gesmeet Of vast geschakelt en verbonden In lief en leedt .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.3	De bant , die 't harte bint Der moeder aen het kint , Gebaert met wee en smarte , Aen haere borst met melck gevoedt , Zoo lang gedraegen onder 't harte , Verbint het bloet .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.4	Noch stercker bint de bant Van 't paer , door hant aen hant Verknocht , om niet te scheiden , Na datze jaeren lang gepaert Een kuisch en vreedzaem leven leidden , Gelijck van aert .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.5	Daer zoo de liefde viel , Smolt liefde ziel met ziel , En hart met hart te gader .	Emotion_BodyPart_BodilyProcess_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.6	Die liefde is stercker dan de doot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.7	Geen liefde koomt Godts liefde nader , Noch is zoo groot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.8	Geen water bluscht dit vuur , Het edelst , dat natuur Ter weerelt heeft ontsteecken , Dit is het krachtighste ciment , Dat harten bint , als muuren breecken Tot puin in 't endt .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.9	Door deze liefde treurt De tortelduif , gescheurt Van heer beminde tortel .	Emotion_Love_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.10	Zy jammert op de dorre ranck Van eenen boom , verdrooght van wortel , Haer leven langk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.11	Zoo treurt nu Aemstels vrou , En smilt , als sneeuw , van rou Tot water en tot traenen .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Love_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.12	Zy rekent Gysbrecht nu al doot , Die om zijn stadt en onderdaenen Zicht geeft te bloot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2068.s.13	O Godt , vetlicht haer kruis , Dat zy den helt op 't huis Met blijdschap magh ontfangen , Die tusschen hoop en vreeze drijft , En zucht , en uitziet met verlangen Waer Aemstel blijft .	Fear_Joy_Emotion_Hope_BodilyProcess_Desire_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.2073.s.1	My dunckt ick hoor gerucht : daer roept een aen de poort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2073.s.2	Godt lof , het is mijn heer : ick heb zijn stem gehoort .	None
vond001gysb04_01.TEI.2.text.body.div.head.2075.s.1	Het vyfde bedryf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.2077.s.1	Gysbreght van Aemstel Badeloch .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.2077.s.2	Bode .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2079.s.1	MYn lief , hoe hebtge dus uwe oogen uitgekreten ?	BodyPart_BodilyProcess_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.2086.s.1	Nu gy behouden zijt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2086.s.2	is al mijn leet vergeten , Mijn trouwe bruidegom , mijn hooft , mijn troost , mijn schat : Nu gy behouden zijt , wat geef ick om de stadt , Om al het wereltsch goedt !	None
vond001gysb04_01.TEI.2.text.body.div.sp.2086.s.3	hoe zijtge hier gekomen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.1	Na dat de vyant nu den Dam had ingenomen , Nam ick en 't overschot naer 't raethuis toe de wijck , En hiel hem staen met kracht , als water voor den dijck ; Daer 't lantvolck opgeklept zich zoeckt by nacht te redden , En brengt vast zoden aen , en stenen , paelen , bedden , En bulsters , en al wat den zeedijck stutten kan , Waer die is doorgeweeckt ; en zweet met alle man .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.2	Dat speet den grooten reus , die liet zich vreeslijck hooren , En stack met hals en hooft , gelijck een steile toren En spitse , boven 't volck en alle hoofden uit , En scheen een olyfant , die omsnoft met zijn ' snuit .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.3	Zijn spietse was een mast in zijne grove vingeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.2153.s.4	Ick zagh hem man op man gelijk konijnen slingeren Wel driemael om zijn hooft , gevat by 't eene been , En kneuzen dan het hooft op stoepen of op steen .	None
