hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. Hoofts spel van ‘ Achilles en Polyxena ’	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.10	De schult heb ick alleen , wilt ghij die niet vergeven , En straft mij nae verdienst , so ist met mij gedaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.11	Als ick mijn Juffrou had , heb ickse laeten gaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.12	Als sij haer lichaem boodt om t ' dode te bevrijen , Doen heb ick haer niet in mijn tente willen lijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.13	Als ick niet haer , maar sij mij om vergiffnis badt , Doen sandt ick haer te rug met d ' ouders na de stadt .	EmotionalAction_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.14	Doen wild ' ick opter daet daer inne niet besluijten Om t ' overleggen wat daer al wt conde spruijten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.15	Maer doort affwesen wert ick met meer pijns gequelt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.16	Nu routet mij , dat ickt dus lang heb wtgestelt .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.17	Want als ick d ' eerste mael liet mijn gesichte dwalen In hare jonckheyts glans en in haer ogen stralen , Dranck ick haer beeltenis door d ' oogen in mijn borst ; Een dranck , helaes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.18	die niet verslaet , maar scherpt den dorst .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.19	De schoone beeltenis nam in het hert haer plaetse En maectent tot een kerck ; als een godinne staetse Daer op een outaer hooch , daer wert s ' erkent alleen , En van de drang van mijn gedachten aengebeen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.20	Daer branden tot haer eer duijsent en duijsent toortsen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.21	Staech sij mijn harte dwingt met hare blixems coortsen , Tot een begeerte van t ' geen haer gelijckend ' is , En dats mijn lieff , daer van is sij de beeltenis .	Emotion_Love_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.22	Ghaet send ' u lieff van hier over veel duijsent mijlen , Sij heeft den booch , tis waer , maer ghij int hert de pijlen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.23	Wat helpt , Achilles , dat ghij haer van u veriaecht , Als ghij haer beeltenis binnen int t ' herte draecht ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.24	Ghij sentse wech om u gedachtnis te bedriegen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.25	Hier sit sij in u borst , hier can sij u niet liegen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3477.s.26	Hoe ghijse meerder poocht te stellen wt u sin , Hoe ghij u meer verwart in u begonnen min !	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3481.s.1	Mijnheer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3492.s.1	Ick heb dees brieff geschreven , Opdat ghij dien terstont gaet aan mijn Juffrou geven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3492.s.2	Gaet binnen troijen nu dewijl het is bestant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3492.s.3	Draecht sorge datse coom behouden in haer hant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3500.s.1	Ick gae , mijn heer , en salt volcomelijck bestellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.2	de vreese gaet mijn herte deerlijck quellen , Begeerte geeft mijn hoop , en dat is al haer grondt .	Fear_Emotion_BodyPart_BodilyProcess_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.3	De minnaer licht gelooft t ' geen hij sich selven iondt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.4	Ick heb u vaders staet , schone Princes , bedorven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.5	U waerste broeder is door dees mijn hant gestorven .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.6	Als ghij int leger waert , toond ' ick u luttel eer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.7	Als ick u houden mocht , sand ick u lijcwel weer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.8	Sijnt minneteekens dit ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.10	met grote reen Sult ghij mijn bood ' versmaen en brieff met voeten treen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.11	Waertoe is wanhoop goet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.12	hoe nu , Achilles , hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.13	Betroudt ghij dat dan u beleeffde Joffrou toe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.14	t ' Sal strecken tot profijt van al haer ondersaeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.15	Haer ouders sullen haer tot uwe liefft bepraten Op alderleij manier ; ist om u deuchde niet , 't Sal om t ' behouden sijn van t ' geen haer overschiet .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.16	t ' Verlies haer brengen sou int wterste bedroeven .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3568.s.17	Dan , ick sal in mijn tent het antwoort gaen vertoeven .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3571.s.1	Priamus , Paris .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3571.s.2	Hecuba .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.3573.s.1	Paris	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3581.s.1	Autumedon heeft hier terstont een brieff gebracht , Mijn heer en vader , daer ick op te letten acht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.3584.s.1	Hecuba	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3586.s.1	Aen wien ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3592.s.1	Maer aen u dochter ist , mijn vrou en moeder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3596.s.1	Geeftse aen Polyxena .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.3598.s.1	Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3603.s.1	Leest gijs ' , mijn heer en broeder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.1	Achilles , die door minnen sterft , Edel princes , wiens schoonheijt hem verwan , Die wenscht u al t ' welvaren , dat hij derft , En acht dat al , dat hij u wenschen kan .	Emotion_BodilyProcess_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.2	Mijn lyefde , die ' ck u draech so groot en ongemeeten , Meend ' ick , princes , door u affweesen te vergeten .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.3	Maer laes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.4	gelijck een stat , die nae lang wederstant , Snachts overrompelt en gesteeken wert aen brant , Off de verwinner schoon de torts te rug gaet trecken , De brant laet daerom niet sich selven voort te strecken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.5	De vlamme voet sich selffs , en hem rontomme went , Soo lang daer huys off kerck off muer is overent .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.6	Also der minnen vlam , hoe wel ick u ontbeerden , En ging daerom niet wt , maer daeglijxs sich vermeerden .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.7	Die voel ick in mijn borst nu van so grooten cracht , Dat het mij seer verdriet , dat ick oijt heb gedacht Om u , princesse schoon , wt mijnen sin te stellen .	Emotion_BodyPart_BodilyProcess_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.8	U , seg ick , die so licht mijn hooch gemoedt cont vellen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.9	Laet mijn stantvasticheijt in uwe min vol pijn U een versekering van mijn getrouheijt sijn .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.10	En mijn getrouheijt , die ick u betoon door desen , Van mijn stantvasticheyt u een verseeckring wesen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3683.s.11	Dus salft Achilles hert , princes , met u genae , Op dat het in het vuijr geen asch wert en vergae , Maer dat het in den aert des Salamanders keere , So dat de brant het selve voed ' en niet verteere , Op dat de brant int hart en t ' harte in den brant Gedueren ewichlijck , u tot een offerhant .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.3684.s.1	Finis	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3693.s.1	Heer vader , hier ist al , wat dunct u van dees saecken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3693.s.2	Wat salmen alderbest hier in doch mogen maecken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.1	Onnodich lang beraet , want mijnen sin is dit : Laetten ons weygren niet , dewijl hij om haer bidt .	EmotionalAction_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.2	Wij sien t ' quaet , dat ons quam door dien hij bleeff versteecken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.3	Voorseecker sal de Prins de Griecken op doen breecken , Als danckbaer van de gunst , oft so hij dat niet doet , Polyxena heeft tijt te temmen sijn gemoet , En sal hem metter tijt cunnen so wel bepraeten , Dat hij vergeeten sal sijn toorn , en varen laeten .	Emotion_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.4	Al swerelts cracht so licht geen hooch hert nederleijt Als dees schone Vrous vruntlijcke tederhaijt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3734.s.5	Indien Polyxena Achilles can bewegen , t ' Welvaeren vant gants rijck isser gans aen gelegen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.1	Ellendich coninxs kint !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.2	is dan t ' gemeen geluck Alleen gelegen aen u ongeval en druck ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.3	In troijens hoochste feest onder 't gemeen verblijen Sult ghij alleen benaut in droefheyt sijn en lijen ?	Joy_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3767.s.4	Somen de plagen niet van de troijaense wal Kan keeren dan door mijn verdriet en ongeval , Doot mij te besten van mijns vaders ondersaeten , Veel eer dan ghij mij sout slavinne werden laeten Van eenen , die mijn waerste broeder heeft gedoot .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3772.s.1	Dits t ' eenich middel om te comen wt den noot .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.1	Hola !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.2	Heer Vader , so ghij Paris raet wilt achten , Ghij cunt hier in voorsien en stillen haere clachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.3	Ick sal den grieck ontbien , dat hij hem vinden laet Gins in Apolloos kerck , die in de bossche staet , Daer ick hem loven sal mijn suster te doen trouwen , Die oock sal komen daer met al haer staet Joncvrouwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3804.s.4	En als Achilles minst sal op sijn hoede staen , Sal ick hem onversiens daer op de plaets verslaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3808.s.1	En vreest ghij niet de schant van dees verraderije ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3814.s.1	Wie soudt bedroch in sijn vijandt te crencken mije ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3818.s.1	Die werck van d ' eere maeckt , en schant en laster vreest .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3822.s.1	Eerlijck ist winnen , t ' sij door cracht off cloecke geest .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3828.s.1	Die door bedroch verliest en acht sich niet verwonnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3836.s.1	Off hijt soo acht off niet , wert niettemin verslonnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3843.s.1	De waere winst dat is t ' breecken van t ' svijants moet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3849.s.1	Waer blijft sijn moet off macht breeck ick sijn hart verwoet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3856.s.1	Al is Achilles doot , het heijr is niet gedwongen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.1	Weet ghij niet , vader , wat Apollo heeft gesongen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.2	Dat Troija nummermeer sal gaen in slavernij , Indien Achilles daer niet tegenwoordich sij .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.3	En nae sijn doot kan hijr niet tegenwoordich wesen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.4	Waerom besluijt ghij niet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3871.s.5	Wat staet hier doch te vreesen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.1	Doet so , mijn lieffste soon , ick en sal lijden niet , Dat anders dan ghij segt , in dese saeck geschiet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.2	Wreeckt ghij mijn Hectors doot , wreect ghij mijn heete tranen .	BodyPart_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.3	Wreeckt Troijas nederlaech , gaet so de strate banen Tot welvaert van u volck , en wtgang van den crijch .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3891.s.4	Wreect so de wreede smaet , die ick van droefheijt swijch .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.1	Tsa , page , gaet de grieck terstont de bootscap draegen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.2	Segt , dat Polyxena verhoren wil sijn claegen , En datse tot een vrou van hem sal sijn getrout , So hij sich vinden laet gins in Apolloos woudt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.3	En ghij , vrou suster , in het eerste t ' samen comen , Sult hem u hoochste goet en alderliefste nomen , En veijnsen off ghij seer tot hem genegen waert , Waer door gelegenthaijt sal werden gh ' openbaert Om doort geluckich stuck ons burgers te verquicken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.3922.s.4	Daerom een ijder gae terstont hem hiertoe schicken .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.3924.s.2	3e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.2	Elck acht geluckich s ' princen leeven Door weeldens valschen blijck .	Joy_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.3	Hij , door dees meening selffs gedreeven , Waent niemant sijns gelijck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.4	Maer liet hij eens het rijck En het gebieden willich vaeren , En proefd ' off laechhaijt rust can baeren , De hoocheijt hij verachten sou als slijck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.6	Dat een gemeenen man beproefden t ' Geen hij acht sulck geluck , Wat sorg en angst een prins bedroefden , Wat onrust en wat druck , Hij achten beeter t'juck Als een gemeene man te draegen , Dan andren met het juck te plaegen .	Fear_Worry_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.7	Men oordeelt onervaren in dit stuck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.9	Een Prins wil datmen hem sal vreesen , En acht het selve goet , Die selve vreest gevreest te weesen .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.10	De nacht hem niet behoet , Noch slaep sijn smart versoet .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.11	Als alle menschen ruste raepen , Ontsteelt het sorgen hem sijn slapen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.12	Dat elck gebuert , een Prins ontbeeren moet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.14	Wat hooch huijs heeft oijt Prins genooten , Dat niet is omgewent ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.15	Wat vintmen doch voor hoge slooten , Diet oorloch niet en schent ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.16	Waer sietmen doch ontrent Het hoff de schaempt in eeren houwen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.17	Gerechticheyt , huwlijckse trouwe En sijn de groote hooven niet bekent .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.19	Het hoff dat volcht Bellona bloedich Met hare roed ' in de hant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.20	De helse , bose Fury woedich , Die hoverdie plant , Wiens hongerige tant De grootste doet hovaerdich raesen , Verslint de huijsen opgeblasen En werpt de hoge princen neer int sant .	Emotion_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.22	Indien men t ' oorloch niet siet blincken , Maer van bedroch affstaen , Het groot moet door sijn swaerheyt sincken , En t ' hooch te gronde gaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.23	De schipper is belaen Als goede wint het schip gaet stijven , Vreest , het geluck t ' schip om sal drijven ; De hoochste torens meest de buijen slaen .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.25	De hoochste eijcken sietmen breecken Die in de bosschen staet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.26	t ' Geweer , wt Jovis hant gestreecken , De hoochste bergen slaet , Het vetste beest men gaet , Niet t ' slechste om te doden haelen , Bereijt men costelijcke maelen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.27	Wat vallen sal , Fortuijn verhogen laet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.29	Best dueren matelijcke dinghen , Daer t ' hooch haest vallen can .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4106.s.30	Die mate noijt ging overspringen , Als een gemeene man , Die noyt en schayde van De strant , bevreest de zee te naecken , Roijt onder t ' lant , dat hij kan raecken , Het hoochste luck alhier op aerden wan .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.head.4108.s.2	4e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.1	Soo dees godin , veel hoger van manieren Als d ' ander goôn , beleeft en goedertieren , Met een genadich ooch mijn smert aensiet , Der goden staet niet meer k ' acht als verwonder .	Emotion_BodyPart_BodilyProcess_Compassion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.2	k ' En vrees de snelle blixem noch de donder , Benij Jupijn Ambroos en Nectar niet .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.3	Terstont quam mij een bood ' , van Paris affgevaerdicht , Dat haer Polyxena niet langer veronwaerdicht t ' Erkennen mijne trou , dat se sal comen nu Gins in Apollos wout , waer van sij lang was schu .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.4	Sonder mijn swaert , alleen , en heb ick niet te schrome .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.5	Maer hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4145.s.6	siet , daer ist hoff , tis tijt dat icker come .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.4147.s.2	5e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.4148.s.1	Achilles , Polyxena , Paris , Deïphobus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.4149.s.1	Sonnet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4181.s.1	Gentiel goddin , alleen besitster van mijn hert , Schoon ziele van mijn ziel , meestres van mijn gedachten , Wiens schoonhaijts clare glans , en gracy mijn vercrachten , Als in den blonden strick mijn hert gevangen wert , Indien ghij niet aensiet de wreethayt van mijn smart , En stopt u oren voor mijn al te sware clachten , Van mij en hebdij niet dan droeffheijt te verwachten En de melijdeloose doot en d ' aerde swart .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4181.s.2	Maer gaet ghij tot gena u goedertieren wennen , En wilt de trouwe van u dienaer recht bekennen , Verlost ick werden sal van droeffheijt , sorch en pijn .	Worry_Emotion_Compassion_Sadness_Benevolence
hoof001achi01_01.TEI.2.text.body.div.div.sp.4181.s.3	Mijn hert , dat door het vuijr soud ' lichtelijck verteeren , En sal dan nummermeer in assche cunnen keeren , Maer in een schonen brant altijt onsterfflijck sijn .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.1	Aensiend ' u lang vervolch , en aenstaen boven maten , Hoe wel ick oorsaeck heb , Achilles , u te haten , Sloech ick mijn oogen op u wijtberoemde duecht En op de schoonheijt van u fluxs gestelde iuecht , De welcke dingen , t ' sint dat sij mij wel geviele , Baerden een vreemde lust vol onrust in mijn ziele , In veughen dat ick haest mijn toornicheijt vergadt , En t ' rout mij , dat ick u so leed ' oijt heb gehadt .	Emotion_Hatred_BodyPart_BodilyProcess_Sadness_Desire_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.2	Tis mijn de grootste pijn des werrelts te gedencken , Dat ick oijt heb gedacht , Achilles , u te crencken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.3	Naer ick mijn gramschap dan op gh ' offert heb aen w , Coom ick , grootmoedich Prins , als u dienaersse nu Om op te offren voorts aen u alhier ter steede Mijn hert , mijn wil , en oock al mijn genegentheede .	Emotion_Annoyance
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.4	Daerom , Achilles , wilt ontfaen van mijnder hant , En gunstich nemen aen desen mijn offerhant , En mijn versekren , dat de lieffd ' met swaere plagen , Die ghij soo lange tijt tot mijwaert scheent te dragen , Warachtich is en sal altijt gestadich sijn .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.5	Waeraen te twijfflen valt mij een soo swaere pijn , Dat ick int midden van mijn vlam bevries doort vreesen .	Fear_Emotion_BodilyProcess_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.6	Dus maeckt mij , prince , dat ick mach verseekert weesen , Nae dien de twijfels mij wel duijsent doon aendoen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.7	Maer waerom soud ' ick oock cunnen van u vermoen , Dat ghij geveijnsdelijck sout sulcken liefd ' ontfangen , Gelijck het herte van Polyxena heeft bevangen ?	Emotion_BodyPart_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.8	Neen , neen , ten kan niet sijn , neent seeckerlijck niet , hoe ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.9	Al droecht ghij mij oock gans geen liefd ' met allen toe , Weerliefd ' soud ' in u hert voorseecker comen wercken , Als ghij de grootheijt van mijn lijefde maer cont mercken .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.10	Mijn lijefd ' t ' sint haer begin nam soo veel toe en wan , Dat ickse met t ' gedacht nau achterhalen can .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.11	Mijn lijefde is soo groot , en brant so ongemeeten , Achilles , dat ick selff haer grootheijt niet can weeten .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.12	Het leeven van mijn lijefd ' en sijn geduerichaijt Sal niet van dach off wr , maer sijn van ewichaijt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4303.s.13	So de verdienste van dit goddelijcke lijen U niet beweegen off tot waere liefd ' kan vlijen , En so Polyxena , s ' coninxs van troijas bloet , Door iemandt anders dan haer selven bidden moet , U door u ooghen schoon , Achilles , ick besweere , Door wiens godlijcke cracht mijn felle moet viel neere , Dat ghij mij wedermint gelijck gh ' wterlijck toont , En dat u lijefde duer mijn trou met trouwe loont .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.1	Had ick u overlang niet gaen besitster stellen Volcomen van mijn hert , een oogenstrael sou vellen Seer lichtlijck mijn gemoet , en dwingent tot u min .	Emotion_BodyPart_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.2	Maer t ' sint ghij d ' eerste mael de schoonst scheent in mijn sin , Heb ick met sulcken hit en smert u lijefd ' gedraegen , Datter geen wr voor bij en ging van so veel daegen , Off ijvrich ick aenbadt u schone beeltenis , Die siele van mijn siel , mijns levens leven is .	Emotion_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.4	princes , wat sal ick u opoffren weer In plaets van deese gunst en dienstbaerheijt vol eer , Daer ghij mij nu toe roept ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.5	Hoe can weer sijn geloont Sulcken genegenthaijt als ghij tot mijwaert toont ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.6	Ick ben gedwongen , schoon princes , u te verclaeren , Dat ick soo groote vruecht voel in mijn siele baeren Doort overdencken van t ' geen daer ick meest nae dorst , Dat mij de wreede doot doorschieten sou de borst En door de groote lust alhier ter plaets bederven , Wast mogh'lijck in u tegenwoordicheijt te sterven .	Joy_Emotion_BodyPart_BodilyProcess_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.7	Dus sijt voorseeckert dat ick stadich ben beraijt t ' Ontfangen uwe lijefd ' met al eerbiedichaijt .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.8	Op die te vieren en te voeden sal ick passen , Dat d ' aldercleenste vonck sal in ons herte wassen , Tot datse wert een vlam , die aerd ' en hemel sou Verbranden alle beij , het welck , ô waerde vrou , Niet vreemt sal schijnen noch tegens des reedens wetten , So ghij een luttel wilt op u schoonheeden letten , Off so ghij mijn genegenthaijt wilt mercken aen , Off so het u belieft op baijde acht te slaen , De welcke baijd ' aen mij so starck sijn overcomen , Dat ( alhoewel ick vast bij mij had voorgenomen Te comen nummermeer in minne sijn verbont ) Soo haest ick u aensach , ick mij begaff terstont Vrijwillich in u dienst , waer in dat ick sal blijven So lang des Hemels cloot sal op sijn Polen drijven .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.9	Onnodich is het dan , dat ghij met bidden dringt Tot uwe lijefd ' een , die daer toe sich selven dwingt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.10	Der goden schick mij nood ' om tot u min te strecken , Al u verdienste groot mij tot u lijefde trecken .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.11	Mijn roepen derwaert , mijn begeerten algemeen , Mijn oversoete hoop voert mij , princes , daer heen .	Emotion_Hope
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.12	Mijn ziele , waer van ghij sijt coningin en vrouwe , Die heft mij derwaarts op met vluegels van mijn trouwe .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.13	Daerom , hoewel mijn lijefd ' tot u waerts eens began , Sijt seecker , schoon princes , dat die niet eijnden kan .	Emotion_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.14	Off , so die eijnden sal en immermeer gaen t ' onder , Dat sal geschien gelijck als de phoenix , t ' grote wonder , Die , stervend ' in de vlam , aen een nieu leeven raect , Nae dat hij levend ' heeft vant sterven eijnd ' gemaect .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.4596.s.16	Wat seg ick doch ?	None
