stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of De verovering van het Mogolsche ryk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1563.s.1	Ik zal , is 't uw begeerte , u by dien vorst geleiden .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.1570.s.1	Weläan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1570.s.2	Ga in myn heir dit heil terstond verbreiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1568.s.1	Tegen Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.1	Ik zal , op 't wreedst misleid , versmaad , gehoond , betigt , Doen blyken dat myn hart in doodsgevaar niet zwicht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.2	Men doe , indien myn goud voor my iets kan verwerven , Tot myn gerechte wraak den trotsen Nadir sterven !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.3	Zyn dood is niet genoeg ; myn felle spyt eischt meer : Men stuite ook 't vreêverdrag , bestemd tot 's vyands eer !	Emotion_Spitefulness
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.4	Dat zelfs de keizer my op dien verrader wreke , Myn ' raad uit blindheid volg ' , 't gegeven woord verbreke , My diene als hy zyn ' stam voor Milkoos echt behoed !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.6	dat ons volk , gespysd , genoopt tot oorlogsmoed , Heldhaftig voorgetreên door all ' myne eedgenooten , Door Mahomets misnoegde en felgedreigde grooten , Door vorsten , wier belang aan 't myn ' verbonden is , Het lot van Alikan in 't bloedig veld besliss ' , Den Persiaan verwinn ' , zichzelf het leven spare , Een ' laffen vorst onttroon ' , tot keizer my verklare !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1595.s.7	Ik juich in myn gevaar ; 'k sneef , mist my 't heldenloon , Ten minste met de hoop op de Indostansche kroon .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1597.s.1	Einde des Derden Bedryfs .	None
stee033tham01_01.TEI.2.text.body.div.head.1601.s.1	Vierde bedryf .	None
stee033tham01_01.TEI.2.text.body.div.sp.1617.s.1	Ja , prins , myn dankbre ziel erkent de deugd uws vaders , Die , tot zyne eeuwige eer , de hulp eens ryksverraders Grootmoedig doemt , versmaad , een ' vyand gunst bewyst , Aan ons de vrede schenkt , ons kwynend leger spyst .	None
stee033tham01_01.TEI.2.text.body.div.sp.1617.s.2	Nooit kan myn dankbaarheid die weldaad evenaren : Maar , schoon ik magtloos ben een kermend heir te sparen , Hem na te volgen door 't versmaden van een kroon , Ik kan myne achting hem bewyzen in zyn ' zoon : Uw groote ziel , waarin uw ' vaders deugden leven , Verpligt my , met myn hand aan u myn hart te geven .	None
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.1	Is 't waar , prinses , dat gy , niet uit gehoorzaamheid , Maar uit een vryë keur , my met uw liefde vleit ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.2	Is 't mooglyk dat myn min op dat geluk mag hopen ?	Emotion_Happiness_Love
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.3	Verklaar u ongeveinsd : ik zal myn ' vader nopen , Hem doen besluiten , zelfs in weêrwil van myn hart , Tot afstand onzer trouw , zo Nadirs eisch u smart : Myn zuivre minnevlam doet my dat huwlyk wraken , Indien 't , tot myn verdriet , u zou rampzalig maken .	Emotion_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1629.s.4	Ik haat den huwlyksdwang , al mint myn ziel u teêr .	Emotion_Hatred_BodyPart_Love
stee033tham01_01.TEI.2.text.body.div.sp.1636.s.1	Uwe edelmoedigheid verbaast my meer en meer .	None
stee033tham01_01.TEI.2.text.body.div.sp.1636.s.2	Ik durf u ongeveinsd en zonder schaamte ontdekken , Dat my ons echtverbond tot waar geluk zal strekken .	Emotion_Shame
stee033tham01_01.TEI.2.text.body.div.sp.1636.s.4	ware 't heilryk voor den keizer , voor den staat !	None
stee033tham01_01.TEI.2.text.body.div.sp.1643.s.1	Vermoed gy dan , prinses , dat Nadir 't ryk verraad ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1643.s.2	Hoe kunt gy vreezen , daar uw rampen zyn verdwenen ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.1643.s.3	Daar Persianen en Mogollen zich veréénen ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.1	'k Hou die verééniging , ô prins !	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.2	voor ongewis , Zolang het vreêverbond noch niet bezworen is , En de Indostansche vorst , door Alikan bedrogen , Onzinnig niets beschouwt dan door zyn ' gunstlings oogen .	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.4	de edelmoedigheid uws vaders is te groot : Zyn deugd red ons te vroeg uit onzen hongersnood .	None
stee033tham01_01.TEI.2.text.body.div.sp.1656.s.5	Hoe ducht ik dat myn vorst , om Alikan te wreken , Van hoogen nood ontlast , het vreêverbond zal breken , En , echter magteloos uw heir te wederstaan , Met al zyn legermagt erbarmlyk zal vergaan !	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.1	Gy spelt u 't ergste .	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.2	Zou de keizer , tot belooning Der hoogste gunst , zyn woord verbreken aan den koning ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.3	Een ' magtig ' vorst verraên , die , vreemd van wreed geweld , In spyt der vyandschap , hem op den troon herstelt ?	None
stee033tham01_01.TEI.2.text.body.div.sp.1665.s.4	Dan waar ' zyn ondergang , myn ' vaders wraak , rechtvaardig : Een trouwloos opperheer ware uwer smarte onwaardig .	Emotion_Compassion_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.1	De kracht der vleijery is u noch onbekend .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.2	Wyt niets aan Mahomet , zo hy de vrede schend .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.3	Staatzuchtige Alikan , geleerd op gruwelstukken , Geneigd door 's keizers val zyn ' wensch te doen gelukken , Noopt dien misleiden vorst , die trouweloosheid doemt , Tot eerloos krygsbedrog , 't geen hy als wettig roemt : Steeds doet hy Mahomet tot euveldaên besluiten , Schoon Nizamëlmoluk dat misdryf poogt te stuiten .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.4	Grootmoedig prins !	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.5	beklaag , indien gy Milko mint , En in myn droefenis geen stof tot blydschap vind , Beklaag ons talryk heir , myn ' keizer en zyn staten .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.6	Helaas !	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.7	uw ' vaders gunst zal Indostan niets baten .	None
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.8	't Is billyk dat ik reeds myn vaderland beween ' .	BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1682.s.9	Al 't gene ik vreezend hoop is van uw hulp alleen .	Fear_Emotion_Hope
stee033tham01_01.TEI.2.text.body.div.sp.1692.s.1	Uw vrees , uw smart verkleent , in myn verliefde zinnen , De vreugd van myn prinses niet vruchteloos te minnen .	Fear_Emotion_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.sp.1692.s.2	'k Zal roemryk sterven , of , in spyt van Alikan , Indien de nood het eischt , uw schreijend Indostan , Uw ' keizer en zyn heir , eer Nadirs wraak zal woeden , Uit zucht voor uw belang , voor ondergang behoeden .	BodilyProcess_Sadness
stee033tham01_01.TEI.2.text.body.div.div.stage.1696.s.1	Milko , Nasser , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1702.s.2	het belge u niet dat ik met smart myn ' pligt , Op 't koningklyk bevel , voldoe aan 's keizers nicht .	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1702.s.3	'k Moet , in verzekring , haar afzonderlyk bewaren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1706.s.1	'k Zie ons ten doel gesteld aan nieuwe krygsgevaren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.1	ô Felle tegenspoed !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.2	ô onverdraagbre hoon !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.3	De koning kerkert u !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.4	En ik , ik ben zyn zoon !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.5	Het is myn vader zelf die myn prinses beleedigt !..	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.6	Zal uw gevoeligheid , als u myn min verdedigt , Ja op myn hoofd misschien myn ' vaders gramschap laad , Op my uw wraak voldoen voor dezen bitschen smaad ?	Emotion_Love_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.7	Of mag myn tederheid noch naar uw liefde trachten ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1717.s.8	Ik durf niets anders dan afkeerigheid verwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.1	Uw roekelooze drift verzwaart myn groot verdriet .	Emotion_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.2	Verpligt my door uw hulp ; maar terg uw ' vader niet .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.3	Ik acht zyn deugd te hoog , dan dat ik ooit zou denken Dat die beroemde held , die ons de vreê wil schenken , Die uit meêdoogendheid ons hongrend leger voed , Die 't Indostansche ryk voor ondergang behoed , Die geen behagen schept in 's vyands ongelukken , My , die onschuldig ben , uit wreedheid zal verdrukken .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.1730.s.4	't Is alles in gevaar : doch geef dien vorst geen schuld .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.1	Zou Nasser dezen smaad gedoogen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.2	met geduld Het heilig gastvryrecht in Milko zien geschonden ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.3	In u , aan wier belang myn welstand is verbonden ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.5	deze hoon , uw rang , myn liefde is veel te groot .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1740.s.6	Geef ons een klaar bericht waaruit dit onheil sproot .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1738.s.1	Tegen Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1745.s.1	Zie Nizamëlmoluk gevangen herwaarts komen , Myn prins ; uit hem word best dit ongeval vernomen .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1751.s.1	Milko , Nasser , Nizamëlmoluk , Semire , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1754.s.1	Milko , tegen Nizamëlmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1761.s.1	Mynheer , 'k zie uit uw ' ramp , 'k zie uit uw droefenis Wat van myn kerkering de zorglyke oorzaak is ; Dat onze vorst , misleid , gespysd door Nadirs goedheid , Dien koning roekloos tergt tot gramschap , tot verwoedheid , Ja 't heilzaam vreêverbond vernietigt heeft , in waan Dat ons verzadigd heir dien held kan wederstaan .	Emotion_Sadness_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1769.s.1	Ons vaderland , bykans aan 't krygsgevaar onttogen , Op nieuw ten doel gesteld aan 's vyands wraakvermogen , Zal haast vergaan , 't en zy die vyand , door genaê , In edelmoedigheid myn hoop te boven ga .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1783.s.1	Poog , door uw ' raad , de drift van dezen prins te weeren , Die my zyn hulp belooft , wien onze rampen deeren , Maar die 't gevaar vergroot door onbedachtzaamheid .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1783.s.2	'k Versma uw ' bystand niet : verlos ons door beleid , Eer , door uw hevigheid , alle onze hoop verdwyne .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1783.s.3	En gy , voldoe uw ' pligt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1777.s.1	Tegen Nasser .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1786.s.1	Nasser , tegen Milko .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1788.s.1	Uw vaderland is 't myne .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1790.s.1	Malek geleid Milko , van Semire gevolgd , in één der zyvertrekken , en keert aanstonds te rug .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1790.s.2	Twee der Lyfwachten verzellen haar .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1796.s.1	Nasser , Nizamëlmoluk , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1806.s.1	In 's keizers doodsgevaar is 't my een dierbre troost , Te hopen op de deugd van Nadirs waardig kroost .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1806.s.2	Die koning , eerst vermurwd door onze tegenspoeden , Nu fel getergd , verstoord , gereed op ons te woeden , Myn ' onberaden vorst te bonzen van den troon , ô Prins !	BodilyProcess_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1806.s.3	word best door u verbeden , door zyn ' zoon .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1815.s.1	Wacht voor uw ' keizer van myn deernis , zo myn bede Op Nadir iets vermag , eene onverdiende vrede .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1815.s.2	't Gevaar weêrhoud my niet : de erbarmlyke offerhand ' , Door 's konings wraak begeerd , is Milkoos vaderland , Ja 't maagschap van een bruid , my waarder dan het leven .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.1815.s.3	Ik ga ; 'k zal u een blyk van myne oprechtheid geven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.2	neem een beter tyd tot 's ryks verlossing waar : 't Is noch te vroeg om ons te ontheffen van 't gevaar , Nu Nadirs grimmigheid , te hevig aan het blaken , Hem voor een oogenblik zyn reden doet verzaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.3	Ik , die onschuldig ben aan 't breken van 't verdrag , Die alles , 't geen de trouw eens onderdaans vermag , Met myn gevaar bestond om 't ongeval te weeren , Wien deyver voor de vrede in 's konings heir deed keeren , En die hem kennis geef van Alikans verraad , Word averechts beloond met kerkering , met smaad ; Hy dreigt me ( dit 's de vrucht van voor myn ' vorst te smeeken , ) 't Verraad , door my gemeld , zelfs op myn hoofd te wreken : En zal 't geen misdaad zyn , als ge in zyn hevigheid Niet voor uw vaderland , maar voor uw ' vyand pleit ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.4	Wanneer , in felle woede , een edelmoedig koning Zoverr ' zyn ' aart verzaakt , dat hy een dienstbetooning Met smaad , met dreigen loont , ô prins !	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.5	dan heeft het bloed Den minsten voorrang niet op 't vaderlyk gemoed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1839.s.6	Ga met ons dier belang , niet met uw drift , te rade .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.1	Maar zo ik niets verricht , uit vrees van ongenade , Zal Milkoos maagschap met haar vaderland vergaan , En ik , haar liefde onwaard ' , myn hart , myn bruid verraên .	Fear_Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.2	Men zal , zolang ik leef , uw leger niet vernielen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.3	Nooit zal een laffe schrik , dat merk van lage zielen , Beletten dat ik u , ô myn prinses !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.1849.s.4	betoon ' Wat Milkoos bruîgom voegt tot eer van Nadirs zoon .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.1	Als de eerste hevigheid des konings is verdwenen , Zal 't vaderlyke hart aan 't bloed gehoor verleenen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.2	Dat de edelmoedigheid , die Nadir eigen is , Op uwe voorbeê dan myn ' keizers lot besliss ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.3	'k Hoop op uw ' vaders deugd .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.4	Ik zie dien vorst genaken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1859.s.5	Men zwyg '; men doe hem niet in feller woede blaken !	Emotion_BodilyProcess_Anger
stee033tham01_01.TEI.2.text.body.div.div.stage.1866.s.1	Nadir , Nasser , Nizamëlmoluk , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.1	Draag zorg dat , naar myn ' last , de toestel tot den stryd Op 't spoedigst vaardig zy : vertrek ; betoon uw vlyt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.2	Wat heeft , in weêrwil van myn gunstig mededoogen , Den snooden Mahomet tot krygsverraad bewogen , Terwyl hem stryd op stryd , dien hy verloren beeft , Onfeilbre blyken van zyn onvermogen geeft ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.3	Gy , terg my langer niet met roekloos my te smeeken : 'k Wil onherroeplyk my op dien verrader wreken ; Zyn heir vernielen ; hem , van 't ryksgezag ontbloot , Niet handlen als een ' vorst , maar straffen met de dood .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.div.sp.1884.s.4	Ik ben te fel getergd ; spreek niets tot zyn verschooning , Of ducht een zelfde straf .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.1	Uw wraak is recht , ô koning !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.2	Gy zyt op 't snoodst verraên .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.3	Gy hebt vorst Mahomet , In spyt van uw belang , uit doodsgevaar gered : Maar hy , zich naauwlyks ziende ontheven van de elenden , Of durvende , u ten hoon , de vrede arglistig schenden ; Ondankbaar door bedrog u stortende in gevaar ; Verdient niet dat uw gunst ten tweedemaal hem spaar ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.4	't Belang van Alikan , gevest op gruweldaden , Doet hem onzinnig u , zyn ryk , zichzelv ' verraden ; Hy maakt zich schuldig door een blinde drift alleen : Maar dit verschoont hem niet van krygsverraad ; ô neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.5	Hy moest zich nimmer aan een ' gunsteling verslaven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1901.s.6	Een keizer is verpligt zyn vorstlyk woord te staven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.1	ô Nizamëlmoluk !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.2	vergeefs verbergt ge my Wat Mahomet beweegt tot krygsverradery .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.3	Geen Alikan alleen doet hem 't gevaar trotseren , Ondankbaar my verraên , zyn ' hoogen rang ontëeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1919.s.4	Die heillooze oppervorst heeft aan myn ' zoon , ten echt , Uit laffen schrik zyn nicht met weêrzin toegezegt : Zyn hoogmoed , aangehitst , ontydig , onrechtvaardig , Vermetel , acht myn ' zoon dier hooge gunst onwaardig , Te huwen aan 't geslacht van grooten Tamerlan : Maar de eedle gunsteling , dat hoofd van 't vloekgespan , De ontrouwe , doelende op de keizerlyke staten , Een loos verleider van trouwhartige onderzaten , Een eerloos hoveling , op vleijen afgericht , De arglistige Alikan verdient uw ' keizers nicht .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.1	Ik durf u voor myn ' vorst tot geen genade nopen : Zyn misdryf is te groot om iets voor hem te hopen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.2	Ik beef voor 't gantsche ryk : het zal , uw wraak ten zoen , Onschuldig aan 't vergryp , voor Mahomet voldoen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.3	ô Magtig keizerryk ! 't is met u omgekomen ; Ik zie een zee van bloed uwe akkers overstroomen , Uw schatten uitgeput , uw talryk heir vernield , De vrouwen met haar kroost in de oorlogswoede ontzield : De groote Nadir zelf , tot uw verderf bedrogen , Heeft met uw ' jammerstaat in 't end ' geen mededoogen ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.4	Maar neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.5	ik vlei my noch dat uwe onnoozelheid In 't edelmoedig hart voor uw behoudnis pleit .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.6	ô Wydberoemde held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.7	dat uw verstoorde zinnen Uwe edelmoedigheid zoverr ' niet overwinnen , Dat uw getergde wraak de schuldeloozen doem ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1941.s.9	ken uw belang .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.1936.s.1	Hy werpt zich aan 's konings voeten , en vervolgt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1945.s.2	wat belang ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1955.s.1	Uw ' roem .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1955.s.3	wierd ons heir vernield , uw wraak ter offerhande , 't Ware u , doorluchte held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1955.s.4	eene onüitwischbre schande ; Ja vruchtloos heeft uw arm den grootsten lof behaalt , Zo Nadir , woedend , niet op Nadir zegepraalt .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.1964.s.2	het bare in u geen zwaarder ongenoegen Dat ik , geknield , myn beê by 's vyands beê durf voegen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1964.s.3	Ontzeg uw ' droeven zoon geen gunstig krygsbesluit : Hy smeekt voor 't vaderland van zyn geliefde bruid .	EmotionalAction_Desire_Despair
stee033tham01_01.TEI.2.text.body.div.div.sp.1964.s.5	moet die heldin de dood van all ' haar magen , En ik , terwyl gy juicht , myn ongeluk beklagen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1977.s.1	Ryst beide .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1977.s.2	Ik schep geen ' lust in wreedvergoten bloed : 'k Heb nooit moorddadig op de onnoozelheid gewoed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1977.s.3	'k Zou 't ryk beschermen met de tederheid eens vaders , Indien 't , op my gerust , vrywillig zyn verraders , Den snooden Mahomet , den loozen Alikan , Ter straf my overgaf , met al het vloekgespan : 'k Zou my , 'k zou Indostan gerechte wraak verschaffen , Ten voorbeeld van 't heeläl gestreng de boosheid straffen , Genadig toonen dat myn vyand niets verliest , Als hy , op 't snoodst verraên , my tot beschermer kiest .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1989.s.1	'k Heb de ontrouw u ontdekt ; ik zal noch meer verrichten ; 'k Wil voor myn vaderland u tot genaê verpligten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1989.s.2	Vertraag uw wraak ; beproef hoeveel myn trouw vermag ; Vergun my , in ons heir , hiertoe een ' enklen dag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1989.s.3	Myn keizer , magteloos uw ' moed te wederstreven , Zal , op myn ' raad , aan u de ontrouwen overgeven ; Het vonnis van hun dood zelf onderschryven ; ja Zich stellen in uw magt , op hoop van uw genaê .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1993.s.1	Gy had , vermogt gy iets , de vreêbreuk kunnen weeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2001.s.1	't Was my onmooglyk , daar de ontrouwen hem regeeren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2001.s.2	Verwacht , opdat hun straf de verdre boosheid stuit ' , Nu 't krygsgevaar genaakt , dat hy uit vrees besluit ' .	Fear_Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.2012.s.1	Ik zou uw ' eisch voldoen , uw heldendeugden loonen , En , met hun dood voldaan , uw ' dwazen vorst verschoonen , Indien ik zeker wist dat hy , uit waar berouw , In spyt van Alikan , uw ' raad niet doemen zou .	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.2012.s.2	Het is vergeefs gepleit .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2012.s.3	Ik zal uw heir verrassen ; En , nu gy 't opzet weet , op uw bedryven passen : Ik zal , met uw prinses , u kerkren in myn tent : Zo blyft myn doelwit aan uw ' keizer onbekend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2019.s.1	Laat my , zo 't noodig is , tot overgaaf hem dwingen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2019.s.2	'k Heb meer vermogen , dan zyn snoode gunstelingen , Op 't hart van 't oorlogsvolk in 't nypen van 't gevaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2023.s.1	Gy hem verraden !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2033.s.1	Ja , opdat myn trouw hem spaar ' !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2033.s.3	uwe deugd is Indostan gebleken : Gy zult in koelen moede u op dien vorst niet wreken , Zo 't heilzaam oproer hem in uw vermogen stelt : 'k Vrees niets voor Mahomet , dan 't woedend krygsgeweld .	Fear_Worry_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.2033.s.4	Laat my beproeven wat myn yver kan verwerven .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2040.s.1	Zou Milkoos bloedverwant uw wraak ten offer sterven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2040.s.2	Die schande voor myn bruid waar ' schande voor uw ' zoon , En voor myn ' vader zelv ' een onuitwischbre hoon .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.1	Ik kan , om door uw ' echt myn glorie niet te krenken , Aan u eene andre bruid , in plaats van Milko , schenken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.2	Maar neen ; om haar , om u , om Nizamëlmoluk , Vergeef ik Mahomet het roekloos gruwelstuk , Als hy , uit waar berouw , zich in myn magt zal stellen , En over 't vloekgespan een billyk vonnis vellen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.3	Verwerf , door uw beleid , uw ' keizers lyfsgenaê .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2056.s.4	Vertrekt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.2054.s.1	Tegen de Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2061.s.1	Uw heldendeugd is zonder wedergaê .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.2080.s.1	Uwe edelmoedigheid , onmooglyk na te streven , Die smart in 't straffen vind , maar wellust in 't vergeven ; Die myn verbaasde ziel een heilzaam voorbeeld strekt , In my een sterke zucht tot eeuwige eer verwekt ; Uwe edelmoedigheid , ten hoogsten top gestegen , Zal keizer Mahomet tot dankbaarheid bewegen , Als hy , door u behoed , in u zyn ' waardsten vrind , En in zyn vrinden zelf zyn kroonbelagers vind .	Emotion_Sadness_Desire
stee033tham01_01.TEI.2.text.body.div.div.sp.2080.s.2	Vergun my dat myn hart in Milkoos blydschap deele , Haar bloed voor 't myne erkenn ' , met 's keizers heil zich streele , En dus , door u op 't spoor der ware deugd geleid , Van verre uw voorbeeld volg ' door mededoogendheid .	Joy_Emotion_BodyPart
