weye002holl01_01.TEI.2.text.body.div.head.158.s.1	De Hollandsche zinnelykheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.2	men zal in 't end nog audiëntie krygen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.3	Mevrouw ik heb een broer , schoon , jeugdig , fris en ryk , Die ruim zoo proper is als ik of myns gelyk , Vol vuur en dertel bloed , in 't bloemtje van zyn leeven , Die zeer begeerig is , om zig per post te geeven In d'Huiwlyks - fuik van Kats : UE .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1710.s.4	nu heeft een Nigt , Klinkt die te zamen door een band , zo hegt en digt , Dat niet als dood of kruid die schaaden kan of krenken , Op deeze voorstel kan Mevrouw haar eens bedenken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.1	Ik my bedenken ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.2	geen minuit ofte oogenblik !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.3	De koopmanschap gaat deur .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.4	Wat ben ik in myn schik !	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1717.s.5	Ja , kan Klarind hem niet na waarde contenteeren , Zal myn persoon 't gebrek ten vollen repareeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1722.s.1	Mevrouw ik heb uw woord , Klarinde komt my toe : Spyt alle Novateurs , Descart of Bontekoe , Spyt Circulatien , ofte al ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1730.s.1	Heer Apotheker , Wat minder hevigheid : gy hebt myn woord , 't is zeker , Ik sta dat toe , maar legt dat raar en ongemeen Tapyt , gestoelte , grot , en d'andre kostlykheen In d'eene weegschaal , en in d'ander uw pretentie : 't Staat vast dat dan uw eisch vervalt in decadentie .	Emotion_Other
weye002holl01_01.TEI.2.text.body.div.div.sp.1738.s.1	Die zwarigheid is klein , stelt dat aan d'eene zy , Neemt Zusje Fenix , dat 's een lekk're batery , Die min dan d ' eersten , uw met tegenweer zal quellen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1738.s.2	Gelieft Mevrouw haar hand tot teiken dan te stellen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1738.s.3	Ik heb hier een Contract , waar aan dat niets mankeert Als dat de naamen zyn in blanco .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1745.s.1	Dat en deerd De zaak in 't minste niet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1745.s.2	Loopt Netje roept Klarinde .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1745.s.3	Maar uw Monfreer Juffrouw , waar is die nu te vinden , Want jonge juffertjes staan vast op 't point d'honneur .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1750.s.1	Die wagt uw ordres op Mevrouw , ontrent de deur .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1750.s.2	Hy is nog blood en jong , ik zal hem binnen nooden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1750.s.3	Madame met verlof .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1754.s.1	Het hoeft niet , al myn boden Zyn tot uw dienst juffrouw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1758.s.1	Voor een minuit of zes Is 't noodig dat ik ga ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1758.s.2	Mevrouw uw dienares .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1760.s.1	Jan uit .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1763.s.1	M. KEIZERS-THEE , SPADULAAN , ZUSJE FENIX , ANTONET , CLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.1	Schoon ik bewust ben van Alfonsoos min , Klarinde , Die uw een jaar geleen , wat vierigjes beminde ; Als meede uw weerzin , die gy toonde om Spadulaan Uw trouw te schenken , komt een derde hier ter baan .	Emotion_EmotionalAction_Love_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.2	Uw eerste minnaar was vry losjes , en den tweeden Te stemmig , daar 's een Heer , die zal haar plaats bekleeden ; Men heeft dog vaak gezien in 't Huwelyks besluit Een derde Campioen gaan stryken met de Bruid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.3	Ook is het tans wat raars , in al dees Krygs-rumoeren , Een jongman uit het veld , op Hymens Koets te voeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.4	Oh !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.5	Nigje datje wist het kostelyk genot , Gy trouwde hem , al was hy dul of stapelzot .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.6	Gestoelt en porcelein , tapissery en stoofjes ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.7	Weg Zusje Fenix , roosje en diergelyke sloofjes , Weg Spadulaan , Mevrouw Sucade en Klatergoud !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.8	'k Word opgenomen , Lam : word haastig dog getrouwt : Of anders ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1783.s.10	myn hoofd ..	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.1	Mevrouw en dat zoo vaardig ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.2	Ik ken my zoo veel eer en gunst schier als onwaardig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.3	Dog wat ik bidden mag , verschoon myn tedre jeugd .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1790.s.4	Ik ben pas agtien jaar , en kan de Juffren vreugd Zo onbedagt voor 't jok van Hymen niet verwiss'len .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.1	Is 't uw devoir dan Nigt myn ordres te bediss'len ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.2	En wat uw jeugd belangt , een Juffer is als 't fruit , Het overryp is laf , zoo mede een oude Bruid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.3	Een malsche zomerkers , op haren tak vergeeten , Splyt door de zon , of word een musch of spreeuw zyn eeten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1799.s.4	Een agtien-jarig kind is 't sausje van een haas , Azyn en suiker , dog het zoet speelt altoos baas .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1803.s.1	Mevrouw ik stem uw wil , by form van excuseeren ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1807.s.1	Zal d'arme Spadulaan uw hand en trouw ontbeeren ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1807.s.3	tyd , ô !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1807.s.4	zeden ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.1	Ha ! 'k moet lagchen Spadulaan , Gy tragt naar iets , waar van 't gebruik uw zon verraan , 't Geen tegenstrydig is kan nimmer akkordeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.2	Komt overlegt de zaak eer d'uitslag u doet leeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.3	Juffrouw Klarinde d'eer die komt u toe als Bruid .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1815.s.4	Welk is de hinderpaal die uw genoegen stuit ?	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1818.s.1	Ik kan met drank nog kruid uw zieken niet gerieven .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1821.s.1	Ik ben geen Baal-Heer , die Coquettes kan believen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1824.s.1	Ik haat een vyzeltoon .	Emotion_Disgust
weye002holl01_01.TEI.2.text.body.div.div.sp.1827.s.1	En ik vyoolen-klank .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1830.s.1	Uw inborst is te doots	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1833.s.1	Uw spraak-lit is te lank .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1834.s.1	KLAR .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1836.s.1	Ik lag met porcelein en Chinaas schilderijen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1839.s.1	Ik kan 't Bazette-spel , Piket nog Ombre lijen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1841.s.1	KLARINDE	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1843.s.1	Gy zoud een gier zyn aan myn vrolykheen en lust .	Joy_Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.1846.s.1	En gy een spook , dat 's nagts verhind'ren zou myn rust .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1849.s.1	Daar 's iets nogtans , waar in wy konnen akkordeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1852.s.1	Te weten ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1855.s.1	Vriend'lyk van malkaar te separeeren .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1858.s.1	Zet vriend'lykheid apart , als strydig aan myn Geest .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1861.s.1	Fiat , want myne is nooit voor drank of gif geweest .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1864.s.1	Noord .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1867.s.1	Zuid	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1870.s.1	Oost .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1873.s.1	West .. zoo ver als beide polen scheelen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1876.s.1	Zal onze trouw en hand voor eeuwig zig verdeelen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.1	Voorwaar die Cermony is aardig !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.2	menig paar , Schoon lang vereend , tragt na zulk scheiden van malkaar .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.3	Zie zoo Heer Spadulaan , men straft uw , als vermetel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.4	Vaar wel dan , grondvest daar de dood zyn beend'ren zetel Op boud .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1884.s.5	Wat dunkje nu van zulk een Juffrenzwier ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1891.s.1	Het geen den Satyr van Guarini dagt van 't vier .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1891.s.2	Wel aan Mevrouw ik zal u keus niet tegenvroeten Zoo Zusje Fenix dit verlies gelieft te boeten Met haar perzoon .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1891.s.3	Ik wagt myn vonnis zoete kind , Als een patient die zig omringt met Dokters vind .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1897.s.1	Of schoon 't een maagd niet voegt zo losjes iets t'aanvaarden , Zal ik ( verzekert van uw zuivre min en waarde Ook d ' overeenkomst der humeuren ) van den tyd En liefdens-pligt , de rest afwagten	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.1904.s.1	Loop met vlyt Naar buiten Antonet : waar blyft die suikre broeder ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1904.s.2	Het voedzel van de vlam der netheid , en behoeder Van onze levens-lamp ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1904.s.3	loop vliegens Antonet En roept hem .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1906.s.1	M. KEIZERS-THEE , KLARINDE , SPADUL .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1906.s.3	JAN , en ALFONSO , stemmig gekleed .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1914.s.1	't Is niet eens van noden .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1914.s.3	hoe net En proper is dien Heer , hoe stemmig hoed en kleeren ?	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1914.s.4	Dat is wat anders als Alfonsoos haneveeren , Manchetten , pruiken en kokardes schoon van schyn , Welk veeltyds die Messieurs al haar verdiensten zyn .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1916.s.1	Alfonso buigt zig tegen M. Keizersthee en 't gezelschap zonder iets te zeggen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1922.s.1	Mevrouw laat ons de zaak doen zonder veel te spreeken : Hy 's bloode , en zou zig in een scheurtje schier versteeken ; Dog dat zal door de tyd wel slyten .	Emotion_Other
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1922.s.2	Die een ram In stuursheid is , word vaak na 't Huwlyk wel een lam .	BodilyProcess_Other_Anger
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1928.s.1	Oh ja !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1928.s.2	waar is 't contract ? 'k voel myn verlangen steigren Naar al uw pronk-çieraan , ik zal 't u geensints weigren .	Emotion_BodilyProcess_Desire
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1928.s.4	Porcelein gestoelt , en kristalyn tapyt , Gy zyt myn huisgoon , en vermaaken van myn tyd .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1931.s.1	Zy teikent het Contract .	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.1931.s.2	Alfonso en Klarinde desgelyks .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.speaker.1933.s.1	ALFONSO , zig ontdekkende .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.1	't Is tyd het masker van uw dwang eens af te rukken .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.2	Nu zal ik met vermaak dit zoet juweel gaan plukken Dit sneewit Offer-lam , d'Aptheker toegeschikt , Is door uw naam ontboeid , en door u pen ontsrikt .	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.3	Haar ziel en lighaam , lang aan my door kuische eeden Verknogt , was al te waard aan suffers te besteeden .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.4	Hy warm zig by de vlam van Susje Fenix gloed , Die zig met huis-çieraan en voddery voldoet .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.6	Myn Klarinde , tedre ziel !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1947.s.7	ik zal u waarde Ootmoedig eeren , die myn min tans komt t ' aanvaarde Zo genereus en vry : en 't zy in vreugd of pyn Door trouw u man , door eerbied steeds u Minnaar zyn .	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.1	Is 't moog'lyk !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.3	ik sterf , ik berst , ik mis myn zinnen !	BodilyProcess_Disgust
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.4	In Englen schyn zo brengt men hier een Satan binnen Een ligtmis , dobbelaar , straatschender , die de hel Spoog uit zyn binnenst op het aardryk , met een vel Gelyk een mensch bekleed : die in myn herrefstdagen Haar maagdebloeisel roofd , en 't myn my komt t ' ontdragen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.6	Kristalyn tapyt , en Porcelein gestoelt , Prins Robberts stoofjes , daar myn kiesheid op gedoelt Heeft , met Marseilles point in stee van gladde matten , En 't puikje van al d ' Oost - en Westers netheids schatten !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.7	Uw derf ik voor altoos , bekooring , die de ziel Van onze Sex verrukt .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.9	myn levens-wiel En kookend bloed dat stremt : ô !	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.10	Kamerdoeksche tafels , Verrader , moordenaar , die gloeijend dient met gafels Van een gerukt , ik wens u 't knaagen van een gier : Of worg u in het lint van dat geborgt rapier , Of springt in 't water om een koorde te bespaaren .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1967.s.11	Men moord ... ik kan niet meer .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.1	Geluk op 't heenen varen .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.2	Die storm was kort , maar goed en zonder eenen traan .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.3	Dog 't manlyk scheepje zwigt nooit voor een huilorcaan .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1979.s.4	't Gevaar is weg : zy slagt het dreigen van de blooden Die 't alles zweeren met haar slappe kling te dooden , En ondertusschen komt het uit op lor of leur : Den berg zal baaren en een muis kruipt uit de scheur .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.speaker.1981.s.1	JAN tegen Antonet .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.1	Maar à propo de scheur .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.2	Laat ons 't nu ook eens klikken , Soet kind , wat zegjer toe ?	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.3	Ja 'k zie het aan u blikken Hoe weigrig is een meit ontrent het trouw-geval , Gelyk een Practisyn die geld ontfangen zal .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.4	Hier ziet m'hoe hert het valt een vrouwe-smaak te tergen Ontrent beloften die men geensints kan voldoen , Sa let Messieurtjes die met klap de Juffers voen , Belooven Reuzen en op 't hippen zyn 't nauw dwergen ; Maar dat 's wat anders .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.1998.s.5	Nu wat d ' overdaad en pragt Belangt , waar mee men tragt zyn meerder t'evenaaren , En die hier scherssend word op 't Schouw-toneel belagt , Op hoop , etcetera ... dat 's hoop op wind en baren ; Want als de kiesheid heeft een vrouwe ziel besmet , Is pronk het Outer , en de zinnelykheid haar wet .	None
weye002holl01_01.TEI.2.text.body.div.div.div.sp.stage.1987.s.1	Tegen de Aanschouwers	None
weye002holl01_01.TEI.2.text.body.div.div.div.stage.2000.s.1	EYNDE .	None
