huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.1	Moet ik dit aanzien als bewyzen uwer trouwe ; Ik moet bekennen , van wat zyde ik die beschouwe , 'k Begryp uw ' meening niet .	Emotion_Loyalty
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.2	Wanneer ik van u ging , En zelfs van u den last , om meê te gaan , ontving , Stortte ik een ganschen stroom van traanen uit myne oogen .	BodyPart_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.3	Ik zag uw fier gemoed wel door de spyt bewoogen , Die Agamemnon u dorst aandoen , trots van zin ; Maar 'k zag in al uw doen geen ' tekenen van min .	Emotion_BodyPart_BodilyProcess_Love_Pride_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.4	Gy liet my heene gaan , en kwaamt my zelf niet zeggen Het laatst vaarwel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.5	Hoe kon , hoe moest ik dit uitleggen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.6	In plaats van my zelfs te vertroosten in dien staat , Sloegt gy , ter naauwer nood , in 't heen gaan , uw gelaat Op myn ontsteld gezigt .	Worry_BodyPart_BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.8	kost gy uit myne oogen Niet zien , hoe zeer ik door uw ' droefheid wierd bewoogen !	Emotion_BodyPart_Compassion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.9	Hoe myne ziel verlangde , om met een kus voor 't laatst Myn afscheid noch van u te neemen !	Emotion_EmotionalAction_BodyPart_Love_Desire
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.10	gansch verbaasd , En tot de dood ontsteld , ben ik van u gescheiden .	Emotion_Unhappiness_Wonder
huyd001achi01_01.TEI.2.text.body.div.div.sp.2550.s.11	Hoe ging myn treurig oog in zyne traanen weiden , Zo ras ik eenzaam was ; en vryheid had , myn ' rouw Den teugel zonder maat te vieren !	Emotion_Loss_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.1	Ach Mevrouw !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.2	Herroep dien droeven tyd niet weer in uw ' gedachten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.3	De vrouwen uiten zich met woorden en met klagten .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.4	Myn ' tong was niet bekwaam tot spreeken .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.5	neen , myn hart Was al te zeer beklemd door zulk een hoon en smart .	Offended_Emotion_BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2560.s.6	Had ik u niet bemind , ik had u zelf gegeeven , En Agamemnon hadt niets tegen my misdreeven .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.1	En ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.2	zo gy my noch , gelyk gy zegt , bemint , Hoe kan het mooglyk zyn , dat ge u niets onderwindt , Om my weer in uw ' magt te krygen , als voor deezen .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.4	zie het zelve .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.5	Is dit geen ' reden om te vreezen Voor een ' verliefde ziel ?	Fear_Emotion_BodyPart_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.6	Noch doet gy meêr : en schoon My Agamemnon zelve u weer heeft aangeboôn ; Het eenigst , dagt ik , daar myn Held naar zal verlangen , Wilt gy me in tegendeel niet weer van hem ontvangen .	Emotion_Desire
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.7	Hy voegt de heerlykste geschenken daar noch by : Doch niets kan uw gemoed veranderen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2582.s.8	Daar gy , Om my van uwe liefde op 't zekerst te overtuigen , Geschenken geeven moest , om zyn gemoed te buigen , Om my daar door weer te verkrygen in uw ' magt , Zie ik my zelf van u op 't smaadelykst veracht .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.1	Maar , 'k bid , hoe komt gy hier ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.2	Zyt ge uit u zelf de banden En slaaverny ontvlucht van 't hoofd der dwingelanden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.3	Zondt hy u herwaarts , tot verzoening van myn haat ?	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.2591.s.4	Of is het op bevel en orde van den Raad ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.1	Toen Ajax weer kwam met Ulysses , en ons zeide , Hoe gy van hun verwoed en meer vertoorend scheidde , Als oit , zat elk bedrukt .	HeavyHeartedness_Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.2	De dwingland zuchtte zelf , Sloeg beevende zyn oog naar 't Hemelsche gewelf , En riep de Goôn om hulp , daar hy zyn ' schuld bekende .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.3	De droefheid en de rouw was algemeen .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.4	In 't ende Sprak dus Laërtes zoon , op listen steeds bedacht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.5	Wy zien , ô Helden , ons in 't uiterste gebragt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.6	Dat fiere hart is door geen ' reden te overwinnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.7	Men moet iets anders , zo men vordren wil , beginnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.8	Men zend ' Brizeïs zelve aan hem .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.9	Haar schoon gezigt , Waar voor hy eertyds , in den stryd zelfs , heeft gezwicht , Heeft mooglyk op zyn hart de zelfde kracht behouden , Schoon zy elkandere in veel dagen niet aanschouwden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.10	Als hy haar weder in zyn ' tent heeft , zal misschien Zyn toorn verminderen , en wy hem weder zien Ten strydgaan , daar wy hem in al dien tyd niet zagen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.11	't Is toch met ons gedaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.12	Wy moeten alles waagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.13	Elk keurt zyn zeggen goed .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.14	men haalt my in den Raet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.15	Men toont me in 't korte den beklaagelyken staat Van 't Grieksche leger ; en , om my meer te beweegen , Men stelt my voor het oog , hoe Hector , die zyn zegen Vast voortzette , en verwoed reeds naderde aan uw ' vloot , U zelf , myn waarde Held , ook dreigde met de dood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.16	Op die verbeelding wierdt myn ' ziel met u bewoogen .	Emotion_BodyPart_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.17	My dacht , ik zag u reeds neerstorten voor myne oogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.18	Ik weigerde nochtans weer naar u toe te gaan , Zo lang ik uwen wil niet zelve had verstaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.19	Ik vreesde mynen Heer en waarden te verstooren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.20	Tot dat Ulysses zich dus ook voor my liet hooren : Mevrouw , wilt gy uw Held noch eenmaal wederzien , Gy hebt deez dag maar tyd ; want morgen gaat hy vliên .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.21	Hy maakt zich reeds gereed , om weer in zee te steeken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.22	Dit kost alleen 't ontzag , dat ik u toedraag , breeken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.23	'k Besloot terstond te gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.24	ik wou myn lief veel eer Noch ééns verstooren , dan dat ik hem nimmer weêr Aanschouwen zou .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.25	Wil my de waarheid toch ontdekken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.26	Is 't waar myn Heer ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.27	denkt gy op morgen te vertrekken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2669.s.29	zo het waar is , laat ik meê gaan , op dat my Geen meerder smaad geschied , door 's dwinglands tieranny .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2683.s.1	Ulysses heeft , Mevrouw , u niet geheel bedroogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2683.s.2	Ik heb 't gezeid : maar door den brand der vloot bewoogen , En ziende het gevaar te na , om langer stil Te zitten , heb ik , wyl ik zelf niet stryden wil , Patroclus met myn volk en wapenen gezonden , Om 't haatlyk vuur , dat reeds twee schepen hadt verslonden , En Hectors raazerny met moed te wederstaan .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2683.s.3	Nu weet gy zelf , Mevrouw , dat 'k niet in zee zal gaan , Zo lang myn Vriend niet weer is uit het veld gekomen , En ik zyn ' dood , of zyn ' verwinning heb vernomen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.1	Zo is uw volk , voor 't eerst , dan weer gegaan ten stryd !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.3	welk een ' vreugd , myn Heer !	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.4	hoe is myn ' ziel verblyd !	Joy_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.5	Ik vreesde alreeds , dat ik , als Helena in Trojen , Het zaad van tweedragt zoude in 't Grieksche leger strooijen , Den droeven ondergang bewerken van den geen , Wiens byzyn 'k vlieden moest , doch om wiens afzyn 'k ween .	Fear_Emotion_EmotionalAction_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.6	Der Grieken droeve staat heeft u in 't eind bewoogen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.7	Zo voel ik alle zorg uit myn gemoed vervloogen : Zo zal men my hier na niet wyten , dat door my De Griek gebragt is onder Trojes heerschappy .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.8	Want dit is 't noodlot van de onzaligste aller vrouwen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.9	'k Vrees de overwinning van myn Vaderland te aanschouwen , Ik vrees de nederlaag van hem , die met geweld Myn land verwoest , myn Man en Broedren heeft geveld .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.10	Dit droef herdenken parst de traanen uit myne oogen .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.12	indien uw ' deugd myn ' ziel niet hadt bewoogen , Hoe zoet waar 't my geweest , te zien , dat myn gezigt Zo fel een vuur van haat hadt in uw hart gesticht !	Emotion_Hatred_BodyPart_BodilyProcess_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.13	'k Moest my verheugen , dat 'k de vriendschap had verbroken Der Grieksche Hoofden , dat 'k myn ' vrienden had gewroken , De schim verzoend had van myn Broederen en Man .	Joy_Emotion_EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.15	in tegendeel die zelfde Achilles kan Myn ' ziel , door zyne deugd , in zyne min doen blaaken .	Emotion_BodyPart_BodilyProcess_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.16	Helaas myn Heer !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.17	gy ziet de traanen langs myn ' kaaken Neervloeijen .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2714.s.18	belg u niet ; 'k beken u , tot myn ' smart , Dat ik u haaten wil , doch minnen moet in 't hart .	Emotion_Hatred_Love_Sadness_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.2718.s.1	Gy wilt my haaten !	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.2725.s.2	en had ik geene reden , Zo ik myn ' pligten niet te buiten waar getreeden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2725.s.3	En gy bemint my noch ?	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2729.s.1	Zo zeer als oit , Mevrouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.1	Draag zorg dan , dat ik noit dien dwingland weer aanschouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.2	Ik ben , op zynen last , hier weer by u gekomen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.3	Hy heeft my met geweld eerst uit uw arm genomen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.4	Nu zendt hy my weerom . 't zy gy dan blyft , of gaat , Stel my niet meer ten doel voor zynen wrok en haat .	Emotion_Hatred_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.5	Laat ik hier blyven ; wyl de Grieken my aanschouwen , Als de oorzaak van hun ramp .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.6	Laat u uw toorn berouwen , En gaa zelf weer ten stryde , op dat ik , tot myn ' rouw , Ook 't overblyfsel van myn Land niet weer aanschouw .	Emotion_Anger_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.7	Hoe zoude een ieder van my spreeken , als zy zagen , Hoe Held Achilles deugd Brizeïs kon behaagen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.8	Want , schoon de schaamte my de tong tot noch toe bondt , Gy , gy zyt de eenigste , in het gansche werrelds rond , Daar ik , in mynen ramp , vernoeging by kan vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2751.s.9	'k Zie my alom gevloekt van vyanden en vrinden : Doch zo lang , als gy my niet wederom verlaat , Troost ik my noch in deez beklaagelyken staat .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2763.s.1	Uw afzyn heeft myn ' ziel meer , dan de schaê , doen lyden , Die Grieken heeft geleên , zo lang ik niet wou stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2763.s.3	Mevrouw , ik doe myne achtbaarheid te kort , Indien gy zelve my niet weergegeeven wordt Door Agamemnons hand .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.1	Spaar , spaar uw ' traanen .	BodyPart_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.2	'k Zal met myn ' vloot door zee geen weg naar Phthie baanen , Of gy zult met my gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.3	dat zweer ik by de Goôn .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.4	Stel u gerust , myn Lief .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.5	maar om van deezen hoon My op den dwingeland te wreeken , is 't van nooden , Dat gy , een korten tyd , noch hoort naar myn ' geboden .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.6	Gy spreekt naar uw liefde : ik oordeel naar het geen Myne eer my afvergt , na zo veel weerwaardigheên .	Honor_Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.7	Ik moet noch eengen tyd uw vriendlyk byzyn derven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.8	Want zo Achilles geen ' voldoening kan verwerven , Is hy Brizeïs gansch onwaardig .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.9	Keer , ai keer , Al valt het scheiden hard , dan naar den dwingland weer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2798.s.10	Ik pynig my niet min , als u : maar 'k heb gezwooren , Niet eer naar uwe liefde , en zyn ' gebeên , te hooren , Voor hy zich zelf voor my vernedere , en die spyt Dus wissche uit myne ziel , daar zy zo veel om lydt .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.1	Is dit die tedre min , waar meê gy my wilt vleien !	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.2	Wy zyn by één .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.3	gy dwingt my zelve om weer te scheien .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.5	is u myn gezigt zo haatelyk !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.6	wel aan , Doorstoot myn borst : wat hoeft ge u langer te beraên ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.7	Of vreest dat zwaard , het geen myn ' Broederen deedt sneeven , Het geen myn Bedgenoot beroofd heeft van het leeven , Zich in het einde ook te bezoed'len met myn bloed ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2810.s.8	Te sterven van uw ' hand is myne ziel zo zoet , Ja zoeter , als , nu wy by één zyn , weer te scheiden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2821.s.1	Hebt ge oit gezien , zelfs daar myn ' hand in 't bloed ging weiden , Dat ik my schuldig maakte aan 't moorden van een ' vrouw ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2821.s.2	En zoude ik u , die ik zo teder , zo getrouw Bemin , ontmenschte ! 't staal in uwen boezem drukken ?	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2821.s.3	Eer stort de Hemel op myn hoofd alle ongelukken , Die oit een sterveling gevoeld heeft en beweend , Eer gy Achilles hart zo wreed ziet , zo versteend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2832.s.1	Hoe kan uw ' wreedheid voor elks oogen klaarer blyken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2832.s.2	Omdat Mycenes Vorst u dorst verongelyken , Brengt gy uw Vaderland in d ' allergrootsten nood , En dreigt het gansche heir met eene wisse dood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2832.s.3	My , die zo teder u bemin , in myne zinnen , En die gy zelve veinst zo trouw weêrom te minnen , Ontzegt ge u byzyn , en toont , met een fier gelaat , Dat myne droefheid u niet meer ter harte gaat .	Emotion_BodyPart_Love_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2842.s.1	Uw ' liefde raakt my .	Emotion_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.2842.s.2	maar ze strek my tot geen hinder , Dat ik , om haarent wil , myn roem en eer verminder .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2842.s.3	Gaa dan , Mevrouw : 'k verzoek 't , als minnaar ; en gebied 't , Als voogd van myn ' gevange .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2854.s.1	Onlydelyk verdriet !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2854.s.2	Wyl gy het zo begeert , mag ik niet tegenstreeven : Maar , zo gy zorg hebt voor myn welzyn en myn leeven , Verlosch myn ' bange ziel uit deeze slaaverny , Kost ge in myn hart zien , wat ik om uw afzyn ly , Ontmenschte ...	Fear_Emotion_Loss_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2854.s.3	Maar ik gaa , wyl 'k moet gehoorzaam weezen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2861.s.1	't Staat noch aan my niet , om uw ' droefheid te geneezen .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2861.s.2	'k Moet zelve afwachten , wat de dwingeland zal doen , Om myn ' beledigde eer en glorie te vergoên .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2865.s.1	Vaar wel , myn Lief !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2865.s.3	hoe bitter valt dit scheiden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2869.s.1	Vaar wel , Mevrouw ! 'k zal u in veiligheid geleiden .	None
huyd001achi01_01.TEI.2.text.body.div.div.p.2871.s.1	Einde van het derde Bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.head.2874.s.1	Vierde bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.1	IK heb u wederom doen keeren , Hoe zeer 't u smartte , ô schoone vrouw !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.2	Uw vriendelyk gezigt te ontbeeren , Strekt myne ziele een ' groote rouw .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.3	Ik zag , wanneer wy moesten scheien , Uw ' minlyke oogen bitter schreien .	BodyPart_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.4	Ik hield myn ' smart in , en ontveinsde myn verdriet .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.5	Met droefheid heb ik u den dwingland weer gegeeven : Doch ik kan zonder u wel leeven ; Maar zonder eer leeft Held Achilles niet .	Honor_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.6	Patroclus , waardste myner vrinden , Heb ik 't geluk , u na den stryd Verwinnaar wederom te vinden , Hoe zal myn ' ziel dan zyn verblyd !	Joy_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.8	ik vrees , gy zult de krachten Van Hector mogelyk verachten .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.9	Betrouw u niet te veel , als gy dien wreeden ziet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.10	Doch kan my uwe dood myne eere wedergeeven , Ik kan ook zonder u wel leeven ; Maar zonder eer leeft Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.11	Brizeïs , wat moet gy niet lyden , Nu 't schynt , dat ik u weer verstoot !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.13	ik laat u stryden , Terwyl ik zelf blyf buiten nood .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.14	My dunkt , ik hoor u beide klaagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.15	De een gaat om my zyn leeven waagen ; Daar de andre zich om my van elk verstooten ziet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.16	Doch kan uw ' droefheid my myne eere wedergeeven .	Honor_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.17	Zo kan ik zonder u wel leeven ; Maar zonder eer leeft Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.18	Gy , Goden , die my woudt voorspellen , Dat myne hand en dapperheid Den muur van Ilium zou vellen , Heeft uwe godspraak my misleid ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.19	In plaats , dat elk my eer zou toonen , Zie 'k my van Agamemnon hoonen ; Terwyl hem ieder volgde , en myne zy verliet .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.20	Dat hy my dan voldoe , of dat zy allen sneeven , Want ik kan zonder hun wel leeven ; Maar zonder eer leeft Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.21	Maar neen ; ik zal den uitslag wachten Van deezen allerlaatsten stryd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.23	dat de vloot zich door uw ' krachten , Patroclus , weder zag bevryd !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.24	Maar moet gy voor den Trojer vluchten , En laat my Agamemnon zuchten , Zo keer ik naar myn land , en laat hem in 't verdriet .	Fear_Emotion_EmotionalAction_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.2937.s.25	Dat dan de Grieken op den Troischen oever sneeven , Want ik kan zonder hun wel leeven ; Maar zonder eer leeft Held Achilles niet .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.stage.2942.s.1	achilles , phenix .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.1	HOe gaat het ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.2	heeft myn vriend van zynen moed reeds blyken Gegeeven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.3	hebt gy reeds den vyand af zien wyken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.4	Verklaart de zege zich voor ons ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2949.s.5	en is de vloot Door deezen bystand al beveiligd uit den nood ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.1	'k Zal u verhaalen , 't geen 'k gezien heb met myne oogen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.2	Uw moedig volk , al lang met onzen ramp bewoogen , En haakend naar den stryd , ziet uwen halsvriend aan , En wacht zyne orde alleen om verder voort te gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.3	Patroclus toeft niet lang , maar ziende aan alle zyden , Waar 't noodigst was , het eerst den vyand te bestryden , Vliegt naar de schepen straks van Ajax , en van Held Protezilaüs , half verslonden door 't geweld Der vyandlyke vlam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.4	Ik zag uw ' braave benden , Op zynen last , met vreugd zich aanstonds derwaarts wenden .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.5	De vyand ziet uw vriend , en denkt , dat gy het zyt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.6	Hy kent uw ' krachten noch , schoon hy in langen tyd Die niet beproefd heeft .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.7	Eerst zo moedig en verbolgen , Zie 'k hem straks vluchten voor uw ' troepen , die hem volgen .	Fear_EmotionalAction
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.8	Gelyk een watervloed , al wat hem stuit of keert , Door 't breeken van een dyk , ter neersmyt , overheert , En dikwils met zich sleept : zo zien wy uwe troepen De Trojers dryven , die vast om genade roepen , 't Geweer weg werpen , en met haast zich naar de stad Begeeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2985.s.9	Hadt gy zelf het zwaard weer opgevat , Om d'overwinnaar dus op 't vinnigste te treffen , Hoe zou gansch Griekenland uw naam en roem verheffen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2993.s.1	Neen Phenix , Griekenland is zelf wel overtuigd , Dat , zo de Troische magt voor myn Patroclus buigt , Myn arm , indien hy weer den vyand wil weerstreeven , Den muur van Ilium den laatsten krak kan geeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2993.s.2	Maar hoe is 't met de vloot ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2993.s.3	heeft zy veel schaê geleên ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.3001.s.1	Wanneer uw braave vriend den vyand voor zich heen Zag stuiven door het veld , heeft hy straks zorg gedraagen , De vlam te blusschen .	None
