stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin van Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.3	neen ; geen landzaat is hier slaaf .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.4	Het opperstaatsbewint behoort wel aan den graaf , Maar geeft geen vrye magt tot onrechtvaardigheden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.5	Geen loflyk opperhoofd kwetst ooit zyn dierbre leden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.6	De Hollandsche gravin verliest haar heerschappy , Indien ze uw lessen volgt , en stemt tot dwinglandy .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1532.s.7	Besef wat zwaren slag uwe Ada heeft te schroomen , En dat ikzelf , niet gy , haar ' val poog voor te komen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.1	De reden toont , mynheer , aan myn bestreden deugd , Hoe verre ik was verdoold door onervaren jeugd ; En dwingt myn hooploos hart , door wreede min aan 't blaken , Helaas !	Emotion_BodyPart_BodilyProcess_Love_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.2	u meester van myn droevig lot te maken ; U , die myn liefde doemt ; u , die myn ' echt weêrstaat .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.3	Ken Adaas bruidegom , die 't pynlyk leven haat , Zyn minnedrift bedwingt ; zie hem tot afstand vaardig , Niet schuldig by uw ' graaf , maar Willems deernis waardig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1554.s.4	Geen schandelyke vrees ontwringt my deze taal : Uw vorst , hoeveel geducht door zyn gelukkig staal , Hoe moedig op zyn ' roem , in 't heilig land verkregen , Zou nooit myn staatzucht , nooit myn tedre min bewegen Van Adaas heerschappy en huwlyk af te staan ; Hy vond hier nieuwe stof tot zeldzame oorlogsdaên ; Zo de eer my niet verbood de landvorstin te dwingen , En , tot haar ongeluk , naar 't graaflyk erf te dingen .	Fear_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1563.s.1	Mynheer , uw groote ziel red uw doorluchte bruid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1563.s.2	Gy , neem een voorbeeld aan zyn loffelyk besluit .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1561.s.1	Tegen den bisschop .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1568.s.1	Zie Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1568.s.2	Denk hoe zwaar gy ons beleedigt .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1568.s.3	Graaf Willem word misschien door die vorstin bevredigd .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1572.s.1	Adelheide , Vander Are , Lodewyk , Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.1	Eer ik u hoor ' , mynheer , is 't noodig dat u blyk ' Of Willem nadeel lyd , al heerscht hier Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.2	En gy , mynheeren , weest getuigen hoe myn zinnen , Voor 't algemeen geluk , den ouden haat verwinnen .	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.3	Het leen Oostvriesland zy uw ' graaf ten eigendom , Indien hy 't huwlyk stemt van Adaas bruidegom , Het vorstlyk paar in rust haar erfdeel laat regeeren , En de oude vyandschap in vriendschap doet verkeeren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.4	Die held , alom beroemd door moedig krygsbeleid , Verwerve een ' nieuwen lof door edelmoedigheid !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.5	Hy strekke een ' toeverlaat voor hof en onderdanen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1593.s.6	Dit eischt zyn waar belang ; dit eischen Adaas tranen .	BodyPart_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1580.s.1	Tegen Vander Are , Lodewyk , en Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1584.s.1	Tegen Willem .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.1	Gy schenkt Oostvriesland hem !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.2	Vorstin , is 't in uw magt ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.3	't Is Adaas erf .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.4	Hy zou , indien hy 't oorbaar dacht , Uw minderjarig kroost niet van een deel berooven , Maar all ' de staten van zyn ' broeder zich beloven .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.5	Denk niet dat Willem zich met zulk een grootheid vlei ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1607.s.6	Is u zyn vrindschap waard , zo geef hem vrygelen ' Op Diedriks uitvaart ; schroom zyn droeve nicht te dwingen , En 't zorglyk trouwverbond vermetel door te dringen ; Voldoe zyn recht ; en zie , tot heil van all ' den staat , In Adaas trouwen voogd een ' wisten toeverlaat .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.1	Bedwing uw stoute tong .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.3	zou ik laf gedoogen , Dat Ada zich begeve in Willems trots vermogen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.4	Dat hy , in dollen haat , met muitren zich vereen ' ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1614.s.5	De ontveinsde staatzucht wreed den teugel viere ô Neen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1621.s.2	dat geen hevigheid het twistvuur weêr ontsteke !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1621.s.3	Vorstin , 't is noodig , dat Oostvrieslands graaf u spreke .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1621.s.4	Men kieze tyd en plaats tot onder handeling ; Men geve gyzelaars ; men make een nut verding .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1630.s.1	Ik , yvrig om myn bruid aan ramp op ramp te onttrekken , Vorstin , wil by dien graaf uw ' gyzelaar verstrekken , U toonen hoe myn ziel de hulplooze Ada mint .	Emotion_BodyPart_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1630.s.2	Wat heil , indien die schoone een wenschlyke uitkomst vind , En ik , gevonnisd haar in eeuwigheid te derven , Tot haar beveiliging mag vlieden , kwynen , sterven !	EmotionalAction_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1636.s.1	Mevrouw , stort Ada niet in dieper staatselend ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1636.s.2	't Vermetel trouwbesluit is Willem reeds bekend .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1636.s.3	Gy weet niet wie met hem zich tegen u verbinden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1640.s.1	ô Spyt !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1640.s.2	ik ben verraên door myn gewaande vrinden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1648.s.1	Het puik der eedlen waakt voor 't recht der landvoogdy ; Ja zou , in Adaas erf , eer hooge heerschappy , Indien 't zyn aandeel in 't voogdyschap moest verliezen , Eer Diedriks broeder , dan een ' vreemdeling , verkiezen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.1	Die vreemdeling ontziet de glorie van zyn bruid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.2	Mevrouw , gy kent myn drift voor uw doorluchte spruit ; Gy weet wat smart ik ly met vruchtloos haar te minnen : Maar de invloed van haar ' pligt op haar verheven zinnen , De tranen die zy stort , de luchten die zy loost , 't Verdubbeld staatsgevaar van uw beminlyk kroost ; Ach !	Emotion_BodyPart_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.3	alles dwingt my , haar in eeuwigheid te schuwen : Ik heb gehoopt , vorstin ; nu doet die hoop my gruwen .	Emotion_EmotionalAction_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.4	Vernoeg Oostvrieslands graaf , den adel , Adaas deugd ; Behoed haar vorstlyk erf , haar glorie , hare jeugd ; En overweeg met erust hoeveel haar rampen groeijen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.6	ik zie uw ' druk !	Worry_Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1667.s.7	Laat vry uw tranen vloeijen ; Verberg die droefheid niet ; die smart strekt u tot eer : Geef , geef aan Diedriks wees een tedre moeder weêr .	Emotion_BodyPart_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1671.s.1	Ik zweeg te lang .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1671.s.2	Vorstin , wees uw belang indachtig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.1	Maakt een list uw groote ziel neêrslagtig ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.2	Geeft moedige Adelheide , uit zwakheid , tot haar schand ' , Een zorgelyk geloof aan Willems afgezant ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.3	En zult gy , ongewoon in 't grootst gevaar te beven , Uw dierbaarst pand , uit schrik , dien wreker overgeven ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.4	Mistrouw een ' vyand , die uw vrinden valsch beticht , Alleen opdat uw hart voor ydel dreigen zwicht ' , Of , in de onzekerheid op wien 't zich mag verlaten , De hulp dier vrinden derv ' voor Adaas veege staten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.5	Ziedaar het oogmerk van 't gezantschap .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1691.s.6	Kies , mevrouw , Of wraak van ouden haat , of hulp van ware trouw .	Emotion_Hatred_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1679.s.1	tegen Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.1	Gy opent myn gezigt .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.2	Ik zal , in spyt dier lagen , Niet aan Oostvrieslands wrok 't geluk van Holland wagen .	Emotion_Happiness_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.3	Hoe listig poogt men my , uit veinzend zelfbelang , Te lokken in den strik , tot Adaas ondergang !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.4	Hoe blaakt eene eedle spyt in myn getergde zinnen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1704.s.5	't Is eertyds my gelukt graaf Willem te overwinnen : Hy stryde ; ik vrees hem niet , ô neen ! 'k wacht andermaal , In myn gerechte zaak , een wisse zegepraal : Die wrevle vyaad zie myn ' moed , gelyk voordezen !	Fear_Emotion_Annoyance
stee033adag01_01.TEI.2.text.body.div.div.sp.1708.s.1	Rampspoedige erfgravin !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1708.s.2	gy zyt ten val verwezen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1715.s.1	Nochtans , indien uw vorst myn aanbod niet veracht , En tot behoeder strekt van zyn verdrukt geslacht , Zo wil hem Adelheide onfeilbaar noch doen blyken , Dat haar gesarde wraak voor 't staatsbelang moet wyken .	Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.1720.s.1	Hy zal , verwittigd hoe de bisschop u misleid , Verzuchten om uw ' ramp , uit mededoogendheid .	Emotion_BodilyProcess_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.1724.s.1	Ontzinde !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1731.s.1	Uw trotsheid is te hoog in top gesteigerd .	Emotion_Pride
stee033adag01_01.TEI.2.text.body.div.div.sp.1731.s.2	Ontdek myn aanbod hem .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1731.s.3	Hy beve , indien hy 't weigert !	Fear_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.div.stage.1733.s.1	Zy vertrekt met den bisschop .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1739.s.1	Vorstin , verhoor myn beê .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.1737.s.1	baar volgende .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1748.s.1	Hoe groeit de tweedragt aan !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1748.s.2	Ach , vorst !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1748.s.3	wat nu verricht ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1754.s.1	Ik smeed een groot bestaan .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1754.s.2	Vooreerst zy Lodewyk door ydle hoop bedrogen .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1754.s.3	Het deert my : maar de nood verwint myn mededoogen .	Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.1759.s.1	Hy keert , en zoekt uw hulp .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1763.s.1	Versterk een nutte list .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1767.s.1	Lodewyk , Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1772.s.1	Belet , ô afgezant !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1772.s.2	belet een ' wreeden twist , Een bloedig staatskrakkeel ; en acht myn bruid onschuldig .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1776.s.1	Verwacht dat Willem u tot graaf van Holland huldig ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1780.s.1	Wat zegt gy ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1780.s.2	Deze taal verbystert my 't verstand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1784.s.1	Uw deugd verdient zyn gunst met Adaas erf en hand .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.1	Wat noopt u veinzend ' my met ydle hoop te vleijen ?	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.2	Durft Willems afgezant my looze strikken spreiên ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.3	Verleent gy nieuwe kracht aan myn verwonnen min , Opdat ik roekloos huwe aan de angstige erfgravin , Uw vorst zich door den kryg een ' ryken buit belove , En haar met schyn van recht het wettig erf ontroove ?	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.4	ô Vaderlooze wees !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.5	barst uit in bittren rouw : Uw moeder mint u niet ; uw voogd bezit geen trouw ; De ontveinsde heerszucht doelt arglistig op uw staten , En vleit zich met de stem der morrende onderzaten .	Emotion_Love_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.6	Doorslepen afgezant !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.7	ik weet wat hoop my voegt .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1801.s.8	Naar Diedriks laatsten wil zy Adaas voogd vernoegd Met zyn bepaald gezag , totdat zyzelf regeere ; Opdat da eedlen magt de snoode staatzucht weere !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1809.s.1	Gy hoont haar ' trouwsten vrind .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1809.s.2	Zy vreeze u meer dan hem ; Zy vreeze uw liefde alleen .	Fear_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1809.s.3	Ik vlei u met zyn stem , Opdat een blinde drift u niet in echt vereene , Eer hy , als voogd erkend , aan u die stem verleene .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.1811.s.1	Amstel ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1818.s.1	Ik heb met zekerheid zyn deugd u reeds gemeld .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1818.s.2	Verwacht geen laf besluit van dien doorluchten held .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1818.s.3	Gy zult , indien uw liefde op hem zich durft betrouwen , Eerlang de ontruste bruid in veiligheid aanschouwen .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.1	Geef Adelheide hoop dat Willem , die den val Van Diedriks huis niet wenscht , in de echtkeur stemmen zal .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.2	Hy , die haar vrindschap eischt , heeft lang zyn ' haat vergeten .	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.3	't Voordeelig aanbod zal ik yllings hem doen weten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.4	Ik ken hem als myzelv ' , en wacht op wissen grond , Nu ik vergeefs voor hem naar 't landvoogdyschap stond , Nu zy hare ooren sloot voor dreigen , voor gebeden , Dat hy , alleen in staat om de eedlen te overreden , Voor Ada hen voldoende , een noodig wonderstuk Teêrhartig zal bestaan voor 't vluchtend landgeluk .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1835.s.5	Maar wacht zyn antwoord af : 't zou hem ten hoon verstrekken , Zo gy te schielyk durfde uw ' grooten echt voltrekken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.1	Hoe teêr ik Ada min , hoeveel ik Amstel acht , Uwe onverwachte taal is echter my verdacht .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.2	Is 't my vergund , of niet , naar myn geluk te dingen ?	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.3	ô Nare onzekerheid !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1844.s.4	ô wreede twyfelingen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.1	Uwe Ada zal u haast van ydle vrees ontslaan .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.2	Ik wil een groot geheim terstond haar doen verstaan .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.3	Hoe wenschte ik spoedig haar te spreken !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.4	Mag ik 't hopen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.5	En zult gyzelf daartoe die schoone in stilte nopen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.6	Dat niemant haar verzell ' !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1853.s.7	Verwacht , na dat gesprek , Dat ze u de zekerheid van 't nadrend heil ontdekk ' .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1858.s.1	Gy zult haar zien , mynheer ; en meer en meer beseffen , Dat nooit graaf Willem haar in deugd kan overtreffen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.1	My blykt uw opzet , vorst .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.2	Ik roem uw veinzery .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.3	Hoe listig poogt gy tyd te winnen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1870.s.4	Maar zult gy , De hoop van 't kwynend land , uw dreigende gevaren Verdubblen , door uw ' naam aan Ada te openbaren ?	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.1	Ik zal noch meer bestaan in Hollands hoogen nood .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.2	Hoor , Amstel , wat myn moed voor die gravin besloot .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.3	Gy zaagt de grimmigheid der wrokkende Adelhelde , Dat Utrechts kerklyk hoofd arglistig haar misleidde , Door onze tweedragt doelde op Hollands veegen staat , En wat gehoor zy gaf aan 's kerkvoogds eigenbaat .	Emotion_EmotionalAction_Anger_Spitefulness
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.4	Zy zou , met ydle hoop niet lang door my bedrogen , Door 's bisschops looze tong tot woesten dwang bewogen , Geholpen door de min van 't ongelukkig paar , Myn zorg verydlen voor 't ontheiligd echtaltaar .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.5	Zolang de bruid hier blyft , is 't huwelyk te duchten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.6	Ik wil by duisternis van hier met Ada vluchten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.7	Gy schrikt ; ik zie dat reeds uw bystand u berouwt .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1889.s.8	Maar laat een scherpe wacht , door de edelen betrouwd , De vluchtende Ada naar een veilig oord verzellen , Waar de adel haar verberg ' totdat ik borg zal stellen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1893.s.1	Wat heldendeugd !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.1	Ik vlie met haar de aanstaande nacht .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.2	Gy weet , verrast men my , wat sterke hulp ik wacht .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.3	Zal Lodewyk geen ' dag den vreemden echtdwang stuiten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.4	Zal Ada tot de vlucht uit wanhoop niet besluiten ?	Emotion_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1902.s.5	Men koop ' de lyfwacht om : gyzelf hebt my gemeld , Dat Adaas droevig lot haar trouwe wacht ontstelt .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1910.s.1	Het algemeen geluk , uit zulk een vlucht te hopen , Verdient dat gy besluit een groot gevaar te loopen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1910.s.2	Wat eeuwige eer voor u , die , ondanks uw belang , De zuchtende erfgravin behoed voor ondergang !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.1	Haar staatsbelang is 't myne : ik moet haar huwlyk vreezen , Al schynt die bron van twist myn staatzucht nut te wezen : Ik zou , verstoken van de hoop der landvoogdy , Vergeefs my wapenen om de opperheerschappy .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.2	Zou 't edelmoedig paar , dat met verliefde zinnen Een eeuwig scheiden koos , niet alle harten winnen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.3	Hoeveel een krygsmagt zy , zo hoog een deugd is meer .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.4	Zie , zie myn waar belang vereenigd met myne eer , En oordeel hoe men zich op Willem mag betrouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.5	Ga myn geheim besluit aan de edelen ontvouwen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.6	ô Ada !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.7	Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1925.s.8	vergeeft my 't loos beleid ; Maar overtreft my niet in edelmoedigheid .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.1927.s.1	Einde van bet derde bedryf .	None
stee033adag01_01.TEI.2.text.body.div.head.1931.s.1	Vierde bedryf .	None
stee033adag01_01.TEI.2.text.body.div.stage.1934.s.1	Lodewyk , Reinoud .	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.1	Deze onverwachte taal verbystert myn gedachten .	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.3	zou ik heimlyk iets besluiten met de wachten ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.4	Wat zou myn doelwit zyn ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.5	vleit Willems afgezant Myn hoop in 't einde niet met Adaas erf en hand ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.6	Smeed ik een ' aanslag ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1942.s.7	ik ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1947.s.1	Mynheer , waartoe te veinzen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1947.s.2	Verlaat u op myn trouw ; ontdek my uw gepeinzen .	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.sp.1951.s.1	Wat hoor ik !	None
stee033adag01_01.TEI.2.text.body.div.sp.1951.s.2	durft gy ..?	None
stee033adag01_01.TEI.2.text.body.div.sp.1956.s.1	Ja , grootmoedig bruidegom !	None
stee033adag01_01.TEI.2.text.body.div.sp.1956.s.2	Ik beef , niet min dan gy , voor Adaas eigendom .	Fear_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.sp.1960.s.1	Is u bevolen my te toetsen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1960.s.2	Welke treken !	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.1	Noch eens , ontveins my niets ; my is genoeg gebleken .	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.2	De wachten momplen van een loffelyk bestaan , En twisten of men 't my , hunn ' hoofdman , voor zal slaan .	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.3	Men heeft ( dit hoorde ikzelf , ) de aanstaande nacht verkoren ; Uwe Ada wierd genoemd .	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.4	Wat lot is haar beschoren ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.5	Wie zou iets groots bestaan , tot heil van die gravin , Dan gy , die haar beschermt tot nadeel van uw min ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.6	Moet gy uit achterdocht myn trouwe hulp versmaden ?	Suspicion_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.7	Of bleek u de aanslag niet ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1972.s.8	word die vorstin verraden ?	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.1	Ja , 't is verraad .	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.2	Ik schrik .	Fear_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.4	niets is my bekend .	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.5	Hoe ras , doorluchte bruid !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.6	treft ons een nieuwe elend ' !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.7	Uw trouwe minnaar , die , gevleid in 't hevig blaken , Om uw gedreigd belang zyn liefde moest verzaken ; Uw tedre bruidegom , die , op zyn ' huwlyksdag , Moest afstaan van uw ' echt en Hollands erfgezag ; Die hier ontboden wierd , om in uw min te deelen ; Maar die zyn hoogst geluk versmaadde op uw bevelen , En duizend smarten leed in 't krachtigst vuur der jeugd ; Ziet weêr een ' straal van hoop , wanneer ( ô korte vreugd ! ) Een heimlyk vloekgespan , gereed op u te woeden , ...	Joy_Emotion_Hope_BodilyProcess_Love_Loyalty
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.8	Verraders !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.9	kende ik u !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.10	mogt ik dien slag verhoeden !..	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.11	Hoe beef ik !..	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.12	Dierbaar pand !	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.13	men werkt uw ' ondergang .	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.14	Myn klagt is vruchteloos ; dit marren duurt te lang .	None
stee033adag01_01.TEI.2.text.body.div.sp.1992.s.15	Laat ons dat mompelen aan Adelheide ontdekken , Om uit de ontrouwe wacht het snood geheim te trekken .	None
stee033adag01_01.TEI.2.text.body.div.sp.1996.s.1	Zie Ada .	None
