ross006zing01_01.TEI.2.text.body.div.head.278.s.1	De zingende kraamer , kaamer spel .	None
ross006zing01_01.TEI.2.text.body.div.sp.2600.s.1	Wilhelmus zat op de zolder , Hy luisde zynen broek , En vond ' er ô gants kolder , Wel vyftig in eeu boek Met krukken , en met hamers Sloeg hy ze alle doot , Het alderkleinste luisje , Was als een Tor zo groot ,	None
ross006zing01_01.TEI.2.text.body.div.sp.2617.s.1	Maar Mesjeurs , ik kryg zulk een drommelse noot , Dat is te zeggen , Krispyn die moet eens weezen , Daar den Prins te voet moet gaan , dog is iemand geneegen om te leezen , Het Journaal van myn reis , die komt aan myn Huis , Ik woon op het Varkens Eiland naast de gekroonde Platluis , Boven myn deur staat David vegt tegen den Reus met zyn barsse knevels , Ook is myn Huis verçiert met drie moye gevels , En de vensters van myn kit , staan altyt oopen om te zien , En in myn voorhuis hangt de fabel van Niobe veranderd in een Stien , Ook de stryd van Kupido tegen de Maagden , Ook van dien grooten Kunstenaar , die een stuiver op zyn kant aan negen stukken zaagde , Ook hangter een Schildery daar Pallas en Arachne weeft , Ook hangr ' er de val van Faëton , dat Apelles zelf geschilderd heeft .	None
ross006zing01_01.TEI.2.text.body.div.sp.2624.s.1	Ia 't is wonder wel te vinden , Al was iemand nog zo dom .	None
ross006zing01_01.TEI.2.text.body.div.sp.2631.s.1	Nu Heere beliefter iemand nog iets ?	None
ross006zing01_01.TEI.2.text.body.div.sp.2631.s.2	wan ik ga heen en kom niet weerom , Schoon dat je denken souw , dat is maar praat voor de Boeren , O neen !	None
ross006zing01_01.TEI.2.text.body.div.sp.2631.s.3	ik ga want ik moet in myn huis nog waterenbrei roeren , En des zo neem ik myn afscheyd , met deze reen .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.2633.s.1	hy Singt .	None
ross006zing01_01.TEI.2.text.body.div.sp.2659.s.1	Ha die , alle baazen , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.2659.s.2	Drooge paay klaazen , Weg bruyen , weg raazen , Weg kannen , en glaazen , Ci cinken , deux aazen , Leeg vaaten , vul blaazen , Sla ballen , maak kaazen , Laat scheeten , vang haazen , Span Paarden voor chjazen , Weg sotten , weg dwaazeu , Ik wens u te vreen , Krispyn die gaat heen .	None
ross006zing01_01.TEI.2.text.body.div.sp.2669.s.1	Want ik zie gy rookt , en niemand is zo beleeft dat hy my eens laat stoppen , Dog 't is goet dat ik zelf een doos met tabak heb en een tonteltje om vuur te kloppen , Nog eens ha die Mesjeurs , de wagt die roept van tien , En toekoomende week zult gy Krispyn hier wederom zien .	None
ross006zing01_01.TEI.2.text.body.div.sp.2669.s.2	UYT .	None
ross006zing01_01.TEI.2.text.body.div.cf.p.2671.s.1	NB .	None
ross006zing01_01.TEI.2.text.body.div.cf.p.2671.s.2	Daar word aan den Leezer bekent gemaakt dat in 't kort van den zelven Auteur staat uit te komen , MEDEA boertig berymd , als mede , de HELSCHE KERMIS en de HEL BESTORMT door de Goden .	None
